time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,effective_current_lim_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,power_loss_W,active_errors
0.000,0.00007,0.0,0.000,0.008,0.8000,-0.1000,-1.4400,-0.0428,0.000,60.000,27.3,30.0,18.09,0.007,0.24,-0.00,0.33,0
0.025,-0.00136,-0.5,0.000,-0.057,0.8000,-0.2000,-1.4400,-0.2062,0.000,60.000,27.3,30.0,18.08,0.175,3.00,0.17,2.70,0
0.055,-0.01387,-5.0,0.000,-0.272,0.8000,-0.3000,-1.4400,-0.3115,0.000,60.000,27.3,30.0,18.06,0.286,5.12,0.65,4.12,0
0.085,-0.03943,-14.2,0.000,-0.763,0.8000,-0.4000,-1.4400,-0.4126,0.000,60.000,27.3,30.0,18.06,0.453,7.99,1.99,5.68,0
0.113,-0.06178,-22.2,0.000,-0.279,0.8000,-0.5000,-1.4400,-0.5144,0.000,60.000,27.3,30.0,18.04,0.615,10.75,0.69,9.82,0
0.143,-0.06689,-24.1,0.000,0.010,0.8000,-0.6000,-1.4400,-0.6107,0.000,60.000,27.3,30.0,18.03,0.777,13.97,0.11,13.46,0
0.172,-0.07039,-25.3,0.000,-0.073,0.8000,-0.7000,-1.4400,-0.7094,0.000,60.000,27.3,30.0,18.00,1.007,17.87,0.62,16.94,0
0.202,-0.07996,-28.8,0.000,-0.168,0.8000,-0.8000,-1.4400,-0.8117,0.000,60.000,27.3,30.0,18.00,1.180,21.02,0.97,19.45,0
0.227,-0.08915,-32.1,0.000,-0.273,0.8000,-0.9000,-1.4400,-0.9117,0.000,60.000,27.3,30.0,17.97,1.328,23.61,1.66,21.41,0
0.256,-0.10045,-36.2,0.000,-0.291,0.8000,-1.0000,-1.4400,-1.0164,0.000,60.000,27.3,30.0,17.94,1.688,29.33,2.11,26.53,0
0.285,-0.10903,-39.3,0.000,-0.136,0.8000,-1.1000,-1.4400,-1.1048,0.000,60.000,27.3,30.0,17.90,2.000,35.30,1.37,33.10,0
