time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.000,-5.60626,-0.0,0.000,0.000,0.2000,-0.1000,-0.3000,-0.1023,0.000,35.8,34.9,19.25,0.060,1.23,-0.01,0
0.040,-5.60534,0.3,0.003,0.008,0.2016,-0.2000,-0.3024,-0.2085,0.000,35.9,34.8,19.24,0.160,3.07,-0.09,0
0.074,-5.60338,1.0,0.009,0.037,0.2056,-0.3000,-0.3084,-0.3039,0.000,35.9,34.8,19.24,0.293,5.36,-0.09,0
0.110,-5.60108,1.9,0.016,0.042,0.2112,-0.3168,-0.3168,-0.3112,0.000,35.9,34.8,19.23,0.304,5.87,-0.08,0
0.142,-5.60006,2.2,0.019,0.012,0.2140,-0.3210,-0.3210,-0.3230,0.000,35.9,34.8,19.23,0.316,6.08,-0.01,0
0.172,-5.60005,2.2,0.019,-0.012,0.2140,-0.3210,-0.3210,-0.3173,0.000,35.9,34.8,19.24,0.308,5.99,0.00,0
0.202,-5.60033,2.1,0.018,-0.006,0.2132,-0.3199,-0.3199,-0.3226,0.000,35.9,34.8,19.23,0.309,5.95,0.01,0
0.232,-5.60073,2.0,0.017,-0.010,0.2122,-0.3182,-0.3182,-0.3118,0.000,35.9,34.8,19.22,0.303,5.98,0.05,0
0.263,-5.60156,1.7,0.014,-0.032,0.2100,-0.3150,-0.3150,-0.3104,0.000,35.9,34.8,19.23,0.301,5.69,0.09,0
0.294,-5.60328,1.1,0.009,-0.068,0.2058,-0.3088,-0.3088,-0.3057,0.000,35.9,34.8,19.23,0.286,5.66,0.15,0
0.324,-5.60590,0.1,0.001,-0.099,0.2006,-0.3009,-0.3009,-0.3095,0.000,35.9,34.8,19.24,0.273,5.38,0.20,0
