time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.000,-5.59831,0.0,0.000,-0.003,0.2000,-0.1000,-0.6602,-0.0966,0.000,39.1,32.0,19.25,0.061,1.26,-0.17,0
0.038,-5.59643,0.7,0.006,0.002,0.2068,-0.2000,-0.6825,-0.2002,0.000,39.1,32.0,19.24,0.161,2.98,-0.03,0
0.074,-5.59564,1.0,0.008,0.014,0.2100,-0.3000,-0.6931,-0.2937,0.000,39.1,32.0,19.21,0.286,5.37,-0.03,0
0.110,-5.59497,1.2,0.010,0.008,0.2129,-0.4000,-0.7025,-0.3956,0.000,39.1,32.0,19.19,0.437,8.33,-0.04,0
0.144,-5.59436,1.4,0.012,0.005,0.2156,-0.5000,-0.7114,-0.5038,0.000,39.1,32.0,19.14,0.628,11.79,-0.04,0
0.175,-5.59376,1.6,0.014,0.019,0.2183,-0.6000,-0.7205,-0.6100,0.000,39.1,32.0,19.09,0.861,15.97,-0.06,0
0.206,-5.59312,1.9,0.016,0.024,0.2214,-0.7000,-0.7305,-0.7030,0.000,39.1,32.0,19.04,1.116,20.65,-0.07,0
0.236,-5.59240,2.1,0.018,0.007,0.2249,-0.7422,-0.7422,-0.7422,0.000,39.1,32.0,18.98,1.205,22.83,-0.07,0
0.267,-5.59198,2.3,0.019,0.003,0.2271,-0.7494,-0.7494,-0.7535,0.000,39.1,32.0,18.98,1.223,23.24,-0.01,0
0.297,-5.59192,2.3,0.019,0.003,0.2274,-0.7504,-0.7504,-0.7535,0.000,39.1,32.0,18.97,1.218,23.08,-0.01,0
0.327,-5.59204,2.3,0.019,0.000,0.2268,-0.7483,-0.7483,-0.7501,0.000,39.1,32.0,18.96,1.217,23.07,0.04,0
0.358,-5.59223,2.2,0.018,-0.006,0.2258,-0.7451,-0.7451,-0.7420,0.000,39.1,32.0,18.96,1.206,22.79,0.05,0
0.390,-5.59259,2.1,0.017,-0.015,0.2240,-0.7392,-0.7392,-0.7434,0.000,39.1,32.0,18.97,1.181,22.52,0.07,0
0.420,-5.59308,1.9,0.016,-0.016,0.2215,-0.7311,-0.7311,-0.7314,0.000,39.1,32.0,18.97,1.178,22.31,0.07,0
0.451,-5.59364,1.7,0.014,-0.020,0.2189,-0.7223,-0.7223,-0.7263,0.000,39.1,32.0,18.98,1.141,21.74,0.08,0
0.481,-5.59424,1.5,0.012,-0.012,0.2161,-0.7131,-0.7131,-0.7078,0.000,39.1,32.0,18.99,1.115,21.37,0.11,0
0.512,-5.59492,1.2,0.010,-0.022,0.2131,-0.7032,-0.7032,-0.6970,0.000,39.1,32.0,18.99,1.099,21.04,0.13,0
0.543,-5.59585,0.9,0.007,-0.034,0.2092,-0.6903,-0.6903,-0.6933,0.000,39.1,32.0,19.01,1.060,20.35,0.17,0
0.574,-5.59730,0.4,0.003,-0.060,0.2036,-0.6717,-0.6717,-0.6737,0.000,39.1,32.0,19.02,1.007,19.49,0.25,0
0.604,-5.59946,-0.4,0.003,-0.083,0.2039,-0.6730,-0.6730,-0.6716,0.000,39.1,32.0,19.02,1.003,19.00,0.37,0
0.635,-5.60236,-1.4,0.012,-0.099,0.2158,-0.7122,-0.7122,-0.7055,0.000,39.1,32.1,19.00,1.093,20.57,0.45,0
0.665,-5.60540,-2.5,0.021,-0.101,0.2309,-0.7619,-0.7619,-0.7628,0.000,39.1,32.1,18.98,1.195,22.41,0.52,0
0.696,-5.60874,-3.7,0.031,-0.122,0.2501,-0.8252,-0.8252,-0.8237,0.000,39.1,32.1,18.94,1.317,24.72,0.62,0
0.739,-5.61437,-5.8,0.048,-0.158,0.2876,-0.9252,-0.9490,-0.9255,0.000,39.1,32.1,18.93,1.493,28.04,0.88,0
0.779,-5.62093,-8.1,0.068,-0.169,0.3372,-1.0252,-1.1129,-1.0274,0.000,39.1,32.1,18.84,1.875,34.22,1.13,0
0.808,-5.62545,-9.8,0.081,-0.154,0.3738,-1.1252,-1.2336,-1.1207,0.000,39.1,32.1,18.80,2.216,41.37,1.04,0
0.838,-5.62965,-11.3,0.094,-0.132,0.4086,-1.2252,-1.3482,-1.2255,0.000,39.1,32.1,18.72,2.690,49.31,1.05,0
0.867,-5.63300,-12.5,0.104,-0.108,0.4389,-1.3252,-1.4482,-1.3273,0.000,39.1,32.1,18.66,3.132,57.79,0.77,0
0.898,-5.63550,-13.4,0.112,-0.079,0.4632,-1.4252,-1.5287,-1.4281,0.000,39.1,32.1,18.57,3.614,66.61,0.67,0
0.928,-5.63748,-14.1,0.117,-0.064,0.4833,-1.5252,-1.5949,-1.5225,0.000,39.1,32.1,18.50,4.136,75.46,0.55,0
0.958,-5.63899,-14.6,0.122,-0.056,0.4990,-1.6252,-1.6467,-1.6204,0.000,39.1,32.1,18.42,4.635,85.68,0.38,0
0.990,-5.64020,-15.1,0.126,-0.040,0.5118,-1.6889,-1.6889,-1.6546,0.000,39.1,32.1,18.37,4.862,88.65,0.47,0
1.021,-5.64173,-15.6,0.130,-0.061,0.5280,-1.7424,-1.7424,-1.6562,0.000,39.1,32.2,18.39,4.895,90.30,0.74,0
1.053,-5.64424,-16.5,0.138,-0.100,0.5549,-1.8312,-1.8312,-1.6467,0.000,39.1,32.2,18.37,5.003,91.93,1.13,0
1.084,-5.64785,-17.8,0.149,-0.124,0.5934,-1.9312,-1.9582,-1.6421,0.000,39.1,32.2,18.35,5.124,94.07,1.27,0
1.115,-5.65159,-19.2,0.160,-0.126,0.6320,-2.0312,-2.0857,-1.6442,0.000,39.1,32.2,18.33,5.210,95.67,1.23,0
1.146,-5.65547,-20.6,0.171,-0.125,0.6696,-2.1312,-2.2098,-1.6390,0.000,39.1,32.2,18.33,5.206,95.41,1.24,0
1.176,-5.65925,-21.9,0.183,-0.121,0.7026,-2.2312,-2.3185,-1.6487,0.000,39.1,32.2,18.32,5.169,94.47,1.16,0
1.207,-5.66266,-23.2,0.193,-0.116,0.7300,-2.3312,-2.4090,-1.6539,0.000,39.1,32.2,18.33,5.075,93.08,1.17,0
1.237,-5.66591,-24.3,0.203,-0.097,0.7549,-2.4312,-2.4912,-1.6474,0.000,39.1,32.3,18.34,5.017,92.59,0.99,0
1.268,-5.66874,-25.3,0.211,-0.089,0.7756,-2.5312,-2.5596,-1.6479,0.000,39.1,32.3,18.35,5.024,92.06,0.87,0
1.299,-5.67131,-26.3,0.219,-0.083,0.7938,-2.6195,-2.6195,-1.6485,0.000,39.1,32.3,18.36,4.946,90.83,0.89,0
1.331,-5.67391,-27.2,0.227,-0.087,0.8114,-2.6775,-2.6775,-1.6533,0.000,39.1,32.3,18.37,4.875,89.13,1.03,0
1.363,-5.67698,-28.3,0.236,-0.110,0.8311,-2.7428,-2.7428,-1.6493,0.000,39.1,32.3,18.40,4.710,86.52,1.26,0
