time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.000,-5.64819,-0.0,0.000,-0.026,1.0000,-0.1000,-1.5000,-0.0614,0.000,41.4,40.9,19.21,0.021,0.78,-0.00,0
0.028,-5.64821,-0.0,0.000,0.004,1.0000,-0.2000,-1.5000,-0.2035,0.000,41.4,40.8,19.18,0.170,3.34,-0.29,0
0.055,-5.64491,1.2,0.009,0.037,1.0000,-0.3000,-1.5000,-0.3024,0.000,41.4,40.8,19.17,0.316,5.75,-0.35,0
0.082,-5.64239,2.1,0.017,0.073,1.0000,-0.4000,-1.5000,-0.4114,0.000,41.4,40.8,19.15,0.444,8.35,-0.26,0
0.111,-5.63904,3.3,0.026,0.130,1.0000,-0.5000,-1.5000,-0.5154,0.000,41.4,40.8,19.13,0.651,11.83,-0.64,0
0.138,-5.63472,4.8,0.039,0.167,1.0000,-0.6000,-1.5000,-0.6064,0.000,41.4,40.8,19.10,0.880,15.95,-0.87,0
0.165,-5.62955,6.7,0.054,0.194,1.0000,-0.7000,-1.5000,-0.7197,0.000,41.5,40.8,19.06,1.124,19.98,-1.10,0
0.191,-5.62404,8.7,0.069,0.201,1.0000,-0.8000,-1.5000,-0.8146,0.000,41.5,40.8,19.03,1.356,24.29,-1.25,0
0.218,-5.61853,10.7,0.085,0.209,1.0000,-0.9000,-1.5000,-0.9197,0.000,41.5,40.8,18.97,1.587,28.72,-1.41,0
0.245,-5.61714,11.2,0.089,-0.010,1.0000,-1.0000,-1.5000,-1.0077,0.000,41.5,40.7,18.93,1.815,33.31,-0.09,0
0.272,-5.61732,11.1,0.089,-0.023,1.0000,-1.1000,-1.5000,-1.1191,0.000,41.5,40.7,18.87,2.191,39.40,0.03,0
0.299,-5.61741,11.1,0.088,-0.007,1.0000,-1.2000,-1.5000,-1.2203,0.000,41.5,40.7,18.81,2.547,46.38,-0.04,0
0.326,-5.61729,11.1,0.089,0.029,1.0000,-1.3000,-1.5000,-1.3257,0.000,41.5,40.7,18.73,2.955,53.43,-0.50,0
0.353,-5.61614,11.5,0.092,0.027,1.0000,-1.4000,-1.5000,-1.4202,0.000,41.5,40.7,18.65,3.354,60.33,-0.21,0
0.380,-5.61584,11.6,0.093,0.007,1.0000,-1.5000,-1.5000,-1.5180,0.000,41.5,40.7,18.58,3.827,68.57,-0.19,0
0.407,-5.61579,11.6,0.093,0.002,1.0000,-1.5000,-1.5000,-1.5020,0.000,41.5,40.7,18.59,3.688,68.41,0.05,0
0.433,-5.61573,11.7,0.093,-0.007,1.0000,-1.5000,-1.5000,-1.4954,0.000,41.5,40.7,18.58,3.672,68.44,0.06,0
0.460,-5.61622,11.5,0.092,-0.038,1.0000,-1.5000,-1.5000,-1.5023,0.000,41.5,40.7,18.57,3.653,67.98,0.56,0
0.487,-5.61869,10.6,0.085,-0.137,1.0000,-1.5000,-1.5000,-1.4985,0.000,41.6,40.7,18.57,3.665,68.32,1.48,0
0.514,-5.62390,8.7,0.070,-0.238,1.0000,-1.5000,-1.5000,-1.4975,0.000,41.6,40.7,18.56,3.719,68.96,2.38,0
0.541,-5.63191,5.8,0.047,-0.351,1.0000,-1.5000,-1.5000,-1.4935,0.000,41.6,40.6,18.54,3.870,71.95,3.49,0
0.568,-5.64246,2.0,0.016,-0.422,1.0000,-1.5000,-1.5000,-1.5013,0.000,41.6,40.6,18.49,4.142,77.07,4.02,0
