time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.000,-5.60410,0.0,0.000,0.016,1.0000,-0.1000,-1.5000,-0.1061,0.000,36.4,36.1,19.28,0.068,1.30,-0.02,0
0.045,-5.60086,1.2,0.007,0.021,1.0000,-0.2000,-1.5000,-0.2100,0.000,36.4,36.1,19.28,0.167,3.16,-0.04,0
0.078,-5.59976,1.6,0.009,0.026,1.0000,-0.3000,-1.5000,-0.2945,0.000,36.4,36.1,19.26,0.289,5.50,-0.08,0
0.112,-5.59868,2.0,0.011,0.021,1.0000,-0.4000,-1.5000,-0.4111,0.000,36.4,36.1,19.23,0.468,8.57,-0.21,0
0.142,-5.59743,2.4,0.014,0.019,1.0000,-0.5000,-1.5000,-0.5022,0.000,36.4,36.1,19.20,0.653,11.87,-0.12,0
0.174,-5.59655,2.8,0.015,0.011,1.0000,-0.6000,-1.5000,-0.6034,0.000,36.4,36.1,19.17,0.864,16.14,-0.10,0
0.205,-5.59589,3.0,0.017,0.015,1.0000,-0.7000,-1.5000,-0.7043,0.000,36.4,36.1,19.13,1.108,20.89,-0.10,0
0.236,-5.59519,3.2,0.018,0.013,1.0000,-0.8000,-1.5000,-0.7945,0.000,36.4,36.1,19.07,1.402,25.98,-0.13,0
0.266,-5.59374,3.8,0.021,0.033,1.0000,-0.9000,-1.5000,-0.8989,0.000,36.4,36.1,19.01,1.717,31.74,-0.14,0
0.297,-5.59329,3.9,0.022,0.001,1.0000,-1.0000,-1.5000,-0.9984,0.000,36.4,36.1,18.93,2.062,38.25,0.00,0
0.327,-5.59303,4.0,0.022,0.018,1.0000,-1.1000,-1.5000,-1.0947,0.000,36.4,36.1,18.86,2.436,45.28,0.09,0
0.360,-5.59248,4.2,0.023,0.031,1.0000,-1.2000,-1.5000,-1.1969,0.000,36.4,36.1,18.77,2.866,52.87,-0.15,0
0.391,-5.59095,4.8,0.026,0.022,1.0000,-1.3000,-1.5000,-1.3032,0.000,36.4,36.1,18.69,3.325,61.77,-0.19,0
0.428,-5.59002,5.1,0.028,0.006,1.0000,-1.4000,-1.5000,-1.4045,0.000,36.4,36.0,18.59,3.881,71.23,0.01,0
0.459,-5.59034,5.0,0.028,0.006,1.0000,-1.5000,-1.5000,-1.5030,0.000,36.5,36.0,18.48,4.402,80.02,-0.08,0
0.489,-5.59002,5.1,0.028,0.008,1.0000,-1.5000,-1.5000,-1.5077,0.000,36.5,36.0,18.48,4.354,80.26,-0.04,0
0.519,-5.58916,5.4,0.030,0.071,1.0000,-1.5000,-1.5000,-1.4958,0.000,36.5,36.0,18.47,4.392,81.31,-0.38,0
0.550,-5.58825,5.7,0.032,0.001,1.0000,-1.5000,-1.5000,-1.4979,0.000,36.5,36.0,18.46,4.367,81.35,-0.16,0
0.581,-5.58811,5.8,0.032,0.007,1.0000,-1.5000,-1.5000,-1.5018,0.000,36.5,36.0,18.46,4.354,80.22,-0.02,0
0.612,-5.58809,5.8,0.032,0.000,1.0000,-1.5000,-1.5000,-1.4994,0.000,36.5,36.0,18.46,4.333,80.19,0.05,0
0.642,-5.58869,5.6,0.031,-0.035,1.0000,-1.5000,-1.5000,-1.4979,0.000,36.5,36.0,18.47,4.293,79.77,0.29,0
0.676,-5.59016,5.1,0.028,-0.032,1.0000,-1.5000,-1.5000,-1.4982,0.000,36.5,36.0,18.47,4.293,78.95,0.14,0
0.708,-5.59097,4.8,0.026,-0.043,1.0000,-1.5000,-1.5000,-1.5004,0.000,36.5,36.0,18.44,4.286,78.42,0.40,0
0.739,-5.59231,4.3,0.024,-0.051,1.0000,-1.5000,-1.5000,-1.4976,0.000,36.5,36.0,18.44,4.239,78.65,0.49,0
0.770,-5.59317,4.0,0.022,-0.015,1.0000,-1.5000,-1.5000,-1.5057,0.000,36.5,36.0,18.44,4.260,78.07,0.27,0
0.800,-5.59381,3.7,0.021,-0.020,1.0000,-1.5000,-1.5000,-1.5014,0.000,36.5,36.0,18.44,4.231,78.36,0.09,0
