time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.008,-5.59676,-0.0,0.000,-0.003,1.0000,-0.1000,-1.0000,-0.0669,0.000,41.8,36.8,19.09,-0.000,0.00,-0.00,0
0.042,-5.59628,0.2,0.001,0.006,1.0000,-0.2000,-1.0000,-0.2002,0.000,41.8,36.8,19.09,-0.000,0.00,-0.00,0
0.071,-5.59470,0.7,0.006,0.003,1.0000,-0.3000,-1.0000,-0.3003,0.000,41.8,36.8,19.09,-0.000,0.00,-0.00,0
0.103,-5.59398,1.0,0.008,0.021,1.0000,-0.4000,-1.0000,-0.4103,0.000,41.8,36.8,19.09,-0.000,0.00,-0.00,0
0.130,-5.59327,1.3,0.010,0.008,1.0000,-0.5000,-1.0000,-0.5206,0.000,41.8,36.8,19.09,-0.000,0.00,-0.00,0
0.156,-5.59260,1.5,0.012,0.017,1.0000,-0.6000,-1.0000,-0.6265,0.000,41.8,36.8,19.09,-0.000,0.00,-0.00,0
0.181,-5.59204,1.7,0.014,0.009,1.0000,-0.7000,-1.0000,-0.7260,0.000,41.8,36.8,19.09,-0.000,0.00,-0.00,0
0.206,-5.59157,1.9,0.016,0.010,1.0000,-0.8000,-1.0000,-0.8169,0.000,41.8,36.8,19.09,-0.000,0.00,-0.00,0
0.232,-5.59104,2.1,0.017,0.013,1.0000,-0.9000,-1.0000,-0.9138,0.000,41.8,36.8,19.09,-0.000,0.00,-0.00,0
0.259,-5.59057,2.2,0.019,0.021,1.0000,-1.0000,-1.0000,-1.0247,0.000,41.8,36.8,18.84,2.077,39.28,-0.04,0
0.291,-5.59012,2.4,0.020,0.004,1.0000,-1.0000,-1.0000,-1.0016,0.000,41.8,36.8,18.84,2.077,39.28,-0.04,0
0.318,-5.59003,2.4,0.020,-0.000,1.0000,-1.0000,-1.0000,-0.9976,0.000,41.8,36.8,18.84,2.077,39.28,-0.04,0
0.345,-5.59003,2.4,0.020,0.006,1.0000,-1.0000,-1.0000,-0.9977,0.000,41.8,36.8,18.84,2.077,39.28,-0.04,0
0.374,-5.58995,2.4,0.020,0.003,1.0000,-1.0000,-1.0000,-0.9985,0.000,41.8,36.8,18.84,2.077,39.28,-0.04,0
0.401,-5.58991,2.5,0.020,0.003,1.0000,-1.0000,-1.0000,-0.9973,0.000,41.8,36.8,18.84,2.077,39.28,-0.04,0
0.428,-5.58991,2.5,0.021,-0.001,1.0000,-1.0000,-1.0000,-0.9920,0.000,41.8,36.8,18.84,2.077,39.28,-0.04,0
0.454,-5.58990,2.5,0.021,0.000,1.0000,-1.0000,-1.0000,-1.0033,0.000,41.8,36.8,18.84,2.077,39.28,-0.04,0
0.481,-5.58986,2.5,0.021,-0.004,1.0000,-1.0000,-1.0000,-1.0015,0.000,41.8,36.8,18.84,2.077,39.28,-0.04,0
0.507,-5.58984,2.5,0.021,-0.001,1.0000,-1.0000,-1.0000,-1.0056,0.000,41.8,36.8,18.84,2.077,39.28,-0.04,0
0.534,-5.58983,2.5,0.021,-0.002,1.0000,-1.0000,-1.0000,-0.9965,0.000,41.8,36.8,18.81,2.092,39.38,0.00,0
0.567,-5.58983,2.5,0.021,-0.000,1.0000,-1.0000,-1.0000,-1.0048,0.000,41.8,36.8,18.81,2.092,39.38,0.00,0
0.594,-5.58980,2.5,0.021,0.002,1.0000,-1.0000,-1.0000,-1.0070,0.000,41.8,36.8,18.81,2.092,39.38,0.00,0
0.623,-5.58981,2.5,0.021,0.011,1.0000,-1.0000,-1.0000,-1.0023,0.000,41.8,36.8,18.81,2.092,39.38,0.00,0
0.652,-5.58981,2.5,0.021,0.007,1.0000,-1.0000,-1.0000,-1.0040,0.000,41.8,36.8,18.81,2.092,39.38,0.00,0
