time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.000,-5.59787,-0.0,0.000,-0.000,0.2001,-0.1000,-0.6603,-0.0953,0.000,43.7,39.6,19.18,0.045,1.21,-0.14,0
0.034,-5.59576,0.8,0.006,0.001,0.2076,-0.2000,-0.6850,-0.2037,0.000,43.7,39.5,19.18,0.168,3.06,-0.02,0
0.066,-5.59515,1.0,0.008,0.012,0.2101,-0.3000,-0.6932,-0.3070,0.000,43.7,39.5,19.16,0.298,5.49,-0.14,0
0.099,-5.59234,2.0,0.017,0.088,0.2228,-0.4000,-0.7354,-0.3949,0.000,43.7,39.5,19.14,0.460,8.53,-0.42,0
0.133,-5.58788,3.6,0.030,0.080,0.2473,-0.5000,-0.8162,-0.5056,0.000,43.7,39.5,19.11,0.673,12.56,0.33,0
0.164,-5.58815,3.5,0.029,0.014,0.2457,-0.6000,-0.8109,-0.6073,0.000,43.7,39.5,19.06,0.924,16.86,-0.08,0
0.195,-5.58770,3.7,0.030,0.024,0.2484,-0.7000,-0.8198,-0.6956,0.000,43.7,39.5,19.02,1.187,22.10,-0.13,0
0.225,-5.58691,3.9,0.033,0.001,0.2533,-0.8000,-0.8358,-0.8025,0.000,43.7,39.5,18.97,1.507,27.49,-0.15,0
0.255,-5.58683,4.0,0.033,0.003,0.2538,-0.8375,-0.8375,-0.8393,0.000,43.7,39.5,18.94,1.586,29.81,-0.05,0
0.286,-5.58721,3.8,0.032,-0.025,0.2514,-0.8297,-0.8297,-0.8270,0.000,43.6,39.5,18.95,1.532,29.28,0.07,0
0.316,-5.58801,3.5,0.030,-0.043,0.2465,-0.8136,-0.8136,-0.8141,0.000,43.6,39.5,18.95,1.477,27.90,0.30,0
0.347,-5.58996,2.8,0.024,-0.080,0.2353,-0.7764,-0.7764,-0.7750,0.000,43.6,39.5,18.97,1.313,25.36,0.42,0
0.377,-5.59297,1.8,0.015,-0.109,0.2198,-0.7253,-0.7253,-0.7309,0.000,43.6,39.5,19.01,1.150,21.90,0.56,0
0.410,-5.59698,0.3,0.003,-0.128,0.2030,-0.6698,-0.6698,-0.6731,0.000,43.6,39.4,19.03,0.993,19.09,0.67,0
0.441,-5.60245,-1.7,0.014,-0.203,0.2185,-0.7210,-0.7210,-0.7225,0.000,43.6,39.4,19.02,1.118,20.81,0.97,0
0.471,-5.60880,-3.9,0.033,-0.191,0.2534,-0.8210,-0.8361,-0.8206,0.000,43.6,39.4,18.98,1.353,24.65,0.59,0
0.502,-5.61376,-5.7,0.048,-0.170,0.2867,-0.9210,-0.9460,-0.9230,0.000,43.6,39.4,18.94,1.535,28.37,0.85,0
0.534,-5.61840,-7.4,0.062,-0.137,0.3212,-1.0210,-1.0601,-1.0124,0.000,43.6,39.4,18.89,1.827,34.57,0.85,0
0.566,-5.62231,-8.8,0.073,-0.114,0.3522,-1.1210,-1.1621,-1.1066,0.000,43.6,39.4,18.84,2.191,41.31,0.71,0
0.598,-5.62559,-10.0,0.083,-0.108,0.3789,-1.2210,-1.2504,-1.2206,0.000,43.6,39.4,18.76,2.612,48.47,0.75,0
0.629,-5.62908,-11.2,0.094,-0.120,0.4078,-1.3210,-1.3459,-1.3271,0.000,43.6,39.4,18.69,3.078,56.53,0.90,0
0.660,-5.63293,-12.6,0.105,-0.127,0.4428,-1.4210,-1.4613,-1.4155,0.000,43.6,39.4,18.59,3.579,66.00,0.94,0
0.690,-5.63695,-14.1,0.117,-0.138,0.4828,-1.5210,-1.5934,-1.5169,0.000,43.6,39.4,18.46,4.178,76.13,1.12,0
0.720,-5.64097,-15.5,0.129,-0.139,0.5250,-1.6210,-1.7326,-1.6217,0.000,43.6,39.4,18.34,4.816,87.79,1.29,0
0.751,-5.64518,-17.0,0.142,-0.148,0.5702,-1.7210,-1.8815,-1.6419,0.000,43.6,39.4,18.29,5.117,93.30,1.47,0
0.782,-5.65000,-18.8,0.156,-0.159,0.6208,-1.8210,-2.0486,-1.6415,0.000,43.6,39.4,18.25,5.223,95.54,1.69,0
0.812,-5.65509,-20.6,0.172,-0.158,0.6706,-1.9210,-2.2129,-1.6329,0.000,43.6,39.4,18.23,5.259,95.69,1.82,0
0.847,-5.66110,-22.8,0.190,-0.178,0.7215,-2.0210,-2.3809,-1.6306,0.000,43.6,39.4,18.24,5.105,92.88,1.79,0
0.879,-5.66704,-24.9,0.208,-0.185,0.7668,-2.1210,-2.5306,-1.6326,0.000,43.6,39.4,18.27,4.990,90.95,1.98,0
0.911,-5.67313,-27.1,0.226,-0.191,0.8093,-2.2210,-2.6708,-1.6336,0.000,43.6,39.4,18.29,4.839,88.04,2.07,0
0.941,-5.67922,-29.3,0.244,-0.201,0.8479,-2.3210,-2.7979,-1.6304,0.000,43.6,39.4,18.34,4.588,83.80,2.18,0
0.972,-5.68548,-31.5,0.263,-0.210,0.8832,-2.4210,-2.9145,-1.6318,0.000,43.6,39.4,18.37,4.334,79.25,2.08,0
1.002,-5.69181,-33.8,0.282,-0.208,0.9146,-2.5210,-3.0182,-1.6240,0.000,43.6,39.4,18.38,4.332,80.12,2.09,0
1.032,-5.69779,-36.0,0.300,-0.188,0.9403,-2.6210,-3.1029,-1.6433,0.000,43.6,39.4,18.37,4.463,82.51,1.89,0
1.063,-5.70326,-37.9,0.316,-0.165,0.9603,-2.7210,-3.1691,-1.6386,0.000,43.6,39.4,18.32,4.687,85.64,1.69,0
1.099,-5.70879,-39.9,0.333,-0.142,0.9773,-2.8210,-3.2251,-1.6459,0.000,43.6,39.4,18.31,4.838,87.84,1.40,0
