time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.004,-5.59961,-0.0,0.000,-0.009,1.0000,-0.1000,-1.5000,-0.0321,0.000,39.3,33.8,19.06,0.000,0.00,-0.00,0
0.029,-5.59918,0.1,0.001,0.000,1.0000,-0.2000,-1.5000,-0.2058,0.000,39.3,33.8,19.06,0.000,0.00,-0.00,0
0.053,-5.59718,0.9,0.007,0.028,1.0000,-0.3000,-1.5000,-0.3121,0.000,39.3,33.8,19.06,0.000,0.00,-0.00,0
0.081,-5.59618,1.2,0.010,0.005,1.0000,-0.4000,-1.5000,-0.4058,0.000,39.3,33.8,19.06,0.000,0.00,-0.00,0
0.123,-5.59576,1.4,0.011,0.004,1.0000,-0.5000,-1.5000,-0.5165,0.000,39.3,33.8,19.06,0.000,0.00,-0.00,0
0.157,-5.59522,1.6,0.013,0.009,1.0000,-0.6000,-1.5000,-0.6278,0.000,39.3,33.8,19.06,0.000,0.00,-0.00,0
0.185,-5.59468,1.8,0.015,0.005,1.0000,-0.7000,-1.5000,-0.7016,0.000,39.3,33.8,19.06,0.000,0.00,-0.00,0
0.231,-5.59442,1.9,0.015,0.001,1.0000,-0.8000,-1.5000,-0.8068,0.000,39.3,33.8,19.06,0.000,0.00,-0.00,0
0.255,-5.59418,1.9,0.016,0.005,1.0000,-0.9000,-1.5000,-0.9161,0.000,39.3,33.8,19.06,0.000,0.00,-0.00,0
0.279,-5.59378,2.1,0.017,0.015,1.0000,-1.0000,-1.5000,-1.0077,0.000,39.3,33.8,18.81,2.049,38.49,-0.21,0
0.306,-5.59315,2.3,0.019,0.020,1.0000,-1.1000,-1.5000,-1.1136,0.000,39.3,33.8,18.81,2.049,38.49,-0.21,0
0.330,-5.59251,2.5,0.021,0.009,1.0000,-1.2000,-1.5000,-1.2119,0.000,39.3,33.8,18.81,2.049,38.49,-0.21,0
0.355,-5.59195,2.7,0.023,0.016,1.0000,-1.3000,-1.5000,-1.3168,0.000,39.3,33.8,18.81,2.049,38.49,-0.21,0
0.380,-5.59148,2.9,0.024,0.020,1.0000,-1.4000,-1.5000,-1.4061,0.000,39.3,33.8,18.81,2.049,38.49,-0.21,0
0.404,-5.59099,3.1,0.026,0.013,1.0000,-1.5000,-1.5000,-1.5032,0.000,39.3,33.8,18.81,2.049,38.49,-0.21,0
0.428,-5.59045,3.3,0.027,0.014,1.0000,-1.5000,-1.5000,-1.5049,0.000,39.3,33.8,18.81,2.049,38.49,-0.21,0
0.452,-5.59028,3.3,0.028,0.002,1.0000,-1.5000,-1.5000,-1.4989,0.000,39.3,33.8,18.81,2.049,38.49,-0.21,0
0.476,-5.59029,3.3,0.028,-0.003,1.0000,-1.5000,-1.5000,-1.5052,0.000,39.3,33.8,18.81,2.049,38.49,-0.21,0
0.500,-5.59039,3.3,0.028,-0.003,1.0000,-1.5000,-1.5000,-1.4989,0.000,39.3,33.8,18.81,2.049,38.49,-0.21,0
0.524,-5.59052,3.3,0.027,-0.005,1.0000,-1.5000,-1.5000,-1.5006,0.000,39.3,33.9,18.45,4.322,79.32,0.06,0
0.550,-5.59063,3.2,0.027,0.001,1.0000,-1.5000,-1.5000,-1.5039,0.000,39.3,33.9,18.45,4.322,79.32,0.06,0
0.574,-5.59062,3.2,0.027,0.007,1.0000,-1.5000,-1.5000,-1.4958,0.000,39.3,33.9,18.45,4.322,79.32,0.06,0
0.598,-5.59062,3.2,0.027,-0.009,1.0000,-1.5000,-1.5000,-1.5001,0.000,39.3,33.9,18.45,4.322,79.32,0.06,0
0.624,-5.59061,3.2,0.027,0.014,1.0000,-1.5000,-1.5000,-1.4969,0.000,39.3,33.9,18.45,4.322,79.32,0.06,0
0.648,-5.59058,3.2,0.027,0.000,1.0000,-1.5000,-1.5000,-1.5006,0.000,39.3,33.9,18.45,4.322,79.32,0.06,0
0.672,-5.59069,3.2,0.027,-0.010,1.0000,-1.5000,-1.5000,-1.5004,0.000,39.3,33.9,18.45,4.322,79.32,0.06,0
0.696,-5.59092,3.1,0.026,-0.003,1.0000,-1.5000,-1.5000,-1.4988,0.000,39.3,33.9,18.45,4.322,79.32,0.06,0
0.720,-5.59104,3.1,0.026,0.000,1.0000,-1.5000,-1.5000,-1.4953,0.000,39.3,33.9,18.45,4.322,79.32,0.06,0
0.744,-5.59155,2.9,0.024,-0.050,1.0000,-1.5000,-1.5000,-1.5061,0.000,39.3,33.9,18.45,4.322,79.32,0.06,0
0.768,-5.59350,2.2,0.018,-0.109,1.0000,-1.5000,-1.5000,-1.5039,0.000,39.3,33.9,18.44,4.246,78.35,0.45,0
0.795,-5.59582,1.3,0.011,-0.138,1.0000,-1.5000,-1.5000,-1.4980,0.000,39.3,33.9,18.44,4.246,78.35,0.45,0
0.819,-5.59904,0.2,0.002,-0.123,1.0000,-1.5000,-1.5000,-1.5046,0.000,39.3,33.9,18.44,4.246,78.35,0.45,0
0.843,-5.60144,-0.7,0.006,-0.075,1.0000,-1.5000,-1.5000,-1.5052,0.000,39.3,33.9,18.44,4.246,78.35,0.45,0
0.867,-5.60332,-1.4,0.011,-0.108,1.0000,-1.5000,-1.5000,-1.4950,0.000,39.3,33.9,18.44,4.246,78.35,0.45,0
0.891,-5.60751,-2.9,0.024,-0.251,1.0000,-1.5000,-1.5000,-1.4942,0.000,39.3,33.9,18.44,4.246,78.35,0.45,0
0.914,-5.61317,-4.9,0.041,-0.250,1.0000,-1.5000,-1.5000,-1.5037,0.000,39.3,33.9,18.44,4.246,78.35,0.45,0
0.938,-5.61905,-7.0,0.058,-0.232,1.0000,-1.5000,-1.5000,-1.5023,0.000,39.3,33.9,18.44,4.246,78.35,0.45,0
0.962,-5.62636,-9.6,0.080,-0.263,1.0000,-1.5000,-1.5000,-1.4950,0.000,39.3,33.9,18.44,4.246,78.35,0.45,0
0.986,-5.63408,-12.4,0.104,-0.307,1.0000,-1.5000,-1.5000,-1.5003,0.000,39.3,33.9,18.44,4.246,78.35,0.45,0
1.010,-5.64052,-14.7,0.123,-0.276,1.0000,-1.5000,-1.5000,-1.4938,0.000,39.3,34.0,18.48,4.005,74.09,2.56,0
1.037,-5.64741,-17.2,0.144,-0.247,1.0000,-1.5000,-1.5000,-1.5015,0.000,39.3,34.0,18.48,4.005,74.09,2.56,0
1.060,-5.65270,-19.1,0.159,-0.215,1.0000,-1.5000,-1.5000,-1.4992,0.000,39.3,34.0,18.48,4.005,74.09,2.56,0
1.084,-5.65715,-20.7,0.173,-0.178,1.0000,-1.5000,-1.5000,-1.4947,0.000,39.3,34.0,18.48,4.005,74.09,2.56,0
1.108,-5.66144,-22.3,0.186,-0.173,1.0000,-1.5000,-1.5000,-1.5101,0.000,39.3,34.0,18.48,4.005,74.09,2.56,0
1.132,-5.66492,-23.5,0.196,-0.115,1.0000,-1.5000,-1.5000,-1.5059,0.000,39.3,34.0,18.48,4.005,74.09,2.56,0
1.156,-5.66717,-24.3,0.203,-0.071,1.0000,-1.5000,-1.5000,-1.5061,0.000,39.3,34.0,18.48,4.005,74.09,2.56,0
1.180,-5.66848,-24.8,0.207,-0.049,1.0000,-1.5000,-1.5000,-1.5033,0.000,39.3,34.0,18.48,4.005,74.09,2.56,0
1.204,-5.66982,-25.3,0.211,-0.062,1.0000,-1.5000,-1.5000,-1.5026,0.000,39.3,34.0,18.48,4.005,74.09,2.56,0
1.228,-5.67137,-25.8,0.215,-0.068,1.0000,-1.5000,-1.5000,-1.4980,0.000,39.3,34.0,18.48,4.005,74.09,2.56,0
1.252,-5.67334,-26.6,0.221,-0.095,1.0000,-1.5000,-1.5000,-1.4998,0.000,39.4,34.2,18.45,4.099,75.71,0.95,0
