time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.012,-5.59619,-0.2,0.001,-0.014,1.0000,-0.1000,-1.5000,-0.0485,0.000,36.9,39.7,19.08,0.000,0.00,-0.00,0
0.040,-5.59586,-0.0,0.000,0.022,1.0000,-0.2000,-1.5000,-0.2110,0.000,36.9,39.7,19.08,0.000,0.00,-0.00,0
0.069,-5.59381,0.7,0.006,0.002,1.0000,-0.3000,-1.5000,-0.3157,0.000,36.9,39.7,19.08,0.000,0.00,-0.00,0
0.102,-5.59318,0.9,0.008,0.004,1.0000,-0.4000,-1.5000,-0.4219,0.000,36.9,39.7,19.08,0.000,0.00,-0.00,0
0.129,-5.59271,1.1,0.009,0.009,1.0000,-0.5000,-1.5000,-0.5246,0.000,36.9,39.7,19.08,0.000,0.00,-0.00,0
0.155,-5.59253,1.2,0.010,-0.008,1.0000,-0.6000,-1.5000,-0.6226,0.000,36.9,39.7,19.08,0.000,0.00,-0.00,0
0.180,-5.59201,1.3,0.011,-0.017,1.0000,-0.7000,-1.5000,-0.7271,0.000,36.9,39.7,19.08,0.000,0.00,-0.00,0
0.206,-5.59189,1.4,0.011,-0.004,1.0000,-0.8000,-1.5000,-0.8184,0.000,36.9,39.7,19.08,0.000,0.00,-0.00,0
0.234,-5.59183,1.4,0.012,0.015,1.0000,-0.9000,-1.5000,-0.9178,0.000,36.9,39.7,19.08,0.000,0.00,-0.00,0
0.261,-5.59121,1.6,0.014,0.014,1.0000,-1.0000,-1.5000,-1.0218,0.000,36.9,39.6,18.83,2.076,38.97,-0.01,0
0.295,-5.59099,1.7,0.014,-0.014,1.0000,-1.1000,-1.5000,-1.1182,0.000,36.9,39.6,18.83,2.076,38.97,-0.01,0
0.322,-5.59075,1.8,0.015,0.001,1.0000,-1.2000,-1.5000,-1.2281,0.000,36.9,39.6,18.83,2.076,38.97,-0.01,0
0.350,-5.59046,1.9,0.016,0.011,1.0000,-1.3000,-1.5000,-1.3093,0.000,36.9,39.6,18.83,2.076,38.97,-0.01,0
0.378,-5.59014,2.0,0.017,0.003,1.0000,-1.4000,-1.5000,-1.4221,0.000,36.9,39.6,18.83,2.076,38.97,-0.01,0
0.405,-5.58934,2.3,0.019,0.038,1.0000,-1.5000,-1.5000,-1.5255,0.000,36.9,39.6,18.83,2.076,38.97,-0.01,0
0.431,-5.58741,3.0,0.025,0.084,1.0000,-1.5000,-1.5000,-1.4915,0.000,36.9,39.6,18.83,2.076,38.97,-0.01,0
0.458,-5.58463,4.0,0.033,0.100,1.0000,-1.5000,-1.5000,-1.4983,0.000,36.9,39.6,18.83,2.076,38.97,-0.01,0
0.484,-5.58128,5.2,0.043,-0.022,1.0000,-1.5000,-1.5000,-1.5070,0.000,36.9,39.6,18.83,2.076,38.97,-0.01,0
0.511,-5.58391,4.3,0.035,-0.066,1.0000,-1.5000,-1.5000,-1.5003,0.000,36.9,39.6,18.83,2.076,38.97,-0.01,0
0.538,-5.58516,3.8,0.032,-0.047,1.0000,-1.5000,-1.5000,-1.4948,0.000,37.0,39.5,18.46,4.414,81.20,0.35,0
0.570,-5.58638,3.4,0.028,-0.037,1.0000,-1.5000,-1.5000,-1.4991,0.000,37.0,39.5,18.46,4.414,81.20,0.35,0
0.596,-5.58883,2.5,0.021,-0.129,1.0000,-1.5000,-1.5000,-1.4999,0.000,37.0,39.5,18.46,4.414,81.20,0.35,0
0.624,-5.59334,0.9,0.007,-0.176,1.0000,-1.5000,-1.5000,-1.5062,0.000,37.0,39.5,18.46,4.414,81.20,0.35,0
0.651,-5.59811,-0.9,0.007,-0.185,1.0000,-1.5000,-1.5000,-1.5011,0.000,37.0,39.5,18.46,4.414,81.20,0.35,0
0.677,-5.60313,-2.7,0.022,-0.217,1.0000,-1.5000,-1.5000,-1.5008,0.000,37.0,39.5,18.46,4.414,81.20,0.35,0
0.703,-5.60836,-4.6,0.038,-0.185,1.0000,-1.5000,-1.5000,-1.5020,0.000,37.0,39.5,18.46,4.414,81.20,0.35,0
0.729,-5.61321,-6.3,0.052,-0.167,1.0000,-1.5000,-1.5000,-1.5048,0.000,37.0,39.5,18.46,4.414,81.20,0.35,0
0.755,-5.61841,-8.2,0.068,-0.237,1.0000,-1.5000,-1.5000,-1.5012,0.000,37.0,39.5,18.46,4.414,81.20,0.35,0
0.782,-5.62495,-10.5,0.088,-0.270,1.0000,-1.5000,-1.5000,-1.5013,0.000,37.0,39.5,18.46,4.414,81.20,0.35,0
0.809,-5.63298,-13.4,0.112,-0.356,1.0000,-1.5000,-1.5000,-1.4987,0.000,37.1,39.5,18.53,3.857,71.55,3.53,0
0.841,-5.64560,-18.0,0.150,-0.430,1.0000,-1.5000,-1.5000,-1.4920,0.000,37.1,39.5,18.53,3.857,71.55,3.53,0
0.869,-5.65903,-22.8,0.190,-0.498,1.0000,-1.5000,-1.5000,-1.5033,0.000,37.1,39.5,18.53,3.857,71.55,3.53,0
0.902,-5.67717,-29.3,0.244,-0.586,1.0000,-1.5000,-1.5000,-1.5057,0.000,37.1,39.5,18.53,3.857,71.55,3.53,0
0.930,-5.69599,-36.1,0.301,-0.758,1.0000,-1.5000,-1.5000,-1.4967,0.000,37.1,39.5,18.53,3.857,71.55,3.53,0
0.956,-5.71588,-43.3,0.360,-0.765,1.0000,-1.5000,-1.5000,-1.4923,0.000,37.1,39.5,18.53,3.857,71.55,3.53,0
0.982,-5.73580,-50.4,0.420,-0.742,1.0000,-1.5000,-1.5000,-1.4926,0.000,37.1,39.5,18.53,3.857,71.55,3.53,0
1.008,-5.75544,-57.5,0.479,-0.757,1.0000,-1.5000,-1.5000,-1.5093,0.000,37.1,39.5,18.53,3.857,71.55,3.53,0
1.034,-5.77430,-64.3,0.536,-0.694,1.0000,-1.5000,-1.5000,-1.4912,0.000,37.1,39.5,18.53,3.857,71.55,3.53,0
1.060,-5.79133,-70.4,0.587,-0.642,1.0000,-1.5000,-1.5000,-1.4864,0.000,37.1,39.5,18.53,3.857,71.55,3.53,0
1.087,-5.80568,-75.6,0.630,-0.494,1.0000,-1.5000,-1.5000,-1.5081,0.000,37.1,39.6,18.47,4.106,75.91,4.12,0
1.119,-5.81997,-80.7,0.673,-0.459,1.0000,-1.5000,-1.5000,-1.5106,0.000,37.1,39.6,18.47,4.106,75.91,4.12,0
1.146,-5.83311,-85.5,0.712,-0.533,1.0000,-1.5000,-1.5000,-1.4986,0.000,37.1,39.6,18.47,4.106,75.91,4.12,0
1.172,-5.84762,-90.7,0.756,-0.576,1.0000,-1.5000,-1.5000,-1.4949,0.000,37.1,39.6,18.47,4.106,75.91,4.12,0
1.199,-5.86196,-95.8,0.799,-0.555,1.0000,-1.5000,-1.5000,-1.4933,0.000,37.1,39.6,18.47,4.106,75.91,4.12,0
1.227,-5.87664,-101.1,0.843,-0.529,1.0000,-1.5000,-1.5000,-1.4967,0.000,37.1,39.6,18.47,4.106,75.91,4.12,0
1.254,-5.89104,-106.3,0.886,-0.556,1.0000,-1.5000,-1.5000,-1.5078,0.000,37.1,39.6,18.47,4.106,75.91,4.12,0
1.281,-5.90598,-111.7,0.931,-0.566,1.0000,-1.5000,-1.5000,-1.4943,0.000,37.1,39.6,18.47,4.106,75.91,4.12,0
1.307,-5.92101,-117.1,0.976,-0.582,1.0000,-1.5000,-1.5000,-1.4931,0.000,37.1,39.6,18.47,4.106,75.91,4.12,0
1.334,-5.93577,-122.4,1.000,-0.523,1.0000,-1.5000,-1.5000,-1.4998,0.000,37.1,39.6,18.47,4.106,75.91,4.12,0
1.360,-5.94683,-126.4,1.000,-0.249,1.0000,-1.5000,-1.5000,-1.4992,0.000,37.2,39.6,18.44,4.283,79.13,1.04,0
1.393,-5.94945,-127.3,1.000,-0.060,1.0000,-1.5000,-1.5000,-1.4936,0.000,37.2,39.6,18.44,4.283,79.13,1.04,0
1.420,-5.95093,-127.9,1.000,-0.031,1.0000,-1.5000,-1.5000,-1.4968,0.000,37.2,39.6,18.44,4.283,79.13,1.04,0
1.446,-5.95230,-128.4,1.000,-0.083,1.0000,-1.5000,-1.5000,-1.4963,0.000,37.2,39.6,18.44,4.283,79.13,1.04,0
1.473,-5.95365,-128.9,1.000,-0.020,1.0000,-1.5000,-1.5000,-1.5015,0.000,37.2,39.6,18.44,4.283,79.13,1.04,0
1.500,-5.95313,-128.7,1.000,0.053,1.0000,-1.5000,-1.5000,-1.5071,0.000,37.2,39.6,18.44,4.283,79.13,1.04,0
1.526,-5.95034,-127.7,1.000,0.149,1.0000,-1.5000,-1.5000,-1.4978,0.000,37.2,39.6,18.44,4.283,79.13,1.04,0
1.553,-5.94585,-126.0,1.000,0.195,1.0000,-1.5000,-1.5000,-1.4969,0.000,37.2,39.6,18.44,4.283,79.13,1.04,0
1.580,-5.94049,-124.1,1.000,0.195,1.0000,-1.5000,-1.5000,-1.5049,0.000,37.2,39.6,18.44,4.283,79.13,1.04,0
1.607,-5.93439,-121.9,1.000,0.244,1.0000,-1.5000,-1.5000,-1.4976,0.000,37.2,39.6,18.44,4.283,79.13,1.04,0
1.633,-5.92709,-119.3,0.994,0.320,1.0000,-1.5000,-1.5000,-1.5062,0.000,37.3,39.7,18.46,4.092,75.65,-3.28,0
1.665,-5.91561,-115.2,0.960,0.405,1.0000,-1.5000,-1.5000,-1.4980,0.000,37.3,39.7,18.46,4.092,75.65,-3.28,0
1.693,-5.90382,-110.9,0.924,0.453,1.0000,-1.5000,-1.5000,-1.5064,0.000,37.3,39.7,18.46,4.092,75.65,-3.28,0
1.720,-5.89085,-106.2,0.885,0.466,1.0000,-1.5000,-1.5000,-1.5034,0.000,37.3,39.7,18.46,4.092,75.65,-3.28,0
1.747,-5.87849,-101.8,0.848,0.458,1.0000,-1.5000,-1.5000,-1.4980,0.000,37.3,39.7,18.46,4.092,75.65,-3.28,0
1.774,-5.86585,-97.2,0.810,0.492,1.0000,-1.5000,-1.5000,-1.5056,0.000,37.3,39.7,18.46,4.092,75.65,-3.28,0
1.801,-5.85389,-92.9,0.774,0.402,1.0000,-1.5000,-1.5000,-1.5072,0.000,37.3,39.7,18.46,4.092,75.65,-3.28,0
1.827,-5.84147,-88.5,0.737,0.473,1.0000,-1.5000,-1.5000,-1.4977,0.000,37.3,39.7,18.46,4.092,75.65,-3.28,0
1.854,-5.82904,-84.0,0.700,0.462,1.0000,-1.5000,-1.5000,-1.4964,0.000,37.3,39.7,18.46,4.092,75.65,-3.28,0
1.880,-5.81671,-79.6,0.663,0.469,1.0000,-1.5000,-1.5000,-1.4914,0.000,37.3,39.7,18.46,4.092,75.65,-3.28,0
1.907,-5.80440,-75.1,0.626,0.463,1.0000,-1.5000,-1.5000,-1.4937,0.000,37.4,39.9,18.41,4.564,84.10,-4.41,0
1.939,-5.78912,-69.6,0.580,0.481,1.0000,-1.5000,-1.5000,-1.5020,0.000,37.4,39.9,18.41,4.564,84.10,-4.41,0
1.966,-5.77660,-65.1,0.543,0.421,1.0000,-1.5000,-1.5000,-1.5035,0.000,37.4,39.9,18.41,4.564,84.10,-4.41,0
1.993,-5.76506,-61.0,0.508,0.398,1.0000,-1.5000,-1.5000,-1.4934,0.000,37.4,39.9,18.41,4.564,84.10,-4.41,0
2.020,-5.75234,-56.4,0.470,0.505,1.0000,-1.5000,-1.5000,-1.4938,0.000,37.4,39.9,18.41,4.564,84.10,-4.41,0
2.046,-5.74039,-52.1,0.434,0.479,1.0000,-1.5000,-1.5000,-1.4964,0.000,37.4,39.9,18.41,4.564,84.10,-4.41,0
2.074,-5.72649,-47.1,0.392,0.485,1.0000,-1.5000,-1.5000,-1.4982,0.000,37.4,39.9,18.41,4.564,84.10,-4.41,0
2.101,-5.71454,-42.8,0.356,0.354,1.0000,-1.5000,-1.5000,-1.5090,0.000,37.4,39.9,18.41,4.564,84.10,-4.41,0
2.128,-5.70452,-39.2,0.326,0.334,1.0000,-1.5000,-1.5000,-1.4999,0.000,37.4,39.9,18.41,4.564,84.10,-4.41,0
2.156,-5.69665,-36.3,0.303,0.193,1.0000,-1.5000,-1.5000,-1.5077,0.000,37.4,39.9,18.41,4.564,84.10,-4.41,0
2.182,-5.68832,-33.3,0.278,0.306,1.0000,-1.5000,-1.5000,-1.5113,0.000,37.5,40.0,18.51,3.787,70.14,-2.30,0
2.214,-5.67723,-29.3,0.245,0.339,1.0000,-1.5000,-1.5000,-1.4990,0.000,37.5,40.0,18.51,3.787,70.14,-2.30,0
2.241,-5.66954,-26.6,0.221,0.378,1.0000,-1.5000,-1.5000,-1.4937,0.000,37.5,40.0,18.51,3.787,70.14,-2.30,0
2.268,-5.65836,-22.5,0.188,0.384,1.0000,-1.5000,-1.5000,-1.5008,0.000,37.5,40.0,18.51,3.787,70.14,-2.30,0
2.294,-5.64998,-19.5,0.163,0.413,1.0000,-1.5000,-1.5000,-1.5091,0.000,37.5,40.0,18.51,3.787,70.14,-2.30,0
2.321,-5.63940,-15.7,0.131,0.364,1.0000,-1.5000,-1.5000,-1.4999,0.000,37.5,40.0,18.51,3.787,70.14,-2.30,0
2.348,-5.62978,-12.3,0.102,0.447,1.0000,-1.5000,-1.5000,-1.4996,0.000,37.5,40.0,18.51,3.787,70.14,-2.30,0
2.374,-5.61869,-8.3,0.069,0.411,1.0000,-1.5000,-1.5000,-1.5004,0.000,37.5,40.0,18.51,3.787,70.14,-2.30,0
2.401,-5.60641,-3.8,0.032,0.460,1.0000,-1.5000,-1.5000,-1.4955,0.000,37.5,40.0,18.51,3.787,70.14,-2.30,0
2.428,-5.59257,1.1,0.009,0.489,1.0000,-1.5000,-1.5000,-1.4925,0.000,37.5,40.0,18.51,3.787,70.14,-2.30,0
2.455,-5.58189,5.0,0.042,0.269,1.0000,-1.5000,-1.5000,-1.4984,0.000,37.6,40.1,18.42,4.520,82.89,-1.88,0
2.487,-5.57813,6.3,0.053,0.006,1.0000,-1.5000,-1.5000,-1.4991,0.000,37.6,40.1,18.42,4.520,82.89,-1.88,0
2.514,-5.57876,6.1,0.051,-0.043,1.0000,-1.5000,-1.5000,-1.4932,0.000,37.6,40.1,18.42,4.520,82.89,-1.88,0
2.541,-5.57951,5.8,0.049,-0.010,1.0000,-1.5000,-1.5000,-1.4985,0.000,37.6,40.1,18.42,4.520,82.89,-1.88,0
2.568,-5.57941,5.9,0.049,0.002,1.0000,-1.5000,-1.5000,-1.5017,0.000,37.6,40.1,18.42,4.520,82.89,-1.88,0
2.595,-5.57944,5.9,0.049,-0.006,1.0000,-1.5000,-1.5000,-1.5026,0.000,37.6,40.1,18.42,4.520,82.89,-1.88,0
2.621,-5.57951,5.8,0.049,-0.010,1.0000,-1.5000,-1.5000,-1.4996,0.000,37.6,40.1,18.42,4.520,82.89,-1.88,0
2.648,-5.58000,5.7,0.047,-0.035,1.0000,-1.5000,-1.5000,-1.4944,0.000,37.6,40.1,18.42,4.520,82.89,-1.88,0
