time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.000,-5.59580,-0.0,0.000,-0.009,0.2000,-0.1000,-0.6601,-0.0957,0.000,40.3,32.4,19.25,0.058,1.10,-0.00,0
0.038,-5.59556,0.1,0.001,0.006,0.2008,-0.2000,-0.6626,-0.2067,0.000,40.3,32.4,19.23,0.163,3.13,-0.03,0
0.071,-5.59491,0.3,0.003,0.004,0.2030,-0.3000,-0.6700,-0.3073,0.000,40.3,32.4,19.22,0.288,5.35,-0.02,0
0.104,-5.59436,0.5,0.004,-0.003,0.2051,-0.4000,-0.6767,-0.4035,0.000,40.3,32.4,19.21,0.449,8.58,-0.06,0
0.136,-5.59399,0.6,0.005,-0.010,0.2064,-0.5000,-0.6813,-0.5069,0.000,40.3,32.4,19.19,0.637,12.06,-0.12,0
0.167,-5.59400,0.6,0.005,-0.010,0.2064,-0.6000,-0.6812,-0.6027,0.000,40.3,32.4,19.16,0.860,15.95,0.11,0
0.199,-5.59418,0.6,0.005,-0.004,0.2057,-0.6789,-0.6789,-0.6759,0.000,40.3,32.4,19.14,1.046,19.60,0.01,0
0.231,-5.59395,0.7,0.006,0.010,0.2066,-0.6819,-0.6819,-0.6796,0.000,40.3,32.4,19.13,1.035,19.75,-0.03,0
0.263,-5.59376,0.7,0.006,-0.006,0.2074,-0.6843,-0.6843,-0.6769,0.000,40.3,32.4,19.11,1.043,19.87,0.00,0
0.294,-5.59399,0.6,0.005,-0.012,0.2065,-0.6813,-0.6813,-0.6844,0.000,40.3,32.4,19.12,1.036,19.56,0.09,0
0.325,-5.59476,0.4,0.003,-0.037,0.2036,-0.6718,-0.6718,-0.6662,0.000,40.3,32.4,19.12,1.007,19.22,0.21,0
0.356,-5.59673,-0.3,0.003,-0.091,0.2032,-0.6706,-0.6706,-0.6767,0.000,40.3,32.5,19.12,0.995,19.04,0.45,0
0.388,-5.60074,-1.8,0.015,-0.158,0.2201,-0.7263,-0.7263,-0.7276,0.000,40.3,32.5,19.11,1.133,21.34,0.78,0
0.419,-5.60579,-3.6,0.030,-0.161,0.2475,-0.8168,-0.8168,-0.8168,0.000,40.3,32.5,19.08,1.335,25.09,0.79,0
0.450,-5.61086,-5.4,0.045,-0.170,0.2806,-0.9168,-0.9261,-0.9235,0.000,40.3,32.5,19.05,1.554,28.85,1.05,0
0.481,-5.61608,-7.3,0.061,-0.164,0.3192,-1.0168,-1.0534,-1.0222,0.000,40.3,32.5,19.02,1.778,32.98,0.99,0
0.511,-5.62055,-8.9,0.074,-0.138,0.3545,-1.1168,-1.1700,-1.1102,0.000,40.3,32.5,18.97,2.136,39.84,0.91,0
0.542,-5.62437,-10.3,0.086,-0.128,0.3858,-1.2168,-1.2730,-1.2074,0.000,40.3,32.5,18.92,2.536,47.31,0.95,0
0.572,-5.62783,-11.5,0.096,-0.109,0.4148,-1.3168,-1.3688,-1.3117,0.000,40.3,32.5,18.85,3.000,55.57,0.90,0
0.602,-5.63066,-12.6,0.105,-0.091,0.4407,-1.4168,-1.4545,-1.4194,0.000,40.3,32.5,18.79,3.486,64.56,0.71,0
0.633,-5.63335,-13.5,0.113,-0.105,0.4671,-1.5168,-1.5415,-1.5131,0.000,40.3,32.5,18.71,3.991,73.86,0.95,0
0.663,-5.63653,-14.7,0.122,-0.117,0.4998,-1.6168,-1.6494,-1.6205,0.000,40.3,32.5,18.63,4.489,83.12,1.14,0
0.695,-5.64042,-16.1,0.134,-0.142,0.5411,-1.7168,-1.7856,-1.6344,0.000,40.3,32.5,18.59,4.710,87.39,1.45,0
0.726,-5.64506,-17.7,0.148,-0.163,0.5907,-1.8168,-1.9493,-1.6329,0.000,40.3,32.5,18.56,4.890,91.02,1.76,0
0.758,-5.65099,-19.9,0.166,-0.207,0.6512,-1.9168,-2.1488,-1.6245,0.000,40.3,32.5,18.53,5.003,92.90,2.24,0
0.788,-5.65779,-22.3,0.186,-0.226,0.7113,-2.0168,-2.3474,-1.6329,0.000,40.3,32.5,18.52,4.983,92.09,2.27,0
0.819,-5.66425,-24.6,0.205,-0.197,0.7614,-2.1168,-2.5128,-1.6401,0.000,40.3,32.5,18.52,4.875,90.43,1.93,0
0.850,-5.66937,-26.5,0.221,-0.144,0.7979,-2.2168,-2.6329,-1.6434,0.000,40.3,32.6,18.52,4.867,90.08,1.48,0
0.880,-5.67334,-27.9,0.233,-0.123,0.8242,-2.3168,-2.7197,-1.6550,0.000,40.3,32.6,18.53,4.808,88.84,1.20,0
0.911,-5.67660,-29.1,0.242,-0.101,0.8444,-2.4168,-2.7867,-1.6511,0.000,40.3,32.6,18.53,4.720,87.23,1.01,0
0.941,-5.67976,-30.2,0.252,-0.118,0.8630,-2.5168,-2.8480,-1.6475,0.000,40.3,32.6,18.56,4.579,85.02,1.17,0
0.972,-5.68354,-31.6,0.263,-0.143,0.8838,-2.6168,-2.9165,-1.6439,0.000,40.3,32.6,18.58,4.407,81.43,1.42,0
1.004,-5.68819,-33.3,0.277,-0.146,0.9073,-2.7168,-2.9940,-1.6436,0.000,40.3,32.6,18.60,4.263,79.69,1.55,0
1.035,-5.69295,-35.0,0.291,-0.142,0.9288,-2.8168,-3.0650,-1.6365,0.000,40.3,32.6,18.59,4.355,81.40,1.44,0
1.067,-5.69732,-36.6,0.305,-0.120,0.9464,-2.9168,-3.1232,-1.6453,0.000,40.3,32.7,18.58,4.487,83.01,1.32,0
1.098,-5.70087,-37.8,0.315,-0.113,0.9592,-3.0168,-3.1654,-1.6429,0.000,40.3,32.7,18.58,4.572,84.97,1.01,0
1.128,-5.70383,-38.9,0.324,-0.098,0.9688,-3.1168,-3.1971,-1.6509,0.000,40.3,32.7,18.57,4.633,85.90,1.01,0
1.158,-5.70704,-40.0,0.334,-0.112,0.9781,-3.2168,-3.2279,-1.6488,0.000,40.3,32.7,18.54,4.708,87.11,1.12,0
1.189,-5.71013,-41.2,0.343,-0.087,0.9861,-3.2541,-3.2541,-1.6458,0.000,40.3,32.7,18.53,4.798,88.97,0.80,0
