time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.009,-5.59669,0.0,0.000,0.003,1.0000,-0.1000,-1.5000,-0.0425,0.000,40.2,35.7,19.11,-0.000,0.00,0.00,0
0.038,-5.59640,0.1,0.001,0.012,1.0000,-0.2000,-1.5000,-0.2097,0.000,40.2,35.7,19.11,-0.000,0.00,0.00,0
0.066,-5.59552,0.4,0.004,0.009,1.0000,-0.3000,-1.5000,-0.3084,0.000,40.2,35.7,19.11,-0.000,0.00,0.00,0
0.095,-5.59460,0.8,0.006,0.024,1.0000,-0.4000,-1.5000,-0.4237,0.000,40.2,35.7,19.11,-0.000,0.00,0.00,0
0.125,-5.59387,1.0,0.009,0.004,1.0000,-0.5000,-1.5000,-0.5187,0.000,40.2,35.7,19.11,-0.000,0.00,0.00,0
0.151,-5.59326,1.2,0.010,0.004,1.0000,-0.6000,-1.5000,-0.6286,0.000,40.2,35.7,19.11,-0.000,0.00,0.00,0
0.177,-5.59259,1.5,0.012,0.005,1.0000,-0.7000,-1.5000,-0.7189,0.000,40.2,35.7,19.11,-0.000,0.00,0.00,0
0.203,-5.59198,1.7,0.014,0.012,1.0000,-0.8000,-1.5000,-0.8293,0.000,40.2,35.7,19.11,-0.000,0.00,0.00,0
0.229,-5.59141,1.9,0.016,0.019,1.0000,-0.9000,-1.5000,-0.9217,0.000,40.2,35.7,19.11,-0.000,0.00,0.00,0
0.256,-5.59088,2.1,0.018,0.006,1.0000,-1.0000,-1.5000,-1.0178,0.000,40.2,35.7,18.86,2.080,39.26,-0.12,0
0.288,-5.59026,2.3,0.019,0.010,1.0000,-1.1000,-1.5000,-1.1270,0.000,40.2,35.7,18.86,2.080,39.26,-0.12,0
0.315,-5.58974,2.5,0.021,0.019,1.0000,-1.2000,-1.5000,-1.2198,0.000,40.2,35.7,18.86,2.080,39.26,-0.12,0
0.341,-5.58932,2.7,0.022,0.020,1.0000,-1.3000,-1.5000,-1.3224,0.000,40.2,35.7,18.86,2.080,39.26,-0.12,0
0.368,-5.58865,2.9,0.024,0.018,1.0000,-1.4000,-1.5000,-1.4284,0.000,40.2,35.7,18.86,2.080,39.26,-0.12,0
0.396,-5.58854,2.9,0.025,-0.029,1.0000,-1.5000,-1.5000,-1.5252,0.000,40.2,35.7,18.86,2.080,39.26,-0.12,0
0.422,-5.58973,2.5,0.021,-0.061,1.0000,-1.5000,-1.5000,-1.4980,0.000,40.2,35.7,18.86,2.080,39.26,-0.12,0
0.448,-5.59205,1.7,0.014,-0.111,1.0000,-1.5000,-1.5000,-1.4978,0.000,40.2,35.7,18.86,2.080,39.26,-0.12,0
0.474,-5.59549,0.4,0.004,-0.121,1.0000,-1.5000,-1.5000,-1.5058,0.000,40.2,35.7,18.86,2.080,39.26,-0.12,0
0.501,-5.59842,-0.6,0.005,-0.126,1.0000,-1.5000,-1.5000,-1.5053,0.000,40.2,35.7,18.86,2.080,39.26,-0.12,0
0.527,-5.60075,-1.4,0.012,-0.057,1.0000,-1.5000,-1.5000,-1.5029,0.000,40.2,35.7,18.52,4.148,76.73,0.31,0
0.559,-5.60110,-1.6,0.013,0.028,1.0000,-1.5000,-1.5000,-1.4944,0.000,40.2,35.7,18.52,4.148,76.73,0.31,0
0.585,-5.59970,-1.1,0.009,0.075,1.0000,-1.5000,-1.5000,-1.5011,0.000,40.2,35.7,18.52,4.148,76.73,0.31,0
0.611,-5.59801,-0.5,0.004,0.043,1.0000,-1.5000,-1.5000,-1.5010,0.000,40.2,35.7,18.52,4.148,76.73,0.31,0
0.641,-5.59806,-0.5,0.004,-0.037,1.0000,-1.5000,-1.5000,-1.4961,0.000,40.2,35.7,18.52,4.148,76.73,0.31,0
0.668,-5.60035,-1.3,0.011,-0.111,1.0000,-1.5000,-1.5000,-1.4999,0.000,40.2,35.7,18.52,4.148,76.73,0.31,0
0.695,-5.60405,-2.6,0.022,-0.121,1.0000,-1.5000,-1.5000,-1.5046,0.000,40.2,35.7,18.52,4.148,76.73,0.31,0
0.729,-5.60720,-3.8,0.031,-0.084,1.0000,-1.5000,-1.5000,-1.5041,0.000,40.2,35.7,18.52,4.148,76.73,0.31,0
0.756,-5.60875,-4.3,0.036,-0.022,1.0000,-1.5000,-1.5000,-1.4913,0.000,40.2,35.7,18.52,4.148,76.73,0.31,0
0.785,-5.60808,-4.1,0.034,0.061,1.0000,-1.5000,-1.5000,-1.4973,0.000,40.2,35.7,18.52,4.148,76.73,0.31,0
0.811,-5.60553,-3.2,0.026,0.126,1.0000,-1.5000,-1.5000,-1.4937,0.000,40.2,35.8,18.51,4.065,75.36,-1.39,0
0.842,-5.60072,-1.4,0.012,0.180,1.0000,-1.5000,-1.5000,-1.4967,0.000,40.2,35.8,18.51,4.065,75.36,-1.39,0
0.867,-5.59664,0.0,0.000,0.119,1.0000,-1.5000,-1.5000,-1.4976,0.000,40.2,35.8,18.51,4.065,75.36,-1.39,0
0.893,-5.59521,0.5,0.005,0.009,1.0000,-1.5000,-1.5000,-1.5072,0.000,40.2,35.8,18.51,4.065,75.36,-1.39,0
0.918,-5.59547,0.5,0.004,-0.020,1.0000,-1.5000,-1.5000,-1.5100,0.000,40.2,35.8,18.51,4.065,75.36,-1.39,0
0.945,-5.59594,0.3,0.002,-0.014,1.0000,-1.5000,-1.5000,-1.4904,0.000,40.2,35.8,18.51,4.065,75.36,-1.39,0
