time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.003,-5.60182,0.0,0.000,0.002,0.2001,-0.1000,-0.3001,-0.0205,0.000,47.2,39.6,18.95,0.000,-0.00,0.00,0
0.028,-5.60040,0.5,0.004,0.015,0.2051,-0.2000,-0.3077,-0.2063,0.000,47.2,39.6,18.95,0.000,-0.00,0.00,0
0.052,-5.59905,1.0,0.008,0.010,0.2104,-0.3000,-0.3157,-0.3172,0.000,47.2,39.6,18.95,0.000,-0.00,0.00,0
0.076,-5.59833,1.3,0.011,0.006,0.2135,-0.3203,-0.3203,-0.3201,0.000,47.2,39.6,18.95,0.000,-0.00,0.00,0
0.101,-5.59821,1.3,0.011,-0.000,0.2141,-0.3211,-0.3211,-0.3165,0.000,47.2,39.6,18.95,0.000,-0.00,0.00,0
0.125,-5.59829,1.3,0.011,-0.008,0.2137,-0.3206,-0.3206,-0.3167,0.000,47.2,39.6,18.95,0.000,-0.00,0.00,0
0.148,-5.59841,1.2,0.010,-0.000,0.2132,-0.3198,-0.3198,-0.3206,0.000,47.2,39.6,18.95,0.000,-0.00,0.00,0
0.172,-5.59845,1.2,0.010,-0.003,0.2130,-0.3195,-0.3195,-0.3231,0.000,47.2,39.6,18.95,0.000,-0.00,0.00,0
0.203,-5.59857,1.2,0.010,0.001,0.2125,-0.3187,-0.3187,-0.3232,0.000,47.2,39.6,18.95,0.000,-0.00,0.00,0
0.227,-5.59861,1.2,0.010,-0.003,0.2123,-0.3185,-0.3185,-0.3264,0.000,47.2,39.5,18.91,0.317,6.00,0.01,0
0.254,-5.59852,1.2,0.010,0.008,0.2127,-0.3191,-0.3191,-0.3233,0.000,47.2,39.5,18.91,0.317,6.00,0.01,0
0.278,-5.59937,0.9,0.007,-0.069,0.2091,-0.3137,-0.3137,-0.3155,0.000,47.2,39.5,18.91,0.317,6.00,0.01,0
0.302,-5.59907,1.0,0.008,-0.002,0.2104,-0.3155,-0.3155,-0.3182,0.000,47.2,39.5,18.91,0.317,6.00,0.01,0
0.325,-5.59920,1.0,0.008,-0.008,0.2098,-0.3147,-0.3147,-0.3054,0.000,47.2,39.5,18.91,0.317,6.00,0.01,0
0.349,-5.59921,0.9,0.008,-0.002,0.2098,-0.3147,-0.3147,-0.3137,0.000,47.2,39.5,18.91,0.317,6.00,0.01,0
0.373,-5.59910,1.0,0.008,0.005,0.2103,-0.3154,-0.3154,-0.3179,0.000,47.2,39.5,18.91,0.317,6.00,0.01,0
0.397,-5.59867,1.1,0.010,0.025,0.2120,-0.3181,-0.3181,-0.3123,0.000,47.2,39.5,18.91,0.317,6.00,0.01,0
0.421,-5.59849,1.2,0.010,-0.014,0.2128,-0.3193,-0.3193,-0.3205,0.000,47.2,39.5,18.91,0.317,6.00,0.01,0
0.447,-5.59874,1.1,0.009,-0.002,0.2118,-0.3176,-0.3176,-0.3183,0.000,47.2,39.5,18.91,0.317,6.00,0.01,0
0.471,-5.59879,1.1,0.009,-0.007,0.2116,-0.3173,-0.3173,-0.3252,0.000,47.2,39.5,18.93,0.314,5.96,0.01,0
0.498,-5.59865,1.1,0.010,0.006,0.2121,-0.3182,-0.3182,-0.3229,0.000,47.2,39.5,18.93,0.314,5.96,0.01,0
0.522,-5.59840,1.2,0.010,0.014,0.2132,-0.3198,-0.3198,-0.3193,0.000,47.2,39.5,18.93,0.314,5.96,0.01,0
0.546,-5.59833,1.3,0.011,0.003,0.2135,-0.3203,-0.3203,-0.3161,0.000,47.2,39.5,18.93,0.314,5.96,0.01,0
0.574,-5.59831,1.3,0.011,0.013,0.2136,-0.3204,-0.3204,-0.3270,0.000,47.2,39.5,18.93,0.314,5.96,0.01,0
0.603,-5.59828,1.3,0.011,-0.009,0.2138,-0.3207,-0.3207,-0.3286,0.000,47.2,39.5,18.93,0.314,5.96,0.01,0
0.628,-5.59828,1.3,0.011,-0.002,0.2138,-0.3206,-0.3206,-0.3282,0.000,47.2,39.5,18.93,0.314,5.96,0.01,0
0.652,-5.59827,1.3,0.011,0.001,0.2138,-0.3207,-0.3207,-0.3226,0.000,47.2,39.5,18.93,0.314,5.96,0.01,0
0.682,-5.59823,1.3,0.011,-0.006,0.2140,-0.3210,-0.3210,-0.3198,0.000,47.2,39.5,18.93,0.314,5.96,0.01,0
0.712,-5.59819,1.3,0.011,-0.000,0.2141,-0.3212,-0.3212,-0.3248,0.000,47.2,39.5,18.93,0.314,5.96,0.01,0
0.742,-5.59834,1.3,0.011,-0.018,0.2135,-0.3202,-0.3202,-0.3229,0.000,47.2,39.4,18.93,0.324,6.09,0.04,0
0.777,-5.59908,1.0,0.008,-0.049,0.2103,-0.3155,-0.3155,-0.3131,0.000,47.2,39.4,18.93,0.324,6.09,0.04,0
0.803,-5.60031,0.6,0.005,-0.014,0.2054,-0.3082,-0.3082,-0.3044,0.000,47.2,39.4,18.93,0.324,6.09,0.04,0
0.829,-5.60604,-1.5,0.013,-0.299,0.2166,-0.3249,-0.3249,-0.3328,0.000,47.2,39.4,18.93,0.324,6.09,0.04,0
0.855,-5.61532,-4.9,0.040,-0.361,0.2697,-0.4046,-0.4046,-0.4247,0.000,47.2,39.4,18.93,0.324,6.09,0.04,0
0.882,-5.62157,-7.1,0.059,-0.156,0.3149,-0.4723,-0.4723,-0.4866,0.000,47.2,39.4,18.93,0.324,6.09,0.04,0
0.909,-5.62348,-7.8,0.065,-0.004,0.3297,-0.4945,-0.4945,-0.4979,0.000,47.2,39.4,18.93,0.324,6.09,0.04,0
0.936,-5.62860,-9.6,0.080,-0.304,0.3708,-0.5562,-0.5562,-0.5780,0.000,47.2,39.4,18.93,0.324,6.09,0.04,0
0.963,-5.63477,-11.9,0.099,-0.148,0.4227,-0.6340,-0.6340,-0.6561,0.000,47.2,39.4,18.93,0.324,6.09,0.04,0
0.989,-5.63761,-12.9,0.107,-0.074,0.4493,-0.6740,-0.6740,-0.6845,0.000,47.2,39.4,18.93,0.324,6.09,0.04,0
1.016,-5.63837,-13.1,0.110,0.001,0.4568,-0.6851,-0.6851,-0.6957,0.000,47.2,39.4,18.83,1.019,19.19,-0.10,0
1.048,-5.63714,-12.7,0.106,0.011,0.4448,-0.6672,-0.6672,-0.6635,0.000,47.2,39.4,18.83,1.019,19.19,-0.10,0
1.075,-5.63820,-13.1,0.109,-0.081,0.4551,-0.6826,-0.6826,-0.6890,0.000,47.2,39.4,18.83,1.019,19.19,-0.10,0
1.101,-5.64014,-13.8,0.115,-0.125,0.4745,-0.7118,-0.7118,-0.7183,0.000,47.2,39.4,18.83,1.019,19.19,-0.10,0
1.128,-5.64468,-15.4,0.128,-0.214,0.5220,-0.7829,-0.7829,-0.7916,0.000,47.2,39.4,18.83,1.019,19.19,-0.10,0
1.155,-5.65158,-17.9,0.149,-0.286,0.5956,-0.8829,-0.8935,-0.9063,0.000,47.2,39.4,18.83,1.019,19.19,-0.10,0
1.181,-5.65981,-20.9,0.174,-0.366,0.6771,-0.9829,-1.0157,-1.0057,0.000,47.2,39.4,18.83,1.019,19.19,-0.10,0
1.208,-5.67002,-24.5,0.205,-0.359,0.7594,-1.0829,-1.1390,-1.1129,0.000,47.2,39.4,18.83,1.019,19.19,-0.10,0
1.236,-5.68023,-28.2,0.235,-0.371,0.8295,-1.1829,-1.2442,-1.2246,0.000,47.2,39.4,18.83,1.019,19.19,-0.10,0
1.263,-5.68985,-31.7,0.264,-0.357,0.8852,-1.2829,-1.3278,-1.3181,0.000,47.2,39.4,18.83,1.019,19.19,-0.10,0
1.289,-5.69911,-35.0,0.292,-0.339,0.9293,-1.3829,-1.3939,-1.4136,0.000,47.2,39.4,18.53,3.340,62.17,2.88,0
1.321,-5.70957,-38.8,0.323,-0.329,0.9678,-1.4518,-1.4518,-1.4737,0.000,47.2,39.4,18.53,3.340,62.17,2.88,0
1.348,-5.71779,-41.7,0.348,-0.296,0.9898,-1.4847,-1.4847,-1.4887,0.000,47.2,39.4,18.53,3.340,62.17,2.88,0
1.375,-5.72582,-44.6,0.372,-0.313,1.0000,-1.5000,-1.5000,-1.5052,0.000,47.2,39.4,18.53,3.340,62.17,2.88,0
1.401,-5.73420,-47.6,0.397,-0.324,1.0000,-1.5000,-1.5000,-1.5043,0.000,47.2,39.4,18.53,3.340,62.17,2.88,0
1.429,-5.74329,-50.9,0.424,-0.339,1.0000,-1.5000,-1.5000,-1.4961,0.000,47.2,39.4,18.53,3.340,62.17,2.88,0
