time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.011,-5.60645,-0.0,0.000,-0.001,1.0000,-0.1000,-1.0000,-0.0522,0.000,40.4,36.5,19.10,-0.000,0.00,0.00,0
0.041,-5.60631,0.0,0.000,-0.003,1.0000,-0.2000,-1.0000,-0.2063,0.000,40.4,36.5,19.10,-0.000,0.00,0.00,0
0.071,-5.60528,0.4,0.003,0.015,1.0000,-0.3000,-1.0000,-0.3107,0.000,40.4,36.5,19.10,-0.000,0.00,0.00,0
0.102,-5.60376,0.9,0.008,0.027,1.0000,-0.4000,-1.0000,-0.4291,0.000,40.4,36.5,19.10,-0.000,0.00,0.00,0
0.129,-5.60210,1.5,0.013,0.064,1.0000,-0.5000,-1.0000,-0.5334,0.000,40.4,36.5,19.10,-0.000,0.00,0.00,0
0.155,-5.60007,2.3,0.019,0.068,1.0000,-0.6000,-1.0000,-0.6277,0.000,40.4,36.5,19.10,-0.000,0.00,0.00,0
0.181,-5.59832,2.9,0.024,0.050,1.0000,-0.7000,-1.0000,-0.7314,0.000,40.4,36.5,19.10,-0.000,0.00,0.00,0
0.208,-5.59722,3.3,0.027,0.024,1.0000,-0.8000,-1.0000,-0.8358,0.000,40.4,36.5,19.10,-0.000,0.00,0.00,0
0.234,-5.59668,3.5,0.029,0.004,1.0000,-0.9000,-1.0000,-0.9263,0.000,40.4,36.5,19.10,-0.000,0.00,0.00,0
0.261,-5.59643,3.6,0.030,0.000,1.0000,-1.0000,-1.0000,-1.0284,0.000,40.5,36.5,18.85,2.028,38.37,-0.04,0
0.293,-5.59630,3.6,0.030,-0.002,1.0000,-1.0000,-1.0000,-1.0032,0.000,40.5,36.5,18.85,2.028,38.37,-0.04,0
0.320,-5.59638,3.6,0.030,-0.002,1.0000,-1.0000,-1.0000,-0.9973,0.000,40.5,36.5,18.85,2.028,38.37,-0.04,0
0.347,-5.59656,3.5,0.029,-0.002,1.0000,-1.0000,-1.0000,-0.9960,0.000,40.5,36.5,18.85,2.028,38.37,-0.04,0
0.375,-5.59701,3.4,0.028,-0.027,1.0000,-1.0000,-1.0000,-0.9987,0.000,40.5,36.5,18.85,2.028,38.37,-0.04,0
0.402,-5.59840,2.9,0.024,-0.092,1.0000,-1.0000,-1.0000,-1.0047,0.000,40.5,36.5,18.85,2.028,38.37,-0.04,0
0.429,-5.60281,1.3,0.011,-0.246,1.0000,-1.0000,-1.0000,-1.0030,0.000,40.5,36.5,18.85,2.028,38.37,-0.04,0
0.456,-5.61210,-2.1,0.017,-0.455,1.0000,-1.0000,-1.0000,-1.0055,0.000,40.5,36.5,18.85,2.028,38.37,-0.04,0
0.482,-5.62704,-7.4,0.062,-0.630,1.0000,-1.0000,-1.0000,-0.9933,0.000,40.5,36.5,18.85,2.028,38.37,-0.04,0
0.509,-5.64516,-14.0,0.116,-0.697,1.0000,-1.0000,-1.0000,-0.9940,0.000,40.5,36.5,18.85,2.028,38.37,-0.04,0
0.537,-5.66211,-20.1,0.167,-0.490,1.0000,-1.0000,-1.0000,-0.9989,0.000,40.5,36.5,18.83,1.988,37.34,2.28,0
0.568,-5.67108,-23.3,0.194,-0.122,1.0000,-1.0000,-1.0000,-0.9972,0.000,40.5,36.5,18.83,1.988,37.34,2.28,0
0.595,-5.67168,-23.5,0.196,0.007,1.0000,-1.0000,-1.0000,-0.9960,0.000,40.5,36.5,18.83,1.988,37.34,2.28,0
0.622,-5.67288,-23.9,0.199,-0.057,1.0000,-1.0000,-1.0000,-0.9980,0.000,40.5,36.5,18.83,1.988,37.34,2.28,0
0.650,-5.67481,-24.6,0.205,-0.086,1.0000,-1.0000,-1.0000,-0.9984,0.000,40.5,36.5,18.83,1.988,37.34,2.28,0
0.677,-5.67591,-25.0,0.209,-0.040,1.0000,-1.0000,-1.0000,-0.9982,0.000,40.5,36.5,18.83,1.988,37.34,2.28,0
0.703,-5.67677,-25.3,0.211,-0.015,1.0000,-1.0000,-1.0000,-1.0071,0.000,40.5,36.5,18.83,1.988,37.34,2.28,0
0.730,-5.67564,-24.9,0.208,0.071,1.0000,-1.0000,-1.0000,-0.9972,0.000,40.5,36.5,18.83,1.988,37.34,2.28,0
0.757,-5.67443,-24.5,0.204,0.012,1.0000,-1.0000,-1.0000,-1.0044,0.000,40.5,36.5,18.83,1.988,37.34,2.28,0
0.784,-5.67388,-24.3,0.202,0.028,1.0000,-1.0000,-1.0000,-0.9972,0.000,40.5,36.5,18.83,1.988,37.34,2.28,0
0.811,-5.67321,-24.1,0.200,0.021,1.0000,-1.0000,-1.0000,-0.9950,0.000,40.5,36.6,18.82,2.009,37.56,-0.18,0
0.843,-5.67202,-23.6,0.197,0.056,1.0000,-1.0000,-1.0000,-0.9941,0.000,40.5,36.6,18.82,2.009,37.56,-0.18,0
0.870,-5.67018,-23.0,0.191,0.082,1.0000,-1.0000,-1.0000,-0.9970,0.000,40.5,36.6,18.82,2.009,37.56,-0.18,0
0.897,-5.66760,-22.0,0.184,0.115,1.0000,-1.0000,-1.0000,-1.0028,0.000,40.5,36.6,18.82,2.009,37.56,-0.18,0
0.924,-5.66383,-20.7,0.172,0.157,1.0000,-1.0000,-1.0000,-1.0049,0.000,40.5,36.6,18.82,2.009,37.56,-0.18,0
0.950,-5.65948,-19.1,0.159,0.177,1.0000,-1.0000,-1.0000,-0.9956,0.000,40.5,36.6,18.82,2.009,37.56,-0.18,0
0.976,-5.65463,-17.4,0.145,0.210,1.0000,-1.0000,-1.0000,-1.0034,0.000,40.5,36.6,18.82,2.009,37.56,-0.18,0
1.002,-5.64857,-15.2,0.127,0.270,1.0000,-1.0000,-1.0000,-1.0038,0.000,40.5,36.6,18.82,2.009,37.56,-0.18,0
1.028,-5.64104,-12.5,0.104,0.303,1.0000,-1.0000,-1.0000,-1.0077,0.000,40.5,36.6,18.82,2.009,37.56,-0.18,0
1.054,-5.63185,-9.2,0.076,0.378,1.0000,-1.0000,-1.0000,-1.0037,0.000,40.5,36.6,18.82,2.009,37.56,-0.18,0
1.081,-5.62133,-5.4,0.045,0.407,1.0000,-1.0000,-1.0000,-0.9963,0.000,40.6,36.6,18.83,1.826,34.42,-2.62,0
1.113,-5.60809,-0.6,0.005,0.436,1.0000,-1.0000,-1.0000,-0.9928,0.000,40.6,36.6,18.83,1.826,34.42,-2.62,0
1.139,-5.59606,3.7,0.031,0.442,1.0000,-1.0000,-1.0000,-0.9985,0.000,40.6,36.6,18.83,1.826,34.42,-2.62,0
1.166,-5.58629,7.2,0.060,0.225,1.0000,-1.0000,-1.0000,-0.9997,0.000,40.6,36.6,18.83,1.826,34.42,-2.62,0
1.192,-5.58531,7.6,0.063,-0.090,1.0000,-1.0000,-1.0000,-0.9997,0.000,40.6,36.6,18.83,1.826,34.42,-2.62,0
1.219,-5.58959,6.0,0.050,-0.184,1.0000,-1.0000,-1.0000,-0.9967,0.000,40.6,36.6,18.83,1.826,34.42,-2.62,0
1.246,-5.59398,4.5,0.037,-0.124,1.0000,-1.0000,-1.0000,-1.0002,0.000,40.6,36.6,18.83,1.826,34.42,-2.62,0
1.272,-5.59595,3.8,0.031,-0.048,1.0000,-1.0000,-1.0000,-0.9952,0.000,40.6,36.6,18.83,1.826,34.42,-2.62,0
1.299,-5.59687,3.4,0.029,-0.036,1.0000,-1.0000,-1.0000,-0.9979,0.000,40.6,36.6,18.83,1.826,34.42,-2.62,0
1.326,-5.59811,3.0,0.025,-0.072,1.0000,-1.0000,-1.0000,-1.0102,0.000,40.6,36.6,18.83,1.826,34.42,-2.62,0
1.352,-5.60040,2.2,0.018,-0.106,1.0000,-1.0000,-1.0000,-0.9992,0.000,40.6,36.7,18.81,1.978,37.07,0.75,0
1.384,-5.60470,0.6,0.005,-0.162,1.0000,-1.0000,-1.0000,-1.0032,0.000,40.6,36.7,18.81,1.978,37.07,0.75,0
1.411,-5.60984,-1.2,0.010,-0.238,1.0000,-1.0000,-1.0000,-1.0017,0.000,40.6,36.7,18.81,1.978,37.07,0.75,0
