time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.000,-5.59936,0.0,0.000,0.006,1.0000,-0.1000,-1.5000,-0.0580,0.000,34.6,34.7,19.32,0.020,0.87,-0.01,0
0.028,-5.59876,0.2,0.002,0.015,1.0000,-0.2000,-1.5000,-0.2007,0.000,34.6,34.7,19.30,0.166,3.30,-0.20,0
0.056,-5.59736,0.7,0.006,0.026,1.0000,-0.3000,-1.5000,-0.3027,0.000,34.6,34.7,19.30,0.311,5.64,-0.25,0
0.083,-5.59617,1.2,0.010,0.023,1.0000,-0.4000,-1.5000,-0.4063,0.000,34.6,34.7,19.27,0.475,8.65,-0.27,0
0.110,-5.59546,1.4,0.012,0.006,1.0000,-0.5000,-1.5000,-0.5043,0.000,34.6,34.7,19.24,0.663,12.36,-0.37,0
0.137,-5.59490,1.6,0.013,0.001,1.0000,-0.6000,-1.5000,-0.6030,0.000,34.6,34.7,19.20,0.896,16.57,-0.38,0
0.164,-5.59442,1.8,0.015,0.000,1.0000,-0.7000,-1.5000,-0.7024,0.000,34.6,34.7,19.16,1.140,21.43,-0.38,0
0.191,-5.59411,1.9,0.016,-0.001,1.0000,-0.8000,-1.5000,-0.8167,0.000,34.6,34.7,19.11,1.434,26.67,-0.29,0
0.219,-5.59381,2.0,0.017,0.002,1.0000,-0.9000,-1.5000,-0.9155,0.000,34.6,34.7,19.06,1.745,32.28,-0.31,0
0.245,-5.59351,2.1,0.018,0.001,1.0000,-1.0000,-1.5000,-1.0141,0.000,34.6,34.7,19.00,2.106,38.73,-0.38,0
0.272,-5.59308,2.3,0.019,0.012,1.0000,-1.1000,-1.5000,-1.1166,0.000,34.6,34.6,18.92,2.495,45.56,-0.36,0
0.299,-5.59271,2.4,0.020,0.000,1.0000,-1.2000,-1.5000,-1.2225,0.000,34.6,34.6,18.86,2.904,53.03,-0.33,0
0.326,-5.59240,2.5,0.021,-0.000,1.0000,-1.3000,-1.5000,-1.3123,0.000,34.6,34.6,18.77,3.354,61.23,-0.32,0
0.353,-5.59212,2.6,0.022,0.002,1.0000,-1.4000,-1.5000,-1.4175,0.000,34.6,34.6,18.67,3.869,70.46,-0.28,0
0.380,-5.59189,2.7,0.022,0.006,1.0000,-1.5000,-1.5000,-1.5076,0.000,34.6,34.6,18.57,4.374,79.28,-0.29,0
0.407,-5.59167,2.8,0.023,-0.002,1.0000,-1.5000,-1.5000,-1.5016,0.000,34.6,34.6,18.57,4.247,79.03,0.05,0
0.434,-5.59163,2.8,0.023,-0.002,1.0000,-1.5000,-1.5000,-1.4973,0.000,34.6,34.6,18.57,4.253,79.23,0.02,0
0.460,-5.59161,2.8,0.023,-0.007,1.0000,-1.5000,-1.5000,-1.5045,0.000,34.6,34.6,18.56,4.260,78.93,0.03,0
0.487,-5.59172,2.8,0.023,-0.015,1.0000,-1.5000,-1.5000,-1.5067,0.000,34.5,34.6,18.54,4.255,78.88,0.05,0
0.514,-5.59186,2.7,0.023,0.003,1.0000,-1.5000,-1.5000,-1.4993,0.000,34.5,34.6,18.55,4.240,78.63,0.02,0
0.541,-5.59198,2.7,0.022,-0.003,1.0000,-1.5000,-1.5000,-1.5010,0.000,34.5,34.6,18.54,4.247,78.90,-0.01,0
0.567,-5.59218,2.6,0.022,-0.014,1.0000,-1.5000,-1.5000,-1.4919,0.000,34.5,34.6,18.53,4.241,78.76,0.08,0
0.594,-5.59284,2.4,0.020,-0.037,1.0000,-1.5000,-1.5000,-1.4977,0.000,34.5,34.6,18.53,4.203,78.34,0.28,0
0.622,-5.59394,2.0,0.016,-0.034,1.0000,-1.5000,-1.5000,-1.5033,0.000,34.5,34.6,18.53,4.212,78.09,0.39,0
0.649,-5.59493,1.6,0.013,-0.060,1.0000,-1.5000,-1.5000,-1.4981,0.000,34.5,34.6,18.54,4.216,77.81,0.64,0
0.676,-5.59710,0.8,0.007,-0.093,1.0000,-1.5000,-1.5000,-1.5009,0.000,34.5,34.6,18.54,4.163,77.15,0.93,0
0.703,-5.60026,-0.3,0.000,-0.137,1.0000,-1.5000,-1.5000,-1.4911,0.000,34.5,34.6,18.57,4.074,75.51,1.17,0
