time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,effective_current_lim_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,power_loss_W,active_errors
0.000,-0.57271,-206.2,0.000,-0.004,0.8000,-0.1000,-1.4400,-0.0980,0.000,60.000,28.1,29.7,18.06,0.026,0.87,0.01,0.95,0
0.034,-0.57305,-206.3,0.000,-0.005,0.8000,-0.2000,-1.4400,-0.2105,0.000,60.000,28.1,29.7,18.08,0.171,3.05,0.07,2.82,0
0.060,-0.57374,-206.5,0.000,-0.004,0.8000,-0.3000,-1.4400,-0.3014,0.000,60.000,28.1,29.7,18.06,0.302,5.38,0.17,4.89,0
0.091,-0.57459,-206.9,0.000,-0.008,0.8000,-0.4000,-1.4400,-0.4044,0.000,60.000,28.1,29.7,18.05,0.445,7.78,0.23,7.31,0
0.121,-0.57575,-207.3,0.000,-0.022,0.8000,-0.5000,-1.4400,-0.5180,0.000,60.000,28.1,29.7,18.05,0.605,10.84,0.22,10.21,0
0.150,-0.57668,-207.6,0.000,-0.015,0.8000,-0.6000,-1.4400,-0.6148,0.000,60.000,28.1,29.7,18.02,0.789,13.70,0.24,13.08,0
0.180,-0.57752,-207.9,0.000,-0.007,0.8000,-0.7000,-1.4400,-0.7181,0.000,60.000,28.1,29.7,18.01,0.983,17.43,0.33,16.65,0
0.210,-0.57833,-208.2,0.000,-0.015,0.8000,-0.8000,-1.4400,-0.8134,0.000,60.000,28.1,29.7,17.99,1.194,20.29,0.52,19.49,0
0.242,-0.57917,-208.5,0.000,-0.015,0.8000,-0.9000,-1.4400,-0.9194,0.000,60.000,28.1,29.7,17.97,1.432,25.09,0.34,24.33,0
0.271,-0.57996,-208.8,0.000,-0.011,0.8000,-1.0000,-1.4400,-1.0103,0.000,60.000,28.1,29.7,17.94,1.685,29.64,0.40,28.67,0
0.301,-0.58075,-209.1,0.000,-0.010,0.8000,-1.1000,-1.4400,-1.1345,0.000,60.000,28.1,29.7,17.92,1.949,34.68,0.42,33.57,0
0.327,-0.58138,-209.3,0.000,-0.019,0.8000,-1.2000,-1.4400,-1.2174,0.000,60.000,28.1,29.7,17.88,2.235,39.13,0.52,37.76,0
0.355,-0.58203,-209.5,0.000,-0.004,0.8000,-1.3000,-1.4400,-1.3186,0.000,60.000,28.1,29.7,17.84,2.544,44.27,0.55,43.16,0
0.385,-0.58283,-209.8,0.000,-0.013,0.8000,-1.4000,-1.4400,-1.4161,0.000,60.000,28.1,29.7,17.81,2.868,49.91,0.69,48.41,0
0.414,-0.58393,-210.2,0.000,-0.024,0.8000,-1.4400,-1.4400,-1.4497,0.000,60.000,28.1,29.7,17.79,2.875,50.75,0.38,49.89,0
0.444,-0.58454,-210.4,0.000,-0.004,0.8000,-1.4400,-1.4400,-1.4317,0.000,60.000,28.1,29.7,17.80,2.777,49.38,0.07,49.26,0
0.473,-0.58473,-210.5,0.000,-0.002,0.8000,-1.4400,-1.4400,-1.4447,0.000,60.000,28.1,29.7,17.79,2.771,49.24,0.09,49.25,0
0.503,-0.58472,-210.5,0.000,0.004,0.8000,-1.4400,-1.4400,-1.4381,0.000,60.000,28.1,29.7,17.77,2.776,49.30,-0.01,49.21,0
0.532,-0.58451,-210.4,0.000,0.010,0.8000,-1.4400,-1.4400,-1.4433,0.000,60.000,28.1,29.7,17.78,2.778,49.60,-0.02,49.39,0
0.559,-0.58447,-210.4,0.000,-0.000,0.8000,-1.4400,-1.4400,-1.4421,0.000,60.000,28.1,29.7,17.78,2.780,49.45,-0.01,49.34,0
0.589,-0.58485,-210.5,0.000,-0.002,0.8000,-1.4400,-1.4400,-1.4381,0.000,60.000,28.1,29.7,17.78,2.761,49.22,0.06,49.09,0
0.618,-0.58506,-210.6,0.000,-0.009,0.8000,-1.4400,-1.4400,-1.4377,0.000,60.000,28.1,29.7,17.79,2.760,48.90,0.03,49.04,0
0.648,-0.58521,-210.7,0.000,-0.001,0.8000,-1.4400,-1.4400,-1.4442,0.000,60.000,28.1,29.7,17.77,2.767,48.95,0.05,48.99,0
0.677,-0.58543,-210.8,0.000,-0.010,0.8000,-1.4400,-1.4400,-1.4457,0.000,60.000,28.1,29.7,17.78,2.741,48.89,0.09,48.87,0
0.707,-0.58548,-210.8,0.000,-0.009,0.8000,-1.4400,-1.4400,-1.4430,0.000,60.000,28.1,29.7,17.78,2.761,48.92,-0.04,48.96,0
0.733,-0.58551,-210.8,0.000,-0.004,0.8000,-1.4400,-1.4400,-1.4381,0.000,60.000,28.1,29.7,17.78,2.742,48.76,0.02,48.79,0
0.762,-0.58557,-210.8,0.000,-0.001,0.8000,-1.4400,-1.4400,-1.4421,0.000,60.000,28.1,29.8,17.77,2.744,48.87,0.00,48.91,0
