time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.000,-5.60705,0.0,0.000,0.018,1.0000,-0.1000,-1.5000,-0.0933,0.000,32.6,31.2,19.31,0.060,1.24,-0.17,0
0.042,-5.60414,1.1,0.009,0.022,1.0000,-0.2000,-1.5000,-0.1981,0.000,32.6,31.2,19.30,0.163,3.07,-0.05,0
0.087,-5.60158,2.0,0.017,0.059,1.0000,-0.3000,-1.5000,-0.3093,0.000,32.6,31.2,19.28,0.292,5.48,-0.09,0
0.119,-5.59941,2.8,0.023,0.054,1.0000,-0.4000,-1.5000,-0.4071,0.000,32.6,31.2,19.24,0.483,8.74,-0.32,0
0.146,-5.59841,3.1,0.026,0.014,1.0000,-0.5000,-1.5000,-0.5091,0.000,32.6,31.2,19.19,0.671,12.24,-0.22,0
0.172,-5.59812,3.2,0.027,0.008,1.0000,-0.6000,-1.5000,-0.6092,0.000,32.6,31.2,19.14,0.888,16.04,-0.21,0
0.199,-5.59792,3.3,0.028,-0.002,1.0000,-0.7000,-1.5000,-0.7188,0.000,32.6,31.2,19.08,1.135,20.85,-0.20,0
0.225,-5.59765,3.4,0.028,0.004,1.0000,-0.8000,-1.5000,-0.8134,0.000,32.6,31.2,19.03,1.428,25.81,-0.30,0
0.252,-5.59726,3.5,0.030,0.009,1.0000,-0.9000,-1.5000,-0.9147,0.000,32.6,31.2,18.95,1.747,31.78,-0.27,0
0.278,-5.59683,3.7,0.031,0.010,1.0000,-1.0000,-1.5000,-1.0102,0.000,32.6,31.2,18.90,2.067,38.26,-0.32,0
0.305,-5.59644,3.8,0.032,0.006,1.0000,-1.1000,-1.5000,-1.1128,0.000,32.6,31.2,18.82,2.472,44.69,-0.27,0
0.331,-5.59619,3.9,0.033,-0.001,1.0000,-1.2000,-1.5000,-1.2091,0.000,32.6,31.2,18.75,2.857,52.65,-0.22,0
0.358,-5.59626,3.9,0.033,-0.020,1.0000,-1.3000,-1.5000,-1.3114,0.000,32.6,31.2,18.67,3.300,60.13,-0.02,0
0.385,-5.59705,3.6,0.030,-0.056,1.0000,-1.4000,-1.5000,-1.4110,0.000,32.6,31.2,18.59,3.737,67.97,0.25,0
