time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.002,-0.58240,-0.0,0.000,-0.014,0.2000,-0.1000,-0.2200,-0.0855,0.000,57.0,46.6,17.88,0.042,1.04,0.03,0
0.035,-0.58326,-0.3,0.000,-0.024,0.2000,-0.2000,-0.2200,-0.2083,0.000,57.0,46.6,17.88,0.170,2.76,0.18,0
0.062,-0.58472,-0.9,0.000,-0.036,0.2000,-0.2200,-0.2200,-0.2237,0.000,57.0,46.6,17.88,0.169,2.95,0.04,0
0.088,-0.58543,-1.1,0.000,-0.022,0.2000,-0.2200,-0.2200,-0.2240,0.000,57.0,46.6,17.88,0.159,2.74,0.01,0
0.120,-0.58580,-1.2,0.000,-0.005,0.2000,-0.2200,-0.2200,-0.2283,0.000,57.0,46.6,17.87,0.151,2.81,0.00,0
0.146,-0.58575,-1.2,0.000,0.004,0.2000,-0.2200,-0.2200,-0.2191,0.000,57.0,46.6,17.88,0.156,2.83,-0.02,0
0.173,-0.58557,-1.2,0.000,0.011,0.2000,-0.2200,-0.2200,-0.2235,0.000,57.0,46.6,17.87,0.157,2.77,-0.00,0
0.201,-0.58537,-1.1,0.000,0.015,0.2000,-0.2200,-0.2200,-0.2182,0.000,57.0,46.5,17.87,0.160,2.85,-0.02,0
0.231,-0.58496,-0.9,0.000,0.007,0.2000,-0.2200,-0.2200,-0.2045,0.000,57.0,46.5,17.88,0.162,2.86,-0.01,0
0.261,-0.58465,-0.8,0.000,0.007,0.2000,-0.2200,-0.2200,-0.2189,0.000,57.0,46.5,17.88,0.161,2.94,0.00,0
0.291,-0.58441,-0.7,0.000,0.017,0.2000,-0.2200,-0.2200,-0.2154,0.000,56.9,46.5,17.87,0.161,2.88,-0.03,0
0.320,-0.58379,-0.5,0.000,0.022,0.2000,-0.2200,-0.2200,-0.2190,0.000,56.9,46.5,17.88,0.163,2.83,-0.03,0
0.352,-0.58288,-0.2,0.000,0.031,0.2000,-0.2200,-0.2200,-0.2202,0.000,56.9,46.5,17.88,0.160,2.92,-0.04,0
0.384,-0.58178,0.2,0.002,0.047,0.2019,-0.2221,-0.2221,-0.2207,0.000,56.9,46.5,17.88,0.164,2.96,-0.07,0
0.415,-0.58013,0.8,0.007,0.056,0.2081,-0.2289,-0.2289,-0.2358,0.000,56.9,46.5,17.88,0.178,3.10,-0.08,0
0.443,-0.57824,1.5,0.012,0.076,0.2161,-0.2378,-0.2378,-0.2374,0.000,56.9,46.5,17.87,0.192,3.42,-0.09,0
0.471,-0.57605,2.3,0.019,0.087,0.2268,-0.2495,-0.2495,-0.2399,0.000,56.9,46.4,17.87,0.206,3.61,-0.15,0
0.505,-0.57261,3.5,0.029,0.112,0.2459,-0.2705,-0.2705,-0.2766,0.000,56.9,46.4,17.87,0.241,4.18,-0.21,0
0.538,-0.56859,5.0,0.041,0.123,0.2716,-0.2988,-0.2988,-0.2963,0.000,56.9,46.4,17.87,0.266,4.65,-0.26,0
0.574,-0.56380,6.7,0.056,0.138,0.3059,-0.3365,-0.3365,-0.3272,0.000,56.9,46.4,17.86,0.309,5.67,-0.27,0
0.618,-0.55842,8.6,0.072,0.127,0.3478,-0.3826,-0.3826,-0.3906,0.000,56.9,46.4,17.84,0.414,7.19,-0.21,0
0.644,-0.55564,9.6,0.080,0.108,0.3704,-0.4074,-0.4074,-0.4089,0.000,56.9,46.4,17.85,0.453,7.97,-0.21,0
0.671,-0.55331,10.5,0.087,0.080,0.3895,-0.4285,-0.4285,-0.4343,0.000,56.9,46.4,17.85,0.493,8.61,-0.12,0
0.699,-0.55162,11.1,0.092,0.054,0.4035,-0.4438,-0.4438,-0.4470,0.000,56.8,46.4,17.85,0.512,9.34,-0.14,0
0.725,-0.55016,11.6,0.097,0.060,0.4160,-0.4576,-0.4576,-0.4626,0.000,56.8,46.3,17.84,0.534,9.45,-0.17,0
0.751,-0.54837,12.2,0.102,0.076,0.4323,-0.4755,-0.4755,-0.4812,0.000,56.8,46.3,17.83,0.562,10.04,-0.18,0
0.777,-0.54634,13.0,0.108,0.082,0.4517,-0.4968,-0.4968,-0.5019,0.000,56.8,46.3,17.83,0.594,10.55,-0.19,0
0.806,-0.54360,13.9,0.116,0.091,0.4791,-0.5270,-0.5270,-0.5312,0.000,56.8,46.3,17.83,0.646,11.27,-0.22,0
0.838,-0.54141,14.7,0.123,0.081,0.5018,-0.5520,-0.5520,-0.5556,0.000,56.8,46.3,17.84,0.643,11.51,-0.27,0
0.868,-0.53892,15.6,0.130,0.082,0.5282,-0.5810,-0.5810,-0.5783,0.000,56.8,46.3,17.82,0.692,12.22,-0.26,0
0.897,-0.53684,16.4,0.137,0.077,0.5505,-0.6056,-0.6056,-0.6099,0.000,56.8,46.3,17.82,0.746,13.15,-0.24,0
0.924,-0.53473,17.1,0.143,0.087,0.5731,-0.6304,-0.6304,-0.6337,0.000,56.8,46.3,17.82,0.782,13.96,-0.31,0
0.954,-0.53230,18.0,0.150,0.081,0.5988,-0.6587,-0.6587,-0.6559,0.000,56.8,46.3,17.81,0.830,14.67,-0.34,0
0.985,-0.52979,18.9,0.158,0.093,0.6249,-0.6873,-0.6873,-0.6871,0.000,56.8,46.3,17.81,0.888,15.72,-0.32,0
1.015,-0.52739,19.8,0.165,0.079,0.6488,-0.7137,-0.7137,-0.7170,0.000,56.8,46.3,17.80,0.921,16.37,-0.30,0
1.044,-0.52549,20.5,0.171,0.046,0.6669,-0.7336,-0.7336,-0.7359,0.000,56.8,46.2,17.80,0.967,17.03,-0.16,0
1.071,-0.52465,20.8,0.173,0.023,0.6746,-0.7421,-0.7421,-0.7433,0.000,56.7,46.2,17.80,0.972,17.18,-0.13,0
1.104,-0.52386,21.1,0.175,0.030,0.6818,-0.7500,-0.7500,-0.7499,0.000,56.7,46.2,17.79,0.983,17.47,-0.11,0
1.134,-0.52314,21.3,0.178,0.019,0.6880,-0.7569,-0.7569,-0.7537,0.000,56.7,46.2,17.79,0.991,17.58,-0.09,0
1.167,-0.52258,21.5,0.179,0.013,0.6929,-0.7622,-0.7622,-0.7594,0.000,56.7,46.2,17.79,1.001,17.61,-0.17,0
1.198,-0.52126,22.0,0.183,0.072,0.7039,-0.7743,-0.7743,-0.7893,0.000,56.7,46.2,17.79,1.016,17.85,-0.36,0
1.225,-0.51866,22.9,0.191,0.122,0.7249,-0.7974,-0.7974,-0.8049,0.000,56.7,46.2,17.79,1.039,18.23,-0.61,0
1.256,-0.51461,24.4,0.203,0.141,0.7560,-0.8316,-0.8316,-0.8298,0.000,56.7,46.2,17.78,1.143,20.12,-0.70,0
1.286,-0.51055,25.8,0.215,0.134,0.7854,-0.8640,-0.8640,-0.8638,0.000,56.7,46.2,17.78,1.264,22.30,-0.74,0
1.317,-0.50676,27.2,0.227,0.107,0.8113,-0.8925,-0.8925,-0.8933,0.000,56.7,46.2,17.77,1.382,24.47,-0.56,0
1.349,-0.50372,28.3,0.236,0.094,0.8310,-0.9141,-0.9141,-0.9135,0.000,56.7,46.2,17.75,1.484,26.25,-0.49,0
1.381,-0.50116,29.2,0.244,0.082,0.8467,-0.9314,-0.9314,-0.9311,0.000,56.7,46.2,17.73,1.563,27.54,-0.48,0
1.413,-0.49820,30.3,0.252,0.115,0.8640,-0.9504,-0.9504,-0.9459,0.000,56.7,46.2,17.73,1.646,29.02,-0.71,0
1.442,-0.49420,31.7,0.264,0.163,0.8859,-0.9744,-0.9744,-0.9890,0.000,56.6,46.1,17.71,1.724,30.26,-0.90,0
1.469,-0.48947,33.4,0.279,0.180,0.9095,-1.0004,-1.0004,-0.9976,0.000,56.6,46.1,17.69,1.857,32.81,-1.11,0
1.501,-0.48408,35.4,0.295,0.174,0.9334,-1.0268,-1.0268,-1.0314,0.000,56.6,46.1,17.68,2.008,35.32,-1.09,0
1.526,-0.47983,36.9,0.308,0.176,0.9501,-1.0451,-1.0451,-1.0635,0.000,56.6,46.1,17.68,2.056,36.14,-1.08,0
1.551,-0.47565,38.4,0.320,0.158,0.9646,-1.0610,-1.0610,-1.0764,0.000,56.6,46.1,17.68,2.045,36.08,-1.02,0
1.577,-0.47163,39.9,0.332,0.168,0.9767,-1.0743,-1.0743,-1.0772,0.000,56.6,46.1,17.67,1.983,35.01,-1.01,0
1.605,-0.46725,41.4,0.345,0.156,0.9879,-1.0866,-1.0866,-1.0910,0.000,56.6,46.1,17.68,1.955,34.25,-0.95,0
1.630,-0.46352,42.8,0.356,0.149,0.9957,-1.0953,-1.0953,-1.1006,0.000,56.6,46.1,17.68,1.940,34.32,-0.98,0
