time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.003,-0.58056,-0.0,0.000,-0.005,1.0000,-0.1000,-3.3000,-0.0765,0.000,40.6,38.2,17.98,0.026,0.80,0.01,0
0.032,-0.58109,-0.2,0.000,-0.020,1.0000,-0.2000,-3.3000,-0.2168,0.000,40.6,38.2,17.98,0.169,3.02,0.09,0
0.058,-0.58195,-0.5,0.000,-0.028,1.0000,-0.3000,-3.3000,-0.3291,0.000,40.6,38.2,17.97,0.291,5.00,0.21,0
0.084,-0.58297,-0.9,0.000,-0.030,1.0000,-0.4000,-3.3000,-0.4343,0.000,40.6,38.1,17.95,0.430,7.28,0.27,0
0.109,-0.58405,-1.3,0.000,-0.011,1.0000,-0.5000,-3.3000,-0.5276,0.000,40.6,38.1,17.94,0.575,9.59,0.32,0
0.135,-0.58485,-1.6,0.000,-0.003,1.0000,-0.6000,-3.3000,-0.6214,0.000,40.6,38.1,17.93,0.728,12.40,0.36,0
0.162,-0.58541,-1.8,0.000,0.004,1.0000,-0.7000,-3.3000,-0.7339,0.000,40.5,38.1,17.91,0.933,15.97,0.28,0
0.189,-0.58582,-1.9,0.000,-0.002,1.0000,-0.8000,-3.3000,-0.8142,0.000,40.5,38.1,17.90,1.104,18.91,0.37,0
0.218,-0.58610,-2.0,0.000,-0.005,1.0000,-0.9000,-3.3000,-0.9266,0.000,40.5,38.1,17.88,1.356,22.94,0.41,0
0.259,-0.58643,-2.1,0.000,0.001,1.0000,-1.0000,-3.3000,-1.0273,0.000,40.5,38.1,17.84,1.601,27.33,0.44,0
0.286,-0.58687,-2.3,0.000,-0.016,1.0000,-1.1000,-3.3000,-1.1241,0.000,40.5,38.1,17.82,1.852,31.31,0.74,0
