time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,effective_current_lim_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,power_loss_W,active_errors
0.000,0.13751,49.5,0.000,0.001,0.0000,-0.0000,-0.0000,-0.0060,0.000,40.000,31.9,32.7,18.08,-0.000,0.00,0.00,-0.00,0
0.030,0.13751,49.5,0.000,0.002,0.0000,-0.0000,-0.0000,0.0030,0.000,40.000,31.9,32.7,18.08,0.000,-0.00,0.00,0.00,0
0.060,0.13751,49.5,0.000,0.000,0.8000,-0.1000,-1.4400,-0.0451,0.000,40.000,31.9,32.7,18.08,0.006,0.23,0.00,0.36,0
0.090,0.13729,49.4,0.000,-0.017,0.0000,-0.0000,-0.0000,-0.0178,0.000,40.000,31.9,32.7,18.07,0.007,0.08,0.00,0.10,0
0.118,0.13727,49.4,0.000,-0.000,0.0000,-0.0000,-0.0000,-0.0041,0.000,40.000,31.9,32.7,18.08,-0.000,0.00,0.00,-0.00,0
0.147,0.13732,49.4,0.000,0.002,0.0000,-0.0000,-0.0000,-0.0057,0.000,40.000,31.9,32.7,18.09,-0.000,-0.00,-0.00,-0.00,0
0.175,0.13733,49.4,0.000,0.002,0.0000,-0.0000,-0.0000,-0.0007,0.000,40.000,31.9,32.7,18.08,-0.000,0.00,0.00,0.00,0
0.202,0.13733,49.4,0.000,0.002,0.0000,-0.0000,-0.0000,0.0026,0.000,40.000,31.9,32.7,18.08,-0.000,0.00,0.00,0.00,0
0.232,0.13733,49.4,0.000,0.001,0.0000,-0.0000,-0.0000,-0.0005,0.000,40.000,31.9,32.7,18.09,0.000,0.00,-0.00,-0.00,0
0.258,0.13733,49.4,0.000,-0.000,0.0000,-0.0000,-0.0000,-0.0004,0.000,40.000,31.9,32.7,18.08,-0.000,-0.00,0.00,-0.00,0
0.288,0.13733,49.4,0.000,-0.000,0.0000,-0.0000,-0.0000,0.0039,0.000,40.000,31.9,32.7,18.08,-0.000,0.00,-0.00,-0.00,0
0.317,0.13733,49.4,0.000,-0.001,0.0000,-0.0000,-0.0000,-0.0036,0.000,40.000,31.9,32.7,18.08,-0.000,-0.00,0.00,0.00,0
0.345,0.13733,49.4,0.000,-0.001,0.0000,-0.0000,-0.0000,0.0026,0.000,40.000,31.9,32.7,18.08,-0.000,-0.00,-0.00,0.00,0
0.375,0.13734,49.4,0.000,-0.002,0.0000,-0.0000,-0.0000,-0.0030,0.000,40.000,31.9,32.7,18.09,-0.000,-0.00,-0.00,-0.00,0
0.407,0.13739,49.5,0.000,-0.001,0.0000,-0.0000,-0.0000,0.0027,0.000,40.000,31.9,32.7,18.08,0.000,0.00,0.00,0.00,0
0.438,0.13739,49.5,0.000,-0.000,0.0000,-0.0000,-0.0000,0.0006,0.000,40.000,31.9,32.7,18.08,0.000,0.00,0.00,0.00,0
0.468,0.13739,49.5,0.000,-0.001,0.0000,-0.0000,-0.0000,0.0025,0.000,40.000,31.9,32.7,18.08,-0.000,0.00,-0.00,0.00,0
0.493,0.13742,49.5,0.000,-0.001,0.0000,-0.0000,-0.0000,0.0044,0.000,40.000,31.9,32.7,18.08,0.000,-0.00,-0.00,0.00,0
0.526,0.13745,49.5,0.000,0.001,0.0000,-0.0000,-0.0000,0.0002,0.000,40.000,31.9,32.7,18.08,0.000,0.00,0.00,0.00,0
0.551,0.13744,49.5,0.000,-0.002,0.0000,-0.0000,-0.0000,0.0005,0.000,40.000,31.9,32.7,18.08,0.000,0.00,-0.00,-0.00,0
0.578,0.13745,49.5,0.000,0.002,0.0000,-0.0000,-0.0000,-0.0055,0.000,40.000,31.9,32.7,18.08,-0.000,0.00,-0.00,-0.00,0
0.603,0.13745,49.5,0.000,0.000,0.0000,-0.0000,-0.0000,0.0016,0.000,40.000,31.9,32.7,18.08,0.000,-0.00,-0.00,0.00,0
0.640,0.13746,49.5,0.000,-0.001,0.0000,-0.0000,-0.0000,0.0117,0.000,40.000,31.9,32.7,18.08,-0.000,-0.00,0.00,-0.00,0
0.670,0.13751,49.5,0.000,0.001,0.8000,-0.1000,-1.4400,-0.0469,0.000,40.000,31.9,32.7,18.08,0.007,0.24,-0.00,0.35,0
0.699,0.13751,49.5,0.000,0.002,0.0000,-0.0000,-0.0000,-0.0226,0.000,40.000,31.9,32.7,18.08,0.006,0.13,-0.00,0.10,0
0.729,0.13758,49.5,0.000,0.009,0.8000,-0.1000,-1.4400,-0.0568,0.000,40.000,31.9,32.7,18.08,0.008,0.29,-0.00,0.36,0
0.758,0.13756,49.5,0.000,-0.000,0.8000,-0.2000,-1.4400,-0.2082,0.000,40.000,31.9,32.7,18.08,0.156,2.82,-0.00,2.66,0
0.784,0.13727,49.4,0.000,0.000,0.0000,-0.1000,-0.0000,-0.0909,0.000,40.000,31.9,32.7,18.07,0.038,0.85,0.00,0.91,0
0.811,0.13727,49.4,0.000,-0.005,0.0000,-0.0000,-0.0000,-0.0188,0.000,40.000,31.9,32.7,18.08,0.009,0.14,0.00,0.12,0
0.835,0.13743,49.5,0.000,0.009,0.0000,-0.0000,-0.0000,0.0003,0.000,40.000,31.9,32.7,18.08,-0.000,-0.00,0.00,-0.00,0
0.864,0.13757,49.5,0.000,0.005,0.8000,-0.1000,-1.4400,-0.0485,0.000,40.000,31.9,32.7,18.09,0.007,0.26,-0.00,0.34,0
0.889,0.13752,49.5,0.000,0.005,0.8000,-0.2000,-1.4400,-0.2048,0.000,40.000,31.9,32.7,18.08,0.162,2.81,0.00,2.75,0
0.918,0.13727,49.4,0.000,-0.013,0.0000,-0.1000,-0.0000,-0.0963,0.000,40.000,31.9,32.7,18.08,0.041,0.78,-0.00,0.84,0
0.948,0.13728,49.4,0.000,0.001,0.0000,-0.0000,-0.0000,-0.0144,0.000,40.000,31.9,32.7,18.08,0.010,0.10,0.00,0.11,0
