time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,effective_current_lim_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,power_loss_W,active_errors
0.000,0.33984,122.3,0.000,-0.018,0.0000,-0.0000,-0.0000,-0.0016,0.000,40.000,34.3,35.4,18.10,0.000,0.00,0.00,-0.00,0
0.029,0.33924,122.1,0.000,-0.016,0.0000,-0.0000,-0.0000,0.0053,0.000,40.000,34.3,35.4,18.09,-0.000,-0.00,-0.00,0.00,0
0.058,0.33905,122.1,0.000,0.006,0.0000,-0.0000,-0.0000,0.0022,0.000,40.000,34.3,35.4,18.09,-0.000,-0.00,-0.00,0.00,0
0.086,0.33911,122.1,0.000,-0.003,0.0000,-0.0000,-0.0000,0.0039,0.000,40.000,34.3,35.4,18.10,-0.000,0.00,-0.00,0.00,0
0.114,0.33911,122.1,0.000,0.000,0.0000,-0.0000,-0.0000,-0.0028,0.000,40.000,34.3,35.4,18.09,0.000,0.00,0.00,0.00,0
0.142,0.33911,122.1,0.000,0.000,0.0000,-0.0000,-0.0000,-0.0044,0.000,40.000,34.3,35.4,18.08,-0.000,-0.00,0.00,0.00,0
0.174,0.33910,122.1,0.000,0.002,0.0000,-0.0000,-0.0000,-0.0032,0.000,40.000,34.3,35.4,18.09,0.000,-0.00,0.00,0.00,0
0.203,0.33910,122.1,0.000,0.006,0.0000,-0.0000,-0.0000,-0.0034,0.000,40.000,34.3,35.4,18.09,0.000,-0.00,0.00,-0.00,0
0.235,0.33911,122.1,0.000,0.001,0.0000,-0.0000,-0.0000,0.0068,0.000,40.000,34.3,35.4,18.08,0.000,0.00,-0.00,-0.00,0
0.265,0.33910,122.1,0.000,0.009,0.0000,-0.0000,-0.0000,0.0003,0.000,40.000,34.3,35.4,18.09,0.000,-0.00,-0.00,0.00,0
