time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,effective_current_lim_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,power_loss_W,active_errors
0.000,0.29643,106.7,0.000,-0.012,0.0000,-0.0000,-0.0000,0.0001,0.000,40.000,32.5,30.8,18.10,0.000,-0.00,-0.00,-0.00,0
0.038,0.29621,106.6,0.000,-0.002,0.0000,-0.0000,-0.0000,0.0080,0.000,40.000,32.5,30.8,18.10,0.000,-0.00,0.00,-0.00,0
0.067,0.29620,106.6,0.000,0.003,0.0000,-0.0000,-0.0000,0.0030,0.000,40.000,32.5,30.8,18.09,-0.000,-0.00,0.00,-0.00,0
0.097,0.29651,106.7,0.000,0.018,0.8000,-0.1000,-0.8000,-0.0540,0.000,40.000,32.5,30.8,18.10,0.008,0.29,-0.01,0.46,0
0.122,0.29688,106.9,0.001,0.022,0.8000,-0.2000,-0.8000,-0.2044,0.000,40.000,32.5,30.8,18.09,0.167,3.01,-0.02,2.91,0
0.152,0.29749,107.1,0.003,0.026,0.8000,-0.3000,-0.8000,-0.3092,0.000,40.000,32.5,30.8,18.08,0.304,5.12,-0.04,5.10,0
0.179,0.29806,107.3,0.005,0.026,0.8000,-0.4000,-0.8000,-0.4014,0.000,40.000,32.5,30.8,18.07,0.453,7.83,-0.02,7.60,0
0.209,0.29867,107.5,0.007,0.031,0.8000,-0.5000,-0.8000,-0.5073,0.000,40.000,32.5,30.8,18.06,0.633,10.87,-0.09,10.80,0
0.239,0.29945,107.8,0.009,0.030,0.8000,-0.6000,-0.8000,-0.6091,0.000,40.000,32.5,30.8,18.04,0.839,14.48,-0.12,14.53,0
0.263,0.30010,108.0,0.011,0.031,0.8000,-0.7000,-0.8000,-0.7068,0.000,40.000,32.5,30.8,18.03,1.060,18.40,-0.04,18.34,0
0.292,0.30039,108.1,0.012,0.006,0.8000,-0.8000,-0.8000,-0.8000,0.000,40.000,32.5,30.8,18.00,1.305,22.84,0.05,22.63,0
0.322,0.30042,108.1,0.012,0.007,0.8000,-0.8000,-0.8000,-0.8062,0.000,40.000,32.5,30.8,17.99,1.253,22.31,-0.01,22.47,0
0.352,0.30102,108.4,0.014,0.039,0.8000,-0.8000,-0.8000,-0.7923,0.000,40.000,32.5,30.8,17.99,1.254,22.54,-0.20,22.54,0
0.379,0.30230,108.8,0.018,0.060,0.8000,-0.8000,-0.8000,-0.8016,0.000,40.000,32.5,30.8,17.98,1.251,22.44,-0.29,22.47,0
0.408,0.30426,109.5,0.023,0.083,0.8000,-0.8000,-0.8000,-0.8033,0.000,40.000,32.5,30.8,17.98,1.239,22.10,-0.47,22.62,0
0.438,0.30789,110.8,0.034,0.152,0.8000,-0.8000,-0.8000,-0.8059,0.000,40.000,32.5,30.8,17.98,1.205,21.71,-0.87,22.56,0
0.467,0.31412,113.1,0.053,0.236,0.8000,-0.8000,-0.8000,-0.7906,0.000,40.000,32.5,30.8,17.99,1.108,19.98,-1.25,21.07,0
0.496,0.32188,115.9,0.076,0.283,0.8000,-0.8000,-0.8000,-0.8105,0.000,40.000,32.5,30.8,17.99,1.079,19.34,-1.33,20.83,0
0.525,0.32954,118.6,0.099,0.261,0.8000,-0.8000,-0.8000,-0.7969,0.000,40.000,32.5,30.9,17.99,1.034,18.62,-1.30,19.78,0
0.555,0.33689,121.3,0.121,0.255,0.8000,-0.8000,-0.8000,-0.7973,0.000,40.000,32.5,30.9,18.01,0.998,17.89,-1.28,19.16,0
0.584,0.34483,124.1,0.145,0.281,0.8000,-0.8000,-0.8000,-0.8048,0.000,40.000,32.5,30.9,18.01,1.079,19.35,-1.40,20.77,0
0.614,0.35315,127.1,0.170,0.294,0.8000,-0.8000,-0.8000,-0.7943,0.000,40.000,32.5,30.9,17.99,1.150,20.75,-1.52,22.26,0
0.642,0.36157,130.2,0.195,0.284,0.8000,-0.8000,-0.8000,-0.8032,0.000,40.000,32.5,30.9,17.99,1.158,20.83,-1.44,22.23,0
0.671,0.36994,133.2,0.220,0.284,0.8000,-0.8000,-0.8000,-0.7977,0.000,40.000,32.5,30.9,17.99,1.219,21.93,-1.45,23.50,0
0.701,0.37750,135.9,0.243,0.243,0.8000,-0.8000,-0.8000,-0.8001,0.000,40.000,32.5,30.9,17.98,1.190,21.36,-1.24,22.47,0
0.729,0.38443,138.4,0.264,0.261,0.8000,-0.8000,-0.8000,-0.8043,0.000,40.000,32.5,30.9,17.99,1.101,19.69,-1.32,21.09,0
0.758,0.39276,141.4,0.289,0.293,0.8000,-0.8000,-0.8000,-0.8006,0.000,40.000,32.5,30.9,18.00,1.079,19.28,-1.48,20.83,0
0.788,0.40163,144.6,0.316,0.312,0.8000,-0.8000,-0.8000,-0.8024,0.000,40.000,32.5,30.9,18.00,1.028,18.51,-1.60,19.99,0
0.818,0.41144,148.1,0.345,0.332,0.8000,-0.8000,-0.8000,-0.7977,0.000,40.000,32.5,30.9,18.00,1.000,18.28,-1.72,19.88,0
0.845,0.42157,151.8,0.375,0.368,0.8000,-0.8000,-0.8000,-0.7959,0.000,40.000,32.5,30.9,17.99,1.152,20.57,-1.86,22.57,0
