time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,effective_current_lim_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,power_loss_W,active_errors
0.000,0.20917,75.3,0.000,-0.002,0.8000,-0.1000,-0.8000,-0.0992,0.000,40.000,31.6,32.0,18.08,0.034,0.90,-0.00,1.01,0
0.036,0.20917,75.3,0.000,0.000,0.0000,-0.0000,-0.0000,-0.0191,0.000,40.000,31.6,32.0,18.09,0.008,0.14,-0.00,0.07,0
0.066,0.20917,75.3,0.000,-0.002,0.8000,-0.1000,-0.8000,-0.0517,0.000,40.000,31.6,32.0,18.08,0.008,0.30,-0.00,0.37,0
0.094,0.20917,75.3,0.000,-0.001,0.0000,-0.0000,-0.0000,-0.0192,0.000,40.000,31.6,32.0,18.08,0.007,0.09,0.00,0.09,0
0.123,0.20919,75.3,0.000,0.010,0.8000,-0.1000,-0.8000,-0.0447,0.000,40.000,31.6,32.0,18.10,0.006,0.25,-0.00,0.37,0
0.153,0.20918,75.3,0.000,0.004,0.8000,-0.2000,-0.8000,-0.2092,0.000,40.000,31.6,32.0,18.08,0.154,2.75,0.01,2.68,0
0.178,0.20917,75.3,0.000,0.001,0.8000,-0.3000,-0.8000,-0.3162,0.000,40.000,31.6,32.0,18.07,0.274,4.79,0.01,4.66,0
0.204,0.20896,75.2,0.000,-0.004,0.0000,-0.2000,-0.0000,-0.1804,0.000,40.000,31.6,32.0,18.07,0.103,1.97,-0.01,2.18,0
0.233,0.20899,75.2,0.000,0.002,0.0000,-0.1000,-0.0000,-0.0883,0.000,40.000,31.6,32.0,18.08,0.044,0.75,0.00,0.85,0
0.260,0.20947,75.4,0.001,0.048,0.8000,-0.2000,-0.8000,-0.2054,0.000,40.000,31.6,32.0,18.07,0.156,2.65,-0.03,2.55,0
0.286,0.20982,75.5,0.002,0.014,0.8000,-0.3000,-0.8000,-0.3176,0.000,40.000,31.6,32.0,18.07,0.270,4.90,-0.00,4.61,0
0.311,0.20981,75.5,0.002,-0.002,0.8000,-0.4000,-0.8000,-0.4128,0.000,40.000,31.6,32.0,18.06,0.406,6.90,0.01,6.61,0
0.342,0.20978,75.5,0.002,-0.000,0.8000,-0.5000,-0.8000,-0.5113,0.000,40.000,31.6,32.0,18.05,0.555,9.51,-0.00,9.05,0
0.372,0.20966,75.5,0.001,-0.000,0.8000,-0.6000,-0.8000,-0.6132,0.000,40.000,31.6,32.0,18.03,0.720,12.51,0.01,12.04,0
0.401,0.20947,75.4,0.001,-0.000,0.8000,-0.7000,-0.8000,-0.7098,0.000,40.000,31.6,32.1,18.02,0.903,15.54,0.06,14.97,0
0.427,0.20929,75.3,0.000,-0.000,0.8000,-0.8000,-0.8000,-0.8112,0.000,40.000,31.6,32.1,18.01,1.115,19.35,0.17,18.63,0
0.457,0.20805,74.9,0.000,-0.058,0.0000,-0.7000,-0.0000,-0.6848,0.000,40.000,31.6,32.1,18.02,0.728,13.63,0.14,14.09,0
0.486,0.20775,74.8,0.000,-0.001,0.0000,-0.6000,-0.0000,-0.5862,0.000,40.000,31.6,32.1,18.03,0.564,11.06,-0.03,11.43,0
0.517,0.20776,74.8,0.000,0.000,0.0000,-0.5000,-0.0000,-0.4855,0.000,40.000,31.6,32.1,18.04,0.422,8.11,0.00,8.43,0
0.544,0.20782,74.8,0.000,0.000,0.0000,-0.4000,-0.0000,-0.3848,0.000,40.000,31.6,32.1,18.05,0.296,5.84,-0.04,6.13,0
0.577,0.20795,74.9,0.000,-0.001,0.0000,-0.3000,-0.0000,-0.2788,0.000,40.000,31.6,32.1,18.07,0.188,3.64,-0.00,4.06,0
0.609,0.20806,74.9,0.000,0.004,0.0000,-0.2000,-0.0000,-0.1972,0.000,40.000,31.6,32.1,18.07,0.103,1.95,-0.00,2.11,0
0.639,0.20844,75.0,0.000,0.005,0.0000,-0.1000,-0.0000,-0.0914,0.000,40.000,31.6,32.1,18.07,0.042,0.72,-0.02,0.88,0
0.668,0.20958,75.4,0.001,0.035,0.8000,-0.2000,-0.8000,-0.2156,0.000,40.000,31.6,32.1,18.08,0.157,2.84,-0.05,2.60,0
0.697,0.20970,75.5,0.002,-0.007,0.8000,-0.3000,-0.8000,-0.3060,0.000,40.000,31.6,32.1,18.06,0.273,4.74,0.01,4.44,0
0.727,0.20944,75.4,0.001,-0.015,0.8000,-0.4000,-0.8000,-0.4172,0.000,40.000,31.6,32.1,18.06,0.409,7.21,0.12,6.83,0
0.756,0.20751,74.7,0.000,-0.089,0.0000,-0.3000,-0.0000,-0.2906,0.000,40.000,31.6,32.1,18.07,0.199,3.87,0.08,4.04,0
