time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.001,-0.48984,-0.0,0.000,-0.005,1.0000,-0.1000,-1.5000,-0.0363,0.000,26.7,31.5,18.04,0.010,0.33,0.00,0
0.028,-0.48989,-0.0,0.000,-0.007,1.0000,-0.2000,-1.5000,-0.2145,0.000,26.7,31.5,18.04,0.154,2.53,0.02,0
0.058,-0.49012,-0.1,0.000,-0.007,1.0000,-0.3000,-1.5000,-0.3059,0.000,26.7,31.5,18.03,0.265,4.64,0.09,0
0.088,-0.49153,-0.6,0.000,-0.051,1.0000,-0.4000,-1.5000,-0.4058,0.000,26.7,31.5,18.02,0.403,6.88,0.20,0
0.119,-0.49395,-1.5,0.000,-0.081,1.0000,-0.5000,-1.5000,-0.5026,0.000,26.7,31.5,18.01,0.585,9.95,0.63,0
0.149,-0.49718,-2.6,0.000,-0.099,1.0000,-0.6000,-1.5000,-0.5965,0.000,26.7,31.5,18.00,0.769,13.32,0.88,0
0.179,-0.50029,-3.8,0.000,-0.055,1.0000,-0.7000,-1.5000,-0.7054,0.000,26.7,31.5,17.97,0.958,16.79,0.61,0
0.209,-0.50200,-4.4,0.000,-0.024,1.0000,-0.8000,-1.5000,-0.8310,0.000,26.7,31.5,17.96,1.217,21.52,0.39,0
0.235,-0.50294,-4.7,0.000,-0.017,1.0000,-0.9000,-1.5000,-0.9269,0.000,26.7,31.5,17.93,1.473,25.41,0.65,0
0.263,-0.50399,-5.1,0.000,-0.020,1.0000,-1.0000,-1.5000,-1.0376,0.000,26.7,31.5,17.91,1.733,30.44,0.35,0
0.288,-0.50493,-5.4,0.000,-0.034,1.0000,-1.1000,-1.5000,-1.1327,0.000,26.7,31.5,17.88,2.011,35.23,0.60,0
0.314,-0.50627,-5.9,0.000,-0.054,1.0000,-1.2000,-1.5000,-1.2309,0.000,26.7,31.5,17.85,2.302,40.60,0.72,0
0.338,-0.50800,-6.5,0.000,-0.071,1.0000,-1.3000,-1.5000,-1.3277,0.000,26.7,31.5,17.82,2.583,44.69,1.09,0
0.365,-0.51075,-7.5,0.000,-0.106,1.0000,-1.4000,-1.5000,-1.4377,0.000,26.6,31.5,17.78,2.873,49.94,1.62,0
0.391,-0.51389,-8.7,0.000,-0.090,1.0000,-1.5000,-1.5000,-1.5343,0.000,26.6,31.5,17.75,3.122,54.03,1.35,0
0.417,-0.51594,-9.4,0.000,-0.053,1.0000,-1.5000,-1.5000,-1.5023,0.000,26.6,31.5,17.76,2.873,51.17,0.39,0
0.443,-0.51649,-9.6,0.000,-0.000,1.0000,-1.5000,-1.5000,-1.5007,0.000,26.6,31.5,17.74,2.847,50.64,0.01,0
0.472,-0.51646,-9.6,0.000,0.010,1.0000,-1.5000,-1.5000,-1.4982,0.000,26.6,31.5,17.75,2.852,50.57,-0.06,0
0.502,-0.51636,-9.5,0.000,0.001,1.0000,-1.5000,-1.5000,-1.4991,0.000,26.6,31.5,17.74,2.851,50.61,-0.05,0
0.532,-0.51609,-9.5,0.000,0.018,1.0000,-1.5000,-1.5000,-1.4981,0.000,26.6,31.5,17.74,2.857,50.79,-0.14,0
0.561,-0.51539,-9.2,0.000,0.025,1.0000,-1.5000,-1.5000,-1.5070,0.000,26.6,31.5,17.72,2.882,51.13,-0.33,0
0.591,-0.51428,-8.8,0.000,0.067,1.0000,-1.5000,-1.5000,-1.5027,0.000,26.6,31.5,17.73,2.933,52.03,-0.70,0
0.630,-0.51110,-7.7,0.000,0.099,1.0000,-1.5000,-1.5000,-1.4981,0.000,26.6,31.5,17.73,2.999,53.41,-0.99,0
0.655,-0.50815,-6.6,0.000,0.108,1.0000,-1.5000,-1.5000,-1.4950,0.000,26.6,31.5,17.71,3.115,55.25,-1.04,0
0.681,-0.50560,-5.7,0.000,0.095,1.0000,-1.5000,-1.5000,-1.5006,0.000,26.6,31.5,17.70,3.197,56.68,-0.88,0
0.707,-0.50330,-4.8,0.000,0.080,1.0000,-1.5000,-1.5000,-1.5014,0.000,26.6,31.5,17.70,3.262,57.94,-0.79,0
0.733,-0.50128,-4.1,0.000,0.087,1.0000,-1.5000,-1.5000,-1.4915,0.000,26.6,31.5,17.68,3.320,58.77,-0.90,0
0.761,-0.49797,-2.9,0.000,0.142,1.0000,-1.5000,-1.5000,-1.4973,0.000,26.6,31.5,17.68,3.377,59.96,-1.31,0
0.787,-0.49418,-1.6,0.000,0.145,1.0000,-1.5000,-1.5000,-1.5006,0.000,26.6,31.5,17.67,3.426,60.51,-1.41,0
0.812,-0.49038,-0.2,0.000,0.159,1.0000,-1.5000,-1.5000,-1.5063,0.000,26.6,31.5,17.65,3.509,62.04,-1.42,0
0.837,-0.48625,1.3,0.011,0.173,1.0000,-1.5000,-1.5000,-1.4962,0.000,26.6,31.6,17.65,3.597,63.21,-1.69,0
0.861,-0.48259,2.6,0.022,0.121,1.0000,-1.5000,-1.5000,-1.5042,0.000,26.6,31.6,17.63,3.611,63.90,-1.14,0
0.887,-0.48047,3.4,0.028,0.057,1.0000,-1.5000,-1.5000,-1.5053,0.000,26.6,31.6,17.63,3.623,63.76,-0.52,0
0.913,-0.47906,3.9,0.032,0.063,1.0000,-1.5000,-1.5000,-1.5087,0.000,26.6,31.6,17.64,3.580,63.29,-0.60,0
