time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.003,-0.56138,0.0,0.000,0.037,0.2003,-0.1000,-0.6610,-0.0688,0.000,57.7,47.3,17.88,0.024,0.73,-0.01,0
0.033,-0.56075,0.3,0.002,0.019,0.2024,-0.2000,-0.6681,-0.2090,0.000,57.7,47.3,17.87,0.169,3.01,0.00,0
0.060,-0.56062,0.3,0.003,0.008,0.2029,-0.3000,-0.6696,-0.3089,0.000,57.7,47.3,17.86,0.291,5.10,0.02,0
0.091,-0.56048,0.4,0.003,0.011,0.2034,-0.4000,-0.6712,-0.4002,0.000,57.7,47.3,17.85,0.428,7.48,0.00,0
0.125,-0.56030,0.4,0.004,0.019,0.2041,-0.5000,-0.6734,-0.5061,0.000,57.7,47.3,17.83,0.621,10.86,-0.02,0
0.154,-0.56021,0.5,0.004,0.009,0.2044,-0.6000,-0.6745,-0.6102,0.000,57.7,47.2,17.81,0.855,14.99,0.01,0
0.181,-0.56020,0.5,0.004,-0.001,0.2044,-0.6747,-0.6747,-0.6739,0.000,57.6,47.2,17.79,0.990,17.52,0.03,0
0.217,-0.56018,0.5,0.004,0.004,0.2045,-0.6749,-0.6749,-0.6754,0.000,57.6,47.2,17.79,0.990,17.48,-0.02,0
0.255,-0.56006,0.5,0.004,0.008,0.2049,-0.6763,-0.6763,-0.6708,0.000,57.6,47.2,17.78,0.988,17.68,-0.03,0
0.297,-0.55959,0.7,0.006,0.013,0.2067,-0.6823,-0.6823,-0.6782,0.000,57.6,47.2,17.78,1.001,17.86,-0.09,0
0.342,-0.55846,1.1,0.009,0.039,0.2114,-0.6975,-0.6975,-0.6975,0.000,57.6,47.2,17.77,1.051,18.60,-0.15,0
0.392,-0.55655,1.8,0.015,0.042,0.2200,-0.7259,-0.7259,-0.7240,0.000,57.6,47.1,17.77,1.135,20.35,-0.18,0
0.421,-0.55525,2.2,0.019,0.064,0.2264,-0.7471,-0.7471,-0.7494,0.000,57.6,47.1,17.76,1.183,21.15,-0.27,0
0.458,-0.55324,3.0,0.025,0.054,0.2372,-0.7827,-0.7827,-0.7847,0.000,57.6,47.1,17.75,1.283,22.68,-0.26,0
0.498,-0.55144,3.6,0.030,0.047,0.2477,-0.8174,-0.8174,-0.8153,0.000,57.5,47.1,17.75,1.396,24.74,-0.17,0
0.525,-0.54967,4.2,0.035,0.101,0.2587,-0.8538,-0.8538,-0.8517,0.000,57.5,47.1,17.73,1.464,25.69,-0.78,0
0.560,-0.54414,6.2,0.052,0.205,0.2968,-0.9538,-0.9796,-0.9676,0.000,57.5,47.1,17.72,1.658,28.74,-1.22,0
0.593,-0.53765,8.6,0.071,0.203,0.3470,-1.0538,-1.1450,-1.0671,0.000,57.5,47.1,17.68,1.915,32.78,-0.94,0
0.621,-0.53206,10.6,0.088,0.206,0.3926,-1.1538,-1.2957,-1.1837,0.000,57.5,47.1,17.67,2.222,38.11,-1.13,0
0.646,-0.52712,12.4,0.103,0.195,0.4358,-1.2538,-1.4382,-1.2607,0.000,57.5,47.0,17.65,2.353,41.12,-1.32,0
0.675,-0.52209,14.2,0.118,0.163,0.4856,-1.3538,-1.6024,-1.3897,0.000,57.5,47.0,17.61,2.754,47.52,-0.95,0
0.700,-0.51840,15.5,0.129,0.148,0.5244,-1.4538,-1.7306,-1.4857,0.000,57.5,47.0,17.58,3.075,52.51,-0.93,0
0.725,-0.51475,16.8,0.140,0.163,0.5635,-1.5538,-1.8595,-1.5767,0.000,57.5,47.0,17.53,3.479,59.96,-1.07,0
0.751,-0.51066,18.3,0.152,0.171,0.6068,-1.6538,-2.0025,-1.6699,0.000,57.5,47.0,17.47,3.982,68.71,-1.32,0
0.778,-0.50604,20.0,0.166,0.170,0.6534,-1.7538,-2.1561,-1.7034,0.000,57.4,47.0,17.43,4.356,75.31,-1.61,0
0.803,-0.50197,21.4,0.178,0.158,0.6906,-1.8538,-2.2791,-1.6821,0.000,57.4,47.0,17.40,4.459,77.89,-1.64,0
0.831,-0.49774,22.9,0.191,0.150,0.7252,-1.9538,-2.3931,-1.6974,0.000,57.4,47.0,17.38,4.609,80.01,-1.57,0
0.857,-0.49395,24.3,0.203,0.135,0.7544,-2.0538,-2.4896,-1.6896,0.000,57.4,47.0,17.35,4.699,81.38,-1.50,0
0.884,-0.49000,25.7,0.214,0.160,0.7832,-2.1538,-2.5845,-1.6922,0.000,57.4,47.0,17.33,4.842,84.29,-1.70,0
0.911,-0.48624,27.1,0.226,0.133,0.8090,-2.2538,-2.6697,-1.6872,0.000,57.4,47.0,17.32,4.945,85.83,-1.51,0
0.939,-0.48228,28.5,0.238,0.143,0.8345,-2.3538,-2.7537,-1.6918,0.000,57.4,47.0,17.32,4.952,85.83,-1.51,0
0.967,-0.47828,29.9,0.250,0.152,0.8586,-2.4538,-2.8332,-1.6980,0.000,57.4,47.0,17.30,4.903,84.37,-1.61,0
0.996,-0.47366,31.6,0.263,0.154,0.8841,-2.5538,-2.9176,-1.6986,0.000,57.4,46.9,17.32,4.669,80.82,-1.74,0
1.027,-0.46863,33.4,0.279,0.171,0.9093,-2.6538,-3.0008,-1.6949,0.000,57.4,46.9,17.33,4.410,76.05,-1.90,0
1.059,-0.46324,35.4,0.295,0.167,0.9333,-2.7538,-3.0799,-1.7056,0.000,57.3,46.9,17.36,4.239,73.08,-1.83,0
1.090,-0.45731,37.5,0.312,0.190,0.9560,-2.8538,-3.1549,-1.6947,0.000,57.3,46.9,17.39,4.049,70.00,-2.04,0
1.123,-0.45100,39.8,0.331,0.199,0.9760,-2.9538,-3.2207,-1.6992,0.000,57.3,46.9,17.41,3.903,67.63,-2.13,0
