time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.003,-0.58148,-0.0,0.000,-0.007,0.2000,-0.1000,-0.6600,-0.0964,0.000,54.0,43.9,17.91,0.045,0.99,0.04,0
0.036,-0.58240,-0.4,0.000,-0.025,0.2000,-0.2000,-0.6600,-0.2160,0.000,54.0,43.8,17.91,0.167,2.94,0.13,0
0.062,-0.58401,-0.9,0.000,-0.036,0.2000,-0.3000,-0.6600,-0.3238,0.000,54.0,43.8,17.90,0.288,4.82,0.24,0
0.088,-0.58564,-1.5,0.000,-0.031,0.2000,-0.4000,-0.6600,-0.4018,0.000,54.0,43.8,17.90,0.380,6.74,0.34,0
0.119,-0.58766,-2.2,0.000,-0.043,0.2000,-0.5000,-0.6600,-0.5308,0.000,53.9,43.8,17.89,0.556,9.85,0.31,0
0.144,-0.58941,-2.9,0.000,-0.044,0.2000,-0.6000,-0.6600,-0.6330,0.000,53.9,43.8,17.86,0.737,13.03,0.31,0
0.169,-0.59065,-3.3,0.000,-0.016,0.2000,-0.6600,-0.6600,-0.6842,0.000,53.9,43.8,17.85,0.833,14.58,0.24,0
0.194,-0.59114,-3.5,0.000,0.002,0.2000,-0.6600,-0.6600,-0.6524,0.000,53.9,43.8,17.86,0.772,13.82,-0.02,0
0.219,-0.59092,-3.4,0.000,0.020,0.2000,-0.6600,-0.6600,-0.6620,0.000,53.9,43.8,17.85,0.769,13.81,-0.07,0
0.244,-0.59011,-3.1,0.000,0.035,0.2000,-0.6600,-0.6600,-0.6604,0.000,53.9,43.8,17.86,0.766,13.62,-0.18,0
0.271,-0.58898,-2.7,0.000,0.045,0.2000,-0.6600,-0.6600,-0.6566,0.000,53.9,43.8,17.85,0.764,13.62,-0.20,0
0.298,-0.58778,-2.3,0.000,0.038,0.2000,-0.6600,-0.6600,-0.6640,0.000,53.9,43.8,17.85,0.760,13.51,-0.20,0
0.325,-0.58648,-1.8,0.000,0.050,0.2000,-0.6600,-0.6600,-0.6654,0.000,53.9,43.8,17.84,0.769,13.67,-0.22,0
0.351,-0.58518,-1.4,0.000,0.055,0.2000,-0.6600,-0.6600,-0.6583,0.000,53.9,43.8,17.85,0.783,14.05,-0.23,0
0.382,-0.58338,-0.7,0.000,0.071,0.2000,-0.6600,-0.6600,-0.6580,0.000,53.9,43.8,17.85,0.803,14.21,-0.27,0
0.411,-0.58141,0.0,0.000,0.075,0.2000,-0.6602,-0.6602,-0.6624,0.000,53.9,43.8,17.84,0.822,14.58,-0.28,0
0.438,-0.57936,0.7,0.006,0.078,0.2075,-0.6847,-0.6847,-0.6828,0.000,53.9,43.7,17.84,0.904,15.90,-0.30,0
0.467,-0.57703,1.6,0.013,0.087,0.2175,-0.7177,-0.7177,-0.7172,0.000,53.8,43.7,17.83,0.985,17.60,-0.36,0
0.500,-0.57437,2.5,0.021,0.097,0.2308,-0.7615,-0.7615,-0.7668,0.000,53.8,43.7,17.81,1.126,19.94,-0.41,0
