time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,effective_current_lim_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,power_loss_W,active_errors
0.000,0.23080,83.1,0.001,0.075,0.8000,-0.1000,-0.8000,-0.0604,0.000,40.000,31.5,31.5,18.10,0.012,0.39,-0.01,0.50,0
0.031,0.23102,83.2,0.001,0.001,0.8000,-0.2000,-0.8000,-0.2078,0.000,40.000,31.5,31.5,18.09,0.158,2.96,-0.00,2.87,0
0.061,0.23099,83.2,0.001,-0.002,0.8000,-0.3000,-0.8000,-0.2952,0.000,40.000,31.5,31.5,18.08,0.292,4.97,0.02,4.71,0
0.090,0.22918,82.5,0.000,-0.022,0.0000,-0.2000,-0.0000,-0.1945,0.000,40.000,31.5,31.5,18.09,0.115,2.40,0.01,2.48,0
0.118,0.22913,82.5,0.000,0.006,0.0000,-0.1000,-0.0000,-0.0941,0.000,40.000,31.5,31.5,18.09,0.045,0.93,0.00,0.94,0
0.148,0.22926,82.5,0.000,0.008,0.0000,-0.0000,-0.0000,-0.0217,0.000,40.000,31.5,31.5,18.08,0.010,0.14,-0.00,0.13,0
0.174,0.23118,83.2,0.002,0.026,0.8000,-0.1000,-0.8000,-0.0458,0.000,40.000,31.5,31.5,18.09,0.007,0.20,-0.00,0.36,0
0.199,0.23120,83.2,0.002,-0.000,0.8000,-0.2000,-0.8000,-0.2093,0.000,40.000,31.5,31.5,18.09,0.158,2.93,0.00,2.85,0
0.223,0.23120,83.2,0.002,0.001,0.8000,-0.3000,-0.8000,-0.3051,0.000,40.000,31.5,31.5,18.06,0.297,5.10,0.00,4.75,0
0.253,0.22950,82.6,0.000,-0.036,0.0000,-0.2000,-0.0000,-0.1905,0.000,40.000,31.5,31.5,18.09,0.122,2.17,0.01,2.42,0
0.280,0.22949,82.6,0.000,0.001,0.0000,-0.1000,-0.0000,-0.0931,0.000,40.000,31.5,31.5,18.08,0.048,0.86,-0.00,0.85,0
0.309,0.22949,82.6,0.000,0.000,0.0000,-0.0000,-0.0000,-0.0208,0.000,40.000,31.5,31.5,18.09,0.010,0.14,-0.00,0.12,0
0.338,0.22968,82.7,0.000,0.000,0.0000,-0.0000,-0.0000,-0.0011,0.000,40.000,31.5,31.5,18.09,0.000,-0.00,0.00,0.00,0
0.369,0.23046,83.0,0.000,0.059,0.0000,-0.0000,-0.0000,-0.0031,0.000,40.000,31.5,31.5,18.09,-0.000,-0.00,0.00,0.00,0
0.398,0.23415,84.3,0.011,0.182,0.8000,-0.1000,-0.8000,-0.0927,0.000,40.000,31.5,31.5,18.09,0.007,0.73,-0.08,0.88,0
0.430,0.23840,85.8,0.023,0.150,0.8000,-0.2000,-0.8000,-0.2020,0.000,40.000,31.5,31.5,18.09,0.154,2.72,-0.15,2.70,0
0.457,0.24101,86.8,0.031,0.136,0.8000,-0.3000,-0.8000,-0.3092,0.000,40.000,31.5,31.5,18.08,0.286,4.90,-0.20,5.02,0
0.487,0.24431,88.0,0.041,0.182,0.8000,-0.4000,-0.8000,-0.4095,0.000,40.000,31.5,31.6,18.07,0.437,7.77,-0.38,7.83,0
0.516,0.24791,89.2,0.052,0.133,0.8000,-0.5000,-0.8000,-0.5111,0.000,40.000,31.5,31.6,18.06,0.614,10.77,-0.32,10.94,0
0.545,0.24979,89.9,0.058,0.103,0.8000,-0.6000,-0.8000,-0.6073,0.000,40.000,31.5,31.6,18.04,0.813,14.26,-0.24,14.13,0
0.575,0.25139,90.5,0.062,0.076,0.8000,-0.7000,-0.8000,-0.7111,0.000,40.000,31.5,31.6,18.02,1.027,18.30,-0.18,17.95,0
0.605,0.25169,90.6,0.063,0.026,0.8000,-0.8000,-0.8000,-0.8024,0.000,40.000,31.5,31.6,17.99,1.284,22.43,-0.08,22.22,0
0.635,0.25172,90.6,0.063,-0.002,0.8000,-0.8000,-0.8000,-0.7991,0.000,40.000,31.5,31.6,17.98,1.201,21.47,0.00,21.56,0
0.667,0.25226,90.8,0.065,0.030,0.8000,-0.8000,-0.8000,-0.8009,0.000,40.000,31.5,31.6,17.98,1.188,21.38,-0.13,21.53,0
0.694,0.25261,90.9,0.066,-0.001,0.8000,-0.8000,-0.8000,-0.8058,0.000,40.000,31.5,31.6,17.99,1.194,21.31,0.01,21.39,0
0.723,0.25259,90.9,0.066,0.002,0.8000,-0.8000,-0.8000,-0.8093,0.000,40.000,31.5,31.6,17.98,1.194,21.48,0.04,21.39,0
0.752,0.24912,89.7,0.056,-0.433,0.8000,-0.8000,-0.8000,-0.7899,0.000,40.000,31.5,31.6,17.98,1.274,23.16,2.56,20.52,0
0.782,0.23057,83.0,0.000,-0.438,0.0000,-0.7000,-0.0000,-0.6902,0.000,40.000,31.5,31.6,17.99,0.896,16.39,1.47,15.45,0
0.807,0.22420,80.7,0.000,-0.237,0.0000,-0.6000,-0.0000,-0.5909,0.000,40.000,31.5,31.6,18.02,0.647,12.23,0.63,11.93,0
0.837,0.22076,79.5,0.000,-0.141,0.0000,-0.5000,-0.0000,-0.4866,0.000,40.000,31.5,31.6,18.03,0.464,8.67,0.29,8.65,0
0.867,0.21927,78.9,0.000,-0.086,0.0000,-0.4000,-0.0000,-0.3867,0.000,40.000,31.5,31.6,18.05,0.320,5.96,0.15,6.06,0
0.896,0.21850,78.7,0.000,-0.034,0.0000,-0.3000,-0.0000,-0.2891,0.000,40.000,31.5,31.6,18.06,0.205,3.79,0.04,3.92,0
0.924,0.21838,78.6,0.000,-0.010,0.0000,-0.2000,-0.0000,-0.1933,0.000,40.000,31.5,31.6,18.08,0.107,2.17,-0.00,2.32,0
0.953,0.21836,78.6,0.000,-0.005,0.0000,-0.1000,-0.0000,-0.0904,0.000,40.000,31.5,31.6,18.08,0.043,0.77,-0.00,0.86,0
0.982,0.21838,78.6,0.000,-0.000,0.0000,-0.0000,-0.0000,-0.0206,0.000,40.000,31.5,31.6,18.07,0.008,0.14,-0.00,0.13,0
1.008,0.21842,78.6,0.000,0.009,0.0000,-0.0000,-0.0000,-0.0007,0.000,40.000,31.5,31.6,18.09,0.000,-0.00,-0.00,-0.00,0
1.035,0.21842,78.6,0.000,-0.002,0.0000,-0.0000,-0.0000,0.0022,0.000,40.000,31.5,31.6,18.09,0.000,0.00,0.00,0.00,0
1.065,0.21839,78.6,0.000,-0.002,0.0000,-0.0000,-0.0000,-0.0079,0.000,40.000,31.5,31.6,18.09,-0.000,0.00,0.00,-0.00,0
1.091,0.21838,78.6,0.000,0.000,0.0000,-0.0000,-0.0000,0.0015,0.000,40.000,31.5,31.6,18.09,0.000,0.00,0.00,-0.00,0
1.120,0.21820,78.6,0.000,-0.009,0.0000,-0.0000,-0.0000,0.0031,0.000,40.000,31.5,31.6,18.09,0.000,0.00,-0.00,-0.00,0
1.149,0.21777,78.4,0.000,-0.007,0.0000,-0.0000,-0.0000,0.0005,0.000,40.000,31.5,31.6,18.09,0.000,0.00,0.00,0.00,0
1.174,0.21703,78.1,0.000,-0.052,0.0000,-0.0000,-0.0000,0.0016,0.000,40.000,31.5,31.6,18.09,0.000,0.00,-0.00,-0.00,0
1.204,0.21617,77.8,0.000,-0.002,0.0000,-0.0000,-0.0000,0.0019,0.000,40.000,31.5,31.7,18.09,-0.000,0.00,-0.00,-0.00,0
1.232,0.21386,77.0,0.000,-0.132,0.0000,-0.0000,-0.0000,0.0045,0.000,40.000,31.5,31.7,18.08,-0.000,0.00,0.00,-0.00,0
1.257,0.21199,76.3,0.000,-0.065,0.0000,-0.0000,-0.0000,-0.0068,0.000,40.000,31.5,31.7,18.10,-0.000,-0.00,0.00,-0.00,0
1.282,0.21065,75.8,0.000,-0.034,0.0000,-0.0000,-0.0000,0.0040,0.000,40.000,31.5,31.7,18.09,-0.000,-0.00,0.00,-0.00,0
1.312,0.21021,75.7,0.000,-0.017,0.0000,-0.0000,-0.0000,0.0018,0.000,40.000,31.5,31.7,18.09,-0.000,0.00,0.00,-0.00,0
1.341,0.21002,75.6,0.000,0.001,0.0000,-0.0000,-0.0000,-0.0060,0.000,40.000,31.5,31.7,18.08,0.000,-0.00,0.00,-0.00,0
1.371,0.21002,75.6,0.000,-0.000,0.0000,-0.0000,-0.0000,-0.0085,0.000,40.000,31.5,31.7,18.09,-0.000,0.00,-0.00,0.00,0
1.398,0.21002,75.6,0.000,0.001,0.0000,-0.0000,-0.0000,0.0033,0.000,40.000,31.5,31.7,18.09,0.000,-0.00,0.00,-0.00,0
1.426,0.20998,75.6,0.000,-0.000,0.0000,-0.0000,-0.0000,-0.0009,0.000,40.000,31.5,31.7,18.09,0.000,-0.00,0.00,-0.00,0
1.455,0.21002,75.6,0.000,-0.005,0.0000,-0.0000,-0.0000,0.0003,0.000,40.000,31.5,31.7,18.09,-0.000,0.00,0.00,0.00,0
1.485,0.21002,75.6,0.000,0.001,0.0000,-0.0000,-0.0000,-0.0020,0.000,40.000,31.5,31.7,18.09,-0.000,-0.00,-0.00,-0.00,0
