time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,effective_current_lim_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,power_loss_W,active_errors
0.000,0.24963,89.9,0.000,-0.017,0.0000,-0.0000,-0.0000,-0.0011,0.000,40.000,31.7,32.0,18.08,0.000,-0.00,0.00,-0.00,0
0.032,0.24933,89.8,0.000,-0.004,0.0000,-0.0000,-0.0000,-0.0022,0.000,40.000,31.7,32.0,18.09,-0.000,0.00,-0.00,0.00,0
0.057,0.24921,89.7,0.000,-0.002,0.0000,-0.0000,-0.0000,0.0084,0.000,40.000,31.7,32.0,18.09,-0.000,0.00,0.00,0.00,0
0.083,0.24890,89.6,0.000,-0.011,0.0000,-0.0000,-0.0000,-0.0007,0.000,40.000,31.7,32.0,18.09,-0.000,0.00,-0.00,-0.00,0
0.112,0.24836,89.4,0.000,-0.012,0.0000,-0.0000,-0.0000,-0.0019,0.000,40.000,31.7,32.0,18.09,0.000,-0.00,-0.00,-0.00,0
0.142,0.24818,89.3,0.000,0.001,0.0000,-0.0000,-0.0000,0.0055,0.000,40.000,31.7,32.0,18.08,0.000,-0.00,0.00,0.00,0
0.168,0.24823,89.4,0.000,-0.004,0.0000,-0.0000,-0.0000,0.0009,0.000,40.000,31.7,32.0,18.08,0.000,-0.00,-0.00,0.00,0
0.197,0.24810,89.3,0.000,-0.004,0.0000,-0.0000,-0.0000,0.0049,0.000,40.000,31.7,32.0,18.09,0.000,-0.00,-0.00,0.00,0
0.224,0.24811,89.3,0.000,-0.001,0.0000,-0.0000,-0.0000,0.0001,0.000,40.000,31.7,32.0,18.08,-0.000,-0.00,-0.00,0.00,0
0.253,0.24811,89.3,0.000,-0.000,0.0000,-0.0000,-0.0000,-0.0015,0.000,40.000,31.7,32.0,18.08,-0.000,0.00,-0.00,0.00,0
0.280,0.24817,89.3,0.000,0.001,0.0000,-0.0000,-0.0000,-0.0005,0.000,40.000,31.7,32.0,18.09,0.000,-0.00,-0.00,-0.00,0
0.308,0.24848,89.5,0.000,0.020,0.0000,-0.0000,-0.0000,-0.0024,0.000,40.000,31.7,32.0,18.08,0.000,0.00,0.00,-0.00,0
0.337,0.24860,89.5,0.000,0.012,0.0000,-0.0000,-0.0000,0.0026,0.000,40.000,31.7,32.0,18.08,-0.000,-0.00,0.00,-0.00,0
0.366,0.24888,89.6,0.000,0.021,0.0000,-0.0000,-0.0000,-0.0076,0.000,40.000,31.7,32.0,18.09,-0.000,0.00,-0.00,-0.00,0
0.390,0.24915,89.7,0.000,0.012,0.0000,-0.0000,-0.0000,0.0010,0.000,40.000,31.7,32.0,18.09,0.000,-0.00,-0.00,0.00,0
0.420,0.25005,90.0,0.000,0.065,0.0000,-0.0000,-0.0000,0.0026,0.000,40.000,31.7,32.0,18.09,0.000,0.00,0.00,-0.00,0
0.449,0.25349,91.3,0.009,0.146,0.8000,-0.1000,-0.8000,-0.0444,0.000,40.000,31.7,32.0,18.10,0.005,0.21,-0.04,0.33,0
0.478,0.25656,92.4,0.018,0.095,0.8000,-0.2000,-0.8000,-0.1998,0.000,40.000,31.7,32.0,18.08,0.149,2.79,-0.08,2.72,0
0.507,0.25749,92.7,0.021,0.029,0.8000,-0.3000,-0.8000,-0.3165,0.000,40.000,31.7,32.0,18.07,0.272,4.94,-0.02,4.71,0
0.535,0.25732,92.6,0.020,-0.000,0.8000,-0.4000,-0.8000,-0.4187,0.000,40.000,31.7,32.0,18.07,0.406,7.49,-0.00,7.40,0
0.564,0.25714,92.6,0.020,-0.000,0.8000,-0.5000,-0.8000,-0.5128,0.000,40.000,31.7,32.0,18.06,0.584,10.11,0.06,9.69,0
0.590,0.25690,92.5,0.019,-0.001,0.8000,-0.6000,-0.8000,-0.6073,0.000,40.000,31.7,32.0,18.04,0.747,12.87,0.15,12.83,0
0.624,0.25671,92.4,0.019,-0.000,0.8000,-0.7000,-0.8000,-0.7224,0.000,40.000,31.7,32.0,18.01,0.972,17.67,0.00,17.40,0
0.648,0.25658,92.4,0.018,0.001,0.8000,-0.8000,-0.8000,-0.8147,0.000,40.000,31.7,32.0,17.99,1.235,21.55,0.10,20.81,0
0.674,0.25646,92.3,0.018,-0.005,0.8000,-0.8000,-0.8000,-0.8029,0.000,40.000,31.7,32.0,17.99,1.146,20.46,0.01,20.31,0
0.706,0.25651,92.3,0.018,-0.005,0.8000,-0.8000,-0.8000,-0.7960,0.000,40.000,31.7,32.1,17.98,1.138,20.34,-0.02,20.52,0
0.735,0.25683,92.5,0.019,0.014,0.8000,-0.8000,-0.8000,-0.7951,0.000,40.000,31.7,32.1,17.98,1.122,20.32,-0.04,20.30,0
0.761,0.25708,92.6,0.020,0.010,0.8000,-0.8000,-0.8000,-0.8065,0.000,40.000,31.7,32.1,17.98,1.121,20.39,-0.01,20.36,0
0.785,0.25723,92.6,0.020,0.010,0.8000,-0.8000,-0.8000,-0.8042,0.000,40.000,31.7,32.1,17.98,1.129,20.27,-0.05,20.31,0
0.815,0.25726,92.6,0.020,0.000,0.8000,-0.8000,-0.8000,-0.7941,0.000,40.000,31.7,32.1,17.98,1.138,20.40,0.00,20.29,0
0.882,0.25555,92.0,0.015,-0.122,0.8000,-0.8000,-0.8000,-0.7943,0.000,40.000,31.7,32.1,17.96,1.173,21.14,0.77,20.54,0
0.920,0.24809,89.3,0.000,-0.346,0.0000,-0.7000,-0.0000,-0.6840,0.000,40.000,31.7,32.1,17.99,0.950,17.13,1.36,16.32,0
0.949,0.23707,85.3,0.000,-0.417,0.0000,-0.6000,-0.0000,-0.5904,0.000,40.000,31.7,32.1,17.99,0.714,12.71,1.41,11.69,0
0.974,0.22754,81.9,0.000,-0.373,0.0000,-0.5000,-0.0000,-0.4912,0.000,40.000,31.7,32.1,18.02,0.513,9.50,0.92,8.78,0
0.998,0.22073,79.5,0.000,-0.254,0.0000,-0.4000,-0.0000,-0.3762,0.000,40.000,31.7,32.1,18.04,0.349,6.14,0.48,5.92,0
