time_s,pos_turns,pos_deg,normalized,velocity_turns_s,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,effective_current_lim_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,power_loss_W,active_errors,time_s,motor_temp_C,power_elec_W,,joules in interval,total,motor_temp_C
0,-0.20856,-75.1,0,-0.001,0,0,-0.0038,0,40,38.8,40.2,18.29,0,0,0,0,0,0,38.8,0,,0,0,38.8
0.03,-0.2085,-75.1,0,0.001,-0.1,-2.5,-0.0473,0,40,38.8,40.2,18.28,0.008,0.24,0,0.32,0,0.03,38.8,0.24,,0.0072,0.0072,38.8
0.06,-0.2085,-75.1,0,-0.002,-0.2,-2.5,-0.2126,0,40,38.8,40.2,18.29,0.164,2.97,0.02,2.83,0,0.06,38.8,2.97,,0.0891,0.0963,38.8
0.085,-0.20856,-75.1,0,0,-0.1,0,-0.0922,0,40,38.8,40.2,18.27,0.041,0.9,0,0.98,0,0.085,38.8,0.9,,0.027,0.1233,38.8
0.115,-0.20856,-75.1,0,0,0,0,-0.0236,0,40,38.8,40.2,18.28,0.009,0.1,0,0.14,0,0.115,38.8,0.1,,0.003,0.1263,38.8
0.145,-0.20837,-75,0.001,0.02,-0.1,-2.5,-0.0412,0,40,38.8,40.2,18.28,0.008,0.26,0,0.35,0,0.145,38.8,0.26,,0.0078,0.1341,38.8
0.174,-0.20837,-75,0.001,-0.003,-0.2,-2.5,-0.2128,0,40,38.8,40.2,18.29,0.164,2.99,0,2.82,0,0.174,38.8,2.99,,0.0897,0.2238,38.8
0.204,-0.20837,-75,0.001,0.001,-0.3,-2.5,-0.3126,0,40,38.8,40.2,18.28,0.289,5.1,0.01,4.8,0,0.204,38.8,5.1,,0.153,0.3768,38.8
0.234,-0.20852,-75.1,0,-0.005,-0.4,-2.5,-0.4169,0,40,38.8,40.2,18.26,0.43,7.7,0.07,7.48,0,0.234,38.8,7.7,,0.231,0.6078,38.8
0.263,-0.20905,-75.3,0,-0.006,-0.3,0,-0.2885,0,40,38.8,40.2,18.28,0.212,3.86,0,4.07,0,0.263,38.8,3.86,,0.1158,0.7236,38.8
0.293,-0.20904,-75.3,0,0.003,-0.2,0,-0.1795,0,40,38.8,40.2,18.27,0.113,2.08,-0.01,2.25,0,0.293,38.8,2.08,,0.0624,0.786,38.8
0.322,-0.20898,-75.2,0,-0.003,-0.1,0,-0.0882,0,40,38.8,40.2,18.29,0.046,0.82,-0.02,0.93,0,0.322,38.8,0.82,,0.0246,0.8106,38.8
0.352,-0.20856,-75.1,0,0.011,0,0,-0.0257,0,40,38.8,40.2,18.29,0.011,0.17,0,0.13,0,0.352,38.8,0.17,,0.0051,0.8157,38.8
0.381,-0.20813,-74.9,0.001,0.001,-0.1,-2.5,-0.0565,0,40,38.8,40.2,18.28,0.007,0.23,0,0.32,0,0.381,38.8,0.23,,0.0069,0.8226,38.8
0.412,-0.20813,-74.9,0.001,0.001,-0.2,-2.5,-0.1954,0,40,38.8,40.2,18.29,0.148,2.5,0.01,2.62,0,0.412,38.8,2.5,,0.075,0.8976,38.8
0.451,-0.20844,-75,0,-0.001,-0.3,-2.5,-0.3163,0,40,38.8,40.2,18.28,0.292,5.28,0.11,4.83,0,0.451,38.8,5.28,,0.1584,1.056,38.8
0.48,-0.20918,-75.3,0,-0.023,-0.2,0,-0.1948,0,40,38.8,40.2,18.28,0.121,2.63,0,2.66,0,0.48,38.8,2.63,,0.0789,1.1349,38.8
0.518,-0.20949,-75.4,0,-0.011,-0.1,0,-0.0889,0,40,38.8,40.2,18.28,0.044,0.9,0,0.9,0,0.518,38.8,0.9,,0.027,1.1619,38.8
0.548,-0.20955,-75.4,0,-0.006,0,0,-0.0249,0,40,38.8,40.2,18.28,0.008,0.09,0,0.13,0,0.548,38.8,0.09,,0.0027,1.1646,38.8
0.577,-0.20953,-75.4,0,0,0,0,0.0018,0,40,38.8,40.2,18.28,0,0,0,0,0,0.577,38.8,0,,0,1.1646,38.8
0.605,-0.20941,-75.4,0,0.009,0,0,0.0081,0,40,38.8,40.2,18.28,0,0,0,0,0,0.605,38.8,0,,0,1.1646,38.8
0.635,-0.20877,-75.2,0,0.033,0,0,0.0034,0,40,38.8,40.2,18.28,0,0,0,0,0,0.635,38.8,0,,0,1.1646,38.8
0.665,-0.20791,-74.8,0.002,0.03,-0.1,-2.5,-0.0921,0,40,38.8,40.2,18.29,0.009,0.7,0,0.87,0,0.665,38.8,0.7,,0.021,1.1856,38.8
0.698,-0.20757,-74.7,0.003,0.014,-0.2,-2.5,-0.2092,0,40,38.8,40.2,18.27,0.168,2.91,0.02,2.72,0,0.698,38.8,2.91,,0.0873,1.2729,38.8
0.729,-0.20759,-74.7,0.003,0.004,-0.3,-2.5,-0.305,0,40,38.8,40.2,18.28,0.288,5.25,0.06,4.8,0,0.729,38.8,5.25,,0.1575,1.4304,38.8
0.759,-0.20812,-74.9,0.001,-0.021,-0.4,-2.5,-0.4248,0,40,38.8,40.2,18.27,0.426,7.73,0.18,7.22,0,0.759,38.8,7.73,,0.2319,1.6623,38.8
0.789,-0.2096,-75.5,0,-0.038,-0.3,0,-0.2926,0,40,38.8,40.2,18.28,0.21,4.05,0.03,4.19,0,0.789,38.8,4.05,,0.1215,1.7838,38.8
0.818,-0.21023,-75.7,0,-0.024,-0.2,0,-0.1855,0,40,38.8,40.2,18.29,0.119,2.1,0.01,2.24,0,0.818,38.8,2.1,,0.063,1.8468,38.8
0.848,-0.21057,-75.8,0,-0.016,-0.1,0,-0.084,0,40,38.8,40.2,18.28,0.046,0.79,0,0.86,0,0.848,38.8,0.79,,0.0237,1.8705,38.8
0.877,-0.21051,-75.8,0,0,0,0,-0.0141,0,40,38.8,40.2,18.29,0.009,0.15,0,0.11,0,0.877,38.8,0.15,,0.0045,1.875,38.8
0.901,-0.2102,-75.7,0,0.004,0,0,-0.0012,0,40,38.7,40.2,18.28,0,0,0,0,0,0.901,38.7,0,,0,1.875,38.7
0.931,-0.21051,-75.8,0,-0.042,0,0,0.0051,0,40,38.7,40.2,18.29,0,0,0,0,0,0.931,38.7,0,,0,1.875,38.7
0.96,-0.21143,-76.1,0,-0.018,0,0,-0.0023,0,40,38.7,40.2,18.28,0,0,0,0,0,0.96,38.7,0,,0,1.875,38.7
0.987,-0.21147,-76.1,0,0.001,0,0,0.0009,0,40,38.7,40.2,18.29,0,0,0,0,0,0.987,38.7,0,,0,1.875,38.7
1.017,-0.21091,-75.9,0,0.025,0,0,0.0001,0,40,38.7,40.2,18.29,0,0,0,0,0,1.017,38.7,0,,0,1.875,38.7
1.046,-0.21037,-75.7,0,0.013,0,0,0.0027,0,40,38.7,40.2,18.29,0,0,0,0,0,1.046,38.7,0,,0,1.875,38.7
1.076,-0.2104,-75.7,0,-0.002,0,0,0.0029,0,40,38.7,40.2,18.29,0,0,0,0,0,1.076,38.7,0,,0,1.875,38.7
1.101,-0.21064,-75.8,0,-0.008,0,0,0.0045,0,40,38.7,40.2,18.29,0,0,0,0,0,1.101,38.7,0,,0,1.875,38.7
1.131,-0.2109,-75.9,0,0,0,0,-0.0003,0,40,38.7,40.2,18.29,0,0,0,0,0,1.131,38.7,0,,0,1.875,38.7
1.159,-0.21077,-75.9,0,0.006,0,0,0.0046,0,40,38.7,40.2,18.29,0,0,0,-0.01,0,1.159,38.7,0,,0,1.875,38.7
1.186,-0.21044,-75.8,0,0.013,0,0,0.0009,0,40,38.7,40.2,18.29,0,0,0,0,0,1.186,38.7,0,,0,1.875,38.7
1.215,-0.21033,-75.7,0,0,0,0,0.0029,0,40,38.7,40.2,18.29,0,0,0,0,0,1.215,38.7,0,,0,1.875,38.7
1.242,-0.2101,-75.6,0,0.009,0,0,-0.0079,0,40,38.7,40.2,18.29,0,0,0,0,0,1.242,38.7,0,,0,1.875,38.7
1.269,-0.21008,-75.6,0,-0.002,0,0,0.0013,0,40,38.7,40.2,18.29,0,0,0,0,0,1.269,38.7,0,,0,1.875,38.7
1.299,-0.21033,-75.7,0,-0.005,0,0,-0.0081,0,40,38.7,40.2,18.29,0,0,0,0,0,1.299,38.7,0,,0,1.875,38.7
1.329,-0.2107,-75.9,0,-0.009,0,0,0.0013,0,40,38.7,40.2,18.29,0,0,0,0,0,1.329,38.7,0,,0,1.875,38.7
1.359,-0.21101,-76,0,-0.005,0,0,-0.0053,0,40,38.7,40.2,18.29,0,0,0,0,0,1.359,38.7,0,,0,1.875,38.7
1.385,-0.21107,-76,0,-0.003,0,0,0.0046,0,40,38.7,40.2,18.29,0,0,0,0,0,1.385,38.7,0,,0,1.875,38.7
1.415,-0.21101,-76,0,0.008,0,0,0.0022,0,40,38.7,40.2,18.29,0,0,0,0,0,1.415,38.7,0,,0,1.875,38.7
1.442,-0.21062,-75.8,0,0.024,0,0,-0.0015,0,40,38.7,40.2,18.29,0,0,0,0,0,1.442,38.7,0,,0,1.875,38.7
1.468,-0.21025,-75.7,0,0.012,0,0,-0.0025,0,40,38.7,40.2,18.29,0,0,0,0,0,1.468,38.7,0,,0,1.875,38.7
1.498,-0.20978,-75.5,0,0.015,0,0,0.0014,0,40,38.7,40.2,18.29,0,0,0,0,0,1.498,38.7,0,,0,1.875,38.7
1.526,-0.20941,-75.4,0,0.01,0,0,0.0033,0,40,38.7,40.2,18.29,0,0,0,0,0,1.526,38.7,0,,0,1.875,38.7
1.552,-0.20909,-75.3,0,0.01,0,0,-0.0021,0,40,38.7,40.2,18.3,0,0,0,0,0,1.552,38.7,0,,0,1.875,38.7
1.584,-0.20901,-75.2,0,-0.004,0,0,0.0026,0,40,38.7,40.2,18.28,0,0,0,0,0,1.584,38.7,0,,0,1.875,38.7
1.617,-0.20912,-75.3,0,0,0,0,0.0055,0,40,38.7,40.2,18.29,0,0,0,0,0,1.617,38.7,0,,0,1.875,38.7
1.647,-0.20931,-75.4,0,-0.001,0,0,-0.0007,0,40,38.7,40.2,18.3,0,0,0,0,0,1.647,38.7,0,,0,1.875,38.7
1.676,-0.2096,-75.5,0,-0.016,0,0,-0.0041,0,40,38.7,40.2,18.29,0,0,0,0,0,1.676,38.7,0,,0,1.875,38.7
1.706,-0.20972,-75.5,0,0,0,0,-0.0069,0,40,38.7,40.2,18.29,0,0,0,0,0,1.706,38.7,0,,0,1.875,38.7
1.736,-0.20873,-75.1,0,0.051,0,0,-0.0056,0,40,38.7,40.2,18.29,0,0,0,0,0,1.736,38.7,0,,0,1.875,38.7
1.767,-0.20698,-74.5,0.005,0.067,-0.1,-2.5,-0.0616,0,40,38.7,40.2,18.28,0.008,0.39,-0.02,0.5,0,1.767,38.7,0.39,,0.0117,1.8867,38.7
1.799,-0.20536,-73.9,0.01,0.078,-0.2,-2.5,-0.208,0,40,38.7,40.2,18.28,0.165,2.72,-0.04,2.77,0,1.799,38.7,2.72,,0.0816,1.9683,38.7
1.83,-0.20208,-72.7,0.019,0.141,-0.3,-2.5,-0.3086,0,40,38.7,40.2,18.28,0.296,5.27,-0.17,5.05,0,1.83,38.7,5.27,,0.1581,2.1264,38.7
1.859,-0.20008,-72,0.025,0.041,-0.4,-2.5,-0.4141,0,40,38.7,40.2,18.27,0.453,8.11,-0.04,7.81,0,1.859,38.7,8.11,,0.2433,2.3697,38.7
1.885,-0.19922,-71.7,0.028,0.039,-0.5,-2.5,-0.5043,0,40,38.7,40.2,18.25,0.633,11,-0.04,10.81,0,1.885,38.7,11,,0.33,2.6997,38.7
1.915,-0.19864,-71.5,0.03,0.042,-0.6,-2.5,-0.5998,0,40,38.7,40.2,18.24,0.802,13.98,0,13.97,0,1.915,38.7,13.98,,0.4194,3.1191,38.7
1.948,-0.19847,-71.4,0.03,0.004,-0.7,-2.5,-0.7057,0,40,38.7,40.2,18.22,1.05,18.56,0.28,17.88,0,1.948,38.7,18.56,,0.5568,3.6759,38.7
1.979,-0.20007,-72,0.025,0.008,-0.8,-2.5,-0.8013,0,40,38.7,40.2,18.2,1.268,22.42,0.17,21.75,0,1.979,38.7,22.42,,0.6726,4.3485,38.7
2.01,-0.20016,-72.1,0.025,0.003,-0.9,-2.5,-0.9126,0,40,38.7,40.2,18.16,1.578,27.87,0.21,26.92,0,2.01,38.7,27.87,,0.8361,5.1846,38.7
2.042,-0.20008,-72,0.025,0.025,-1,-2.5,-1.0192,0,40,38.7,40.2,18.14,1.858,33.09,-0.07,32.43,0,2.042,38.7,33.09,,0.9927,6.1773,38.7
2.068,-0.19909,-71.7,0.028,0.092,-1.1,-2.5,-1.1155,0,40,38.7,40.2,18.11,2.195,38.81,-0.32,38.57,0,2.068,38.7,38.81,,1.1643,7.3416,38.7
2.098,-0.19555,-70.4,0.039,0.14,-1.2,-2.5,-1.2118,0,40,38.7,40.2,18.06,2.574,45.75,-0.64,45.76,0,2.098,38.7,45.75,,1.3725,8.7141,38.7
2.126,-0.19186,-69.1,0.05,0.15,-1.3,-2.5,-1.322,0,40,38.7,40.2,18.03,2.962,52.51,-0.77,52.64,0,2.126,38.7,52.51,,1.5753,10.2894,38.7
2.151,-0.18824,-67.8,0.061,0.168,-1.4,-2.5,-1.4077,0,40,38.7,40.2,17.98,3.416,60.29,-1.04,61.22,0,2.151,38.7,60.29,,1.8087,12.0981,38.7
2.182,-0.18309,-65.9,0.076,0.185,-1.5,-2.5,-1.5038,0,40,38.7,40.2,17.94,3.845,68.34,-1.28,69.18,0,2.182,38.7,68.34,,2.0502,14.1483,38.7
2.213,-0.17766,-64,0.093,0.188,-1.6,-2.5,-1.6123,0,40,38.7,40.2,17.9,4.285,74.87,-1.09,75.6,0,2.213,38.7,74.87,,2.2461,16.3944,38.7
2.245,-0.17298,-62.3,0.107,0.13,-1.7,-2.5,-1.689,0,40,38.7,40.2,17.85,4.478,77.77,-0.72,77.43,0,2.245,38.7,77.77,,2.3331,18.7275,38.7
2.275,-0.1701,-61.2,0.115,0.09,-1.8,-2.5,-1.6847,0,40,38.7,40.2,17.87,4.149,73.6,-0.86,74.21,0,2.275,38.7,73.6,,2.208,20.9355,38.7
2.301,-0.16752,-60.3,0.123,0.106,-1.9,-2.5,-1.6897,0,40,38.7,40.2,17.87,3.963,70.9,-1.18,71.98,0,2.301,38.7,70.9,,2.127,23.0625,38.7
2.334,-0.16386,-59,0.134,0.121,-2,-2.5,-1.6901,0,40,38.7,40.2,17.9,3.821,68.43,-1.31,69.72,0,2.334,38.7,68.43,,2.0529,25.1154,38.7
2.365,-0.16014,-57.6,0.145,0.129,-2.1,-2.5,-1.6961,0,40,38.7,40.2,17.91,3.703,66.57,-1.42,67.96,0,2.365,38.7,66.57,,1.9971,27.1125,38.7
2.397,-0.15551,-56,0.159,0.156,-2.2,-2.5,-1.697,0,40,38.7,40.2,17.92,3.618,64.95,-1.7,66.43,0,2.397,38.7,64.95,,1.9485,29.061,38.7
2.426,-0.15108,-54.4,0.172,0.143,-2.3,-2.5,-1.6858,0,40,38.7,40.2,17.91,3.577,64,-1.54,65.69,0,2.426,38.7,64,,1.92,30.981,38.7
2.451,-0.1471,-53,0.184,0.166,-2.4,-2.5,-1.7007,0,40,38.7,40.3,17.92,3.584,64.31,-1.77,65.93,0,2.451,38.7,64.31,,1.9293,32.9103,38.7
2.481,-0.14177,-51,0.2,0.177,-2.5,-2.5,-1.69,0,40,38.7,40.3,17.9,3.73,66.94,-1.93,68.85,0,2.481,38.7,66.94,,2.0082,34.9185,38.7
2.512,-0.13646,-49.1,0.216,0.158,-2.5,-2.5,-1.686,0,40,38.7,40.3,17.88,4.046,72.43,-1.58,73.99,0,2.512,38.7,72.43,,2.1729,37.0914,38.7
2.543,-0.1317,-47.4,0.231,0.158,-2.5,-2.5,-1.6904,0,40,38.7,40.3,17.85,4.315,76.97,-1.73,78.99,0,2.543,38.7,76.97,,2.3091,39.4005,38.7
2.574,-0.12642,-45.5,0.246,0.173,-2.5,-2.5,-1.6972,0,40,38.7,40.3,17.81,4.558,81.44,-1.93,83.4,0,2.574,38.7,81.44,,2.4432,41.8437,38.7
2.602,-0.12123,-43.6,0.262,0.193,-2.5,-2.5,-1.6996,0,40,38.7,40.3,17.79,4.685,83.66,-2.05,85.49,0,2.602,38.7,83.66,,2.5098,44.3535,38.7
2.633,-0.11582,-41.7,0.278,0.149,-2.5,-2.5,-1.7005,0,40,38.7,40.3,17.78,4.769,84.98,-1.66,86.42,0,2.633,38.7,84.98,,2.5494,46.9029,38.7
2.662,-0.11148,-40.1,0.291,0.156,-2.5,-2.5,-1.6899,0,40,38.7,40.3,17.77,4.794,85.28,-1.63,86.94,0,2.662,38.7,85.28,,2.5584,49.4613,38.7
2.692,-0.10617,-38.2,0.307,0.194,-2.5,-2.5,-1.6992,0,40,38.7,40.3,17.79,4.674,83.17,-2.06,85.55,0,2.692,38.7,83.17,,2.4951,51.9564,38.7
2.719,-0.10089,-36.3,0.323,0.195,-2.5,-2.5,-1.7058,0,40,38.7,40.3,17.81,4.375,77.43,-2.08,79.73,0,2.719,38.7,77.43,,2.3229,54.2793,38.7
2.746,-0.09534,-34.3,0.34,0.226,-2.5,-2.5,-1.6996,0,40,38.7,40.4,17.84,4.048,72.24,-2.37,74.66,0,2.746,38.7,72.24,,2.1672,56.4465,38.7
2.776,-0.0883,-31.8,0.361,0.243,-2.5,-2.5,-1.707,0,40,38.7,40.4,17.88,3.798,67.89,-2.7,70.48,0,2.776,38.7,67.89,,2.0367,58.4832,38.7
2.807,-0.08026,-28.9,0.385,0.259,-2.5,-2.5,-1.713,0,40,38.7,40.4,17.89,3.653,65.16,-2.73,67.77,0,2.807,38.7,65.16,,1.9548,60.438,38.7
2.835,-0.07338,-26.4,0.406,0.258,-2.5,-2.5,-1.7135,0,40,38.7,40.4,17.91,3.671,65.62,-2.73,68.44,0,2.835,38.7,65.62,,1.9686,62.4066,38.7
2.865,-0.06623,-23.8,0.427,0.221,-2.5,-2.5,-1.6967,0,40,38.7,40.4,17.87,3.997,71.75,-2.32,73.96,0,2.865,38.7,71.75,,2.1525,64.5591,38.7
2.892,-0.0603,-21.7,0.445,0.221,-2.5,-2.5,-1.6971,0,40,38.7,40.4,17.83,4.362,77.76,-2.37,80.19,0,2.892,38.7,77.76,,2.3328,66.8919,38.7
2.918,-0.05421,-19.5,0.463,0.21,-2.5,-2.5,-1.6955,0,40,38.7,40.4,17.8,4.588,81.89,-2.25,83.71,0,2.918,38.7,81.89,,2.4567,69.3486,38.7
2.95,-0.04788,-17.2,0.482,0.205,-2.5,-2.5,-1.6966,0,40,38.7,40.5,17.77,4.67,82.95,-2.19,85.37,0,2.95,38.7,82.95,,2.4885,71.8371,38.7
2.981,-0.04146,-14.9,0.501,0.206,-2.5,-2.5,-1.706,0,40,38.7,40.5,17.77,4.807,85.47,-2.16,87.4,0,2.981,38.7,85.47,,2.5641,74.4012,38.7
3.01,-0.03516,-12.7,0.52,0.214,-2.5,-2.5,-1.7061,0,40,38.7,40.5,17.79,4.654,83.16,-2.36,85.19,0,3.01,38.7,83.16,,2.4948,76.896,38.7
3.037,-0.02951,-10.6,0.537,0.206,-2.5,-2.5,-1.7007,0,40,38.7,40.5,17.81,4.373,77.58,-2.28,79.45,0,3.037,38.7,77.58,,2.3274,79.2234,38.7
3.066,-0.02343,-8.4,0.555,0.203,-2.5,-2.5,-1.7069,0,40,38.7,40.5,17.85,4.003,71.02,-2.21,73.28,0,3.066,38.7,71.02,,2.1306,81.354,38.7
3.096,-0.01742,-6.3,0.573,0.209,-2.5,-2.5,-1.7123,0,40,38.7,40.5,17.86,3.783,67.53,-2.28,69.62,0,3.096,38.7,67.53,,2.0259,83.3799,38.7
3.125,-0.01086,-3.9,0.593,0.235,-2.5,-2.5,-1.7032,0,40,38.7,40.6,17.89,3.636,64.93,-2.47,67.5,0,3.125,38.7,64.93,,1.9479,85.3278,38.7
3.151,-0.00479,-1.7,0.611,0.236,-2.5,-2.5,-1.7043,0,40,38.7,40.6,17.9,3.611,64.68,-2.49,67.37,0,3.151,38.7,64.68,,1.9404,87.2682,38.7
3.181,0.00182,0.7,0.631,0.216,-2.5,-2.5,-1.7011,0,40,38.7,40.6,17.87,3.799,68.03,-2.19,70.14,0,3.181,38.7,68.03,,2.0409,89.3091,38.7
3.211,0.00742,2.7,0.648,0.161,-2.5,-2.5,-1.699,0,40,38.7,40.6,17.84,4.137,73.59,-1.7,75.23,0,3.211,38.7,73.59,,2.2077,91.5168,38.7
3.241,0.0116,4.2,0.66,0.127,-2.5,-2.5,-1.6801,0,40,38.7,40.6,17.83,4.328,77.48,-1.29,78.83,0,3.241,38.7,77.48,,2.3244,93.8412,38.7
3.268,0.01494,5.4,0.67,0.121,-2.5,-2.5,-1.6895,0,40,38.7,40.7,17.8,4.501,80.1,-1.38,81.42,0,3.268,38.7,80.1,,2.403,96.2442,38.7
3.298,0.01934,7,0.684,0.178,-2.5,-2.5,-1.6977,0,40,38.7,40.7,17.78,4.648,82.58,-1.83,84.79,0,3.298,38.7,82.58,,2.4774,98.7216,38.7
3.326,0.02485,8.9,0.7,0.223,-2.5,-2.5,-1.71,0,40,38.7,40.7,17.75,4.769,85.05,-2.34,87.85,0,3.326,38.7,85.05,,2.5515,101.2731,38.7
3.354,0.03167,11.4,0.721,0.258,-2.5,-2.5,-1.712,0,40,38.7,40.7,17.75,4.869,86.73,-2.87,89.46,0,3.354,38.7,86.73,,2.6019,103.875,38.7
3.384,0.03982,14.3,0.745,0.271,-2.5,-2.5,-1.7199,0,40,38.7,40.8,17.79,4.598,81.15,-2.98,83.99,0,3.384,38.7,81.15,,2.4345,106.3095,38.7
3.414,0.04741,17.1,0.768,0.236,-2.5,-2.5,-1.7026,0,40,38.7,40.8,17.83,4.063,72.5,-2.5,74.9,0,3.414,38.7,72.5,,2.175,108.4845,38.7
3.444,0.05376,19.4,0.787,0.204,-2.5,-2.5,-1.7054,0,40,38.7,40.8,17.85,3.823,68.26,-2.09,70.05,0,3.444,38.7,68.26,,2.0478,110.5323,38.7
3.472,0.05885,21.2,0.802,0.163,-2.5,-2.5,-1.6929,0,40,38.7,40.8,17.89,3.698,66.38,-1.74,67.93,0,3.472,38.7,66.38,,1.9914,112.5237,38.7
3.5,0.06306,22.7,0.815,0.132,-2.5,-2.5,-1.6914,0,40,38.7,40.8,17.9,3.615,64.38,-1.37,65.76,0,3.5,38.7,64.38,,1.9314,114.4551,38.7
3.53,0.06679,24,0.826,0.12,-2.5,-2.5,-1.6809,0,40,38.7,40.9,17.9,3.597,64.38,-1.24,65.44,0,3.53,38.7,64.38,,1.9314,116.3865,38.7
3.559,0.06914,24.9,0.833,0.044,-2.5,-2.5,-1.6627,0,40,38.7,40.9,17.9,3.575,64.06,-0.35,64.44,0,3.559,38.7,64.06,,1.9218,118.3083,38.7
3.585,0.06912,24.9,0.833,-0.043,-2.5,-2.5,-1.6548,0,40,38.7,40.9,17.9,3.545,63.68,0.45,63.03,0,3.585,38.7,63.68,,1.9104,120.2187,38.7
3.614,0.0661,23.8,0.824,-0.157,-2.5,-2.5,-1.6265,0,40,38.7,40.9,17.92,3.478,62.46,1.76,60.68,0,3.614,38.7,62.46,,1.8738,122.0925,38.7
3.643,0.05949,21.4,0.804,-0.26,-2.5,-2.5,-1.6219,0,40,38.7,41,17.91,3.522,63.33,2.85,60.49,0,3.643,38.7,63.33,,1.8999,123.9924,38.7
3.668,0.05198,18.7,0.782,-0.332,-2.5,-2.5,-1.6034,0,40,38.8,41,17.9,3.671,65.95,3.38,62.21,0,3.668,38.8,65.95,,1.9785,125.9709,38.8
3.698,0.04118,14.8,0.749,-0.396,-2.5,-2.5,-1.5956,0,40,38.8,41,17.85,4.166,74.4,3.97,70.47,0,3.698,38.8,74.4,,2.232,128.2029,38.8
3.723,0.0307,11.1,0.718,-0.43,-2.5,-2.5,-1.5878,0,40,38.8,41,17.81,4.452,78.98,4.2,75.15,0,3.723,38.8,78.98,,2.3694,130.5723,38.8
3.753,0.01789,6.4,0.679,-0.45,-2.5,-2.5,-1.5924,0,40,38.8,41,17.81,4.275,75.8,4.51,71.41,0,3.753,38.8,75.8,,2.274,132.8463,38.8
3.782,0.00446,1.6,0.639,-0.461,-2.5,-2.5,-1.5979,0,40,38.8,41.1,17.87,3.624,64.47,4.6,59.68,0,3.782,38.8,64.47,,1.9341,134.7804,38.8
3.809,-0.00842,-3,0.6,-0.507,-2.5,-2.5,-1.5804,0,40,38.8,41.1,17.9,3.355,60.45,5,55.46,0,3.809,38.8,60.45,,1.8135,136.5939,38.8
3.836,-0.02247,-8.1,0.558,-0.529,-2.5,-2.5,-1.5912,0,40,38.8,41.1,17.88,3.647,65.75,4.95,60.7,0,3.836,38.8,65.75,,1.9725,138.5664,38.8
3.862,-0.03522,-12.7,0.52,-0.496,-2.5,-2.5,-1.5789,0,40,38.8,41.1,17.83,4.299,77.14,4.93,72.16,0,3.862,38.8,77.14,,2.3142,140.8806,38.8
3.892,-0.05006,-18,0.475,-0.474,-2.5,-2.5,-1.5965,0,40,38.8,41.1,17.81,4.336,76.58,4.71,72.05,0,3.892,38.8,76.58,,2.2974,143.178,38.8
3.918,-0.06192,-22.3,0.44,-0.433,-2.5,-2.5,-1.6041,0,40,38.8,41.2,17.84,3.923,69.55,4.35,65.12,0,3.918,38.8,69.55,,2.0865,145.2645,38.8
3.949,-0.07433,-26.8,0.403,-0.374,-2.5,-2.5,-1.6033,0,40,38.8,41.2,17.9,3.416,61.25,3.78,57.24,0,3.949,38.8,61.25,,1.8375,147.102,38.8
3.978,-0.08485,-30.5,0.371,-0.351,-2.5,-2.5,-1.605,0,40,38.8,41.2,17.89,3.544,63.38,3.46,60.16,0,3.978,38.8,63.38,,1.9014,149.0034,38.8
4.003,-0.09298,-33.5,0.347,-0.316,-2.5,-2.5,-1.6078,0,40,38.8,41.2,17.87,3.748,66.92,3.15,64.01,0,4.003,38.8,66.92,,2.0076,151.011,38.8
4.032,-0.10183,-36.7,0.32,-0.302,-2.5,-2.5,-1.6134,0,40,38.9,41.2,17.84,4.219,75.56,3.05,72.25,0,4.032,38.9,75.56,,2.2668,153.2778,38.9
4.062,-0.11061,-39.8,0.294,-0.293,-2.5,-2.5,-1.6142,0,40,38.9,41.3,17.79,4.536,80.78,3.03,77.74,0,4.062,38.9,80.78,,2.4234,155.7012,38.9
4.091,-0.11957,-43,0.267,-0.306,-2.5,-2.5,-1.6093,0,40,38.9,41.3,17.79,4.412,78.16,3.12,75.36,0,4.091,38.9,78.16,,2.3448,158.046,38.9
4.119,-0.12862,-46.3,0.24,-0.346,-2.5,-2.5,-1.6195,0,40,38.9,41.3,17.82,4.209,74.84,3.43,71.37,0,4.119,38.9,74.84,,2.2452,160.2912,38.9
4.149,-0.13888,-50,0.209,-0.332,-2.5,-2.5,-1.6157,0,40,38.9,41.3,17.85,3.666,65.3,3.45,61.76,0,4.149,38.9,65.3,,1.959,162.2502,38.9
4.178,-0.14851,-53.5,0.18,-0.335,-2.5,-2.5,-1.6148,0,40,38.9,41.4,17.89,3.435,61.08,3.37,57.82,0,4.178,38.9,61.08,,1.8324,164.0826,38.9
4.207,-0.15765,-56.8,0.153,-0.3,-2.5,-2.5,-1.6116,0,40,38.9,41.4,17.9,3.538,63.44,2.99,60.51,0,4.207,38.9,63.44,,1.9032,165.9858,38.9
4.234,-0.16495,-59.4,0.131,-0.252,-2.5,-2.5,-1.6212,0,40,38.9,41.4,17.87,3.752,67.23,2.51,64.66,0,4.234,38.9,67.23,,2.0169,168.0027,38.9
4.264,-0.17209,-62,0.109,-0.234,-2.5,-2.5,-1.6214,0,40,38.9,41.4,17.85,4.144,74.04,2.43,72.04,0,4.264,38.9,74.04,,2.2212,170.2239,38.9
